"from" "to" "weight"
"1" "M_4W_embryo1_sc52" "M_25W_embryo1_24_sc2" 0.00718729566744289
"2" "M_4W_embryo1_sc52" "M_4W_embryo1_sc59" 0.0118650742981673
"3" "M_4W_embryo1_sc52" "M_4W_embryo1_sc82" 0.0141607629804596
"4" "M_4W_embryo1_sc52" "M_4W_embryo1_sc67" 0.0207067417955315
"5" "M_4W_embryo1_sc52" "M_19W_embryo1_24_sc25" 0.0215696924245719
"6" "M_4W_embryo1_sc52" "M_4W_embryo1_sc79" 0.0242466598115839
"7" "M_4W_embryo1_sc52" "M_4W_embryo1_sc54" 0.0246443064914053
"8" "M_4W_embryo1_sc52" "M_10W_embryo1_sc13" 0.0251382848896248
"9" "M_4W_embryo1_sc52" "M_4W_embryo1_sc65" 0.0254884988943427
"10" "M_4W_embryo1_sc52" "M_25W_embryo1_24_sc13" 0.0262116983920376
"11" "M_4W_embryo1_sc53" "M_4W_embryo1_sc76" 0.00602697893702718
"12" "M_4W_embryo1_sc53" "M_4W_embryo1_sc78" 0.00612166479502236
"13" "M_4W_embryo1_sc53" "M_4W_embryo1_sc77" 0.00632404430278354
"14" "M_4W_embryo1_sc53" "M_4W_embryo1_sc70" 0.00896961966642917
"15" "M_4W_embryo1_sc53" "M_4W_embryo1_sc61" 0.0115036487895293
"16" "M_4W_embryo1_sc53" "M_4W_embryo1_sc62" 0.0141736771088291
"17" "M_4W_embryo1_sc53" "M_4W_embryo1_sc74" 0.014570364415712
"18" "M_4W_embryo1_sc53" "M_4W_embryo1_sc75" 0.0159329700419969
"19" "M_4W_embryo1_sc53" "M_4W_embryo1_sc68" 0.0183482158771273
"20" "M_4W_embryo1_sc53" "M_4W_embryo1_sc72" 0.0229236635385796
"21" "M_4W_embryo1_sc54" "M_19W_embryo1_24_sc25" 0.00447951049763919
"22" "M_4W_embryo1_sc54" "M_19W_embryo2_102_sc20" 0.0141777018696301
"23" "M_4W_embryo1_sc54" "M_19W_embryo2_102_sc13" 0.0183253461828296
"24" "M_4W_embryo1_sc54" "M_21W_embryo1_sc51" 0.0193099947841376
"25" "M_4W_embryo1_sc54" "M_10W_embryo1_sc46" 0.0197607024012193
"26" "M_4W_embryo1_sc54" "M_4W_embryo1_sc64" 0.0210280724071569
"27" "M_4W_embryo1_sc54" "M_25W_embryo1_24_sc2" 0.0232758460921858
"28" "M_4W_embryo1_sc54" "M_19W_embryo1_24_sc2" 0.0250223542699197
"29" "M_4W_embryo1_sc54" "M_4W_embryo1_sc56" 0.0262311829408926
"30" "M_4W_embryo1_sc55" "M_19W_embryo1_24_sc16" 0.00585279009133469
"31" "M_4W_embryo1_sc55" "M_19W_embryo1_24_sc12" 0.0117701475810741
"32" "M_4W_embryo1_sc55" "M_19W_embryo1_24_sc11" 0.0131877086235783
"33" "M_4W_embryo1_sc55" "M_19W_embryo1_24_sc4" 0.0149274521440252
"34" "M_4W_embryo1_sc55" "M_4W_embryo1_sc69" 0.0152273175227715
"35" "M_4W_embryo1_sc55" "M_4W_embryo1_sc85" 0.0155879858710703
"36" "M_4W_embryo1_sc55" "M_19W_embryo1_24_sc7" 0.0156182430381856
"37" "M_4W_embryo1_sc55" "M_4W_embryo1_sc84" 0.0170765954292
"38" "M_4W_embryo1_sc55" "M_4W_embryo1_sc63" 0.0173407656853977
"39" "M_4W_embryo1_sc55" "M_19W_embryo2_102_sc21" 0.0179689511959229
"40" "M_4W_embryo1_sc56" "M_21W_embryo1_sc33" 0.00121079878041842
"41" "M_4W_embryo1_sc56" "M_4W_embryo1_sc64" 0.00801444785781962
"42" "M_4W_embryo1_sc56" "M_4W_embryo1_sc84" 0.00892603719762664
"43" "M_4W_embryo1_sc56" "M_19W_embryo1_24_sc4" 0.0100191542251666
"44" "M_4W_embryo1_sc56" "M_19W_embryo2_102_sc13" 0.0100695161678907
