"from" "to" "weight"
"1" "Ute_P1_GFP_3" "Ute_P1_Neg_20" 0.0134989577797243
"2" "Ute_P1_GFP_3" "Ute_P1_GFP_26" 0.0154409263096456
"3" "Ute_P1_GFP_3" "Ute_P1_Neg_19" 0.0166407137367252
"4" "Ute_P1_GFP_3" "Ute_P1_Neg_3" 0.0236872706720604
"5" "Ute_P1_GFP_3" "Ute_P1_Neg_34" 0.0348575659975259
"6" "Ute_P1_GFP_3" "Ute_P1_GFP_1" 0.0396624912257822
"7" "Ute_P1_GFP_3" "Ute_P1_GFP_0" 0.0449950127840739
"8" "Ute_P1_GFP_3" "Ute_P1_GFP_37" 0.046137579996141
"9" "Ute_P1_GFP_3" "Ute_P1_GFP_10" 0.0497903032504452
"10" "Ute_P1_GFP_3" "Ute_P1_Neg_15" 0.0586697531338493
"11" "Ute_P1_GFP_0" "Ute_P1_GFP_37" 0.0107007824978216
"12" "Ute_P1_GFP_0" "Ute_P1_Neg_21" 0.0226710753903097
"13" "Ute_P1_GFP_0" "Ute_P1_GFP_52" 0.0240682515771614
"14" "Ute_P1_GFP_0" "Ute_P1_Neg_19" 0.0313858969772147
"15" "Ute_P1_GFP_0" "Ute_P1_GFP_15" 0.0333662345702785
"16" "Ute_P1_GFP_0" "Ute_P1_GFP_28" 0.0375310775582926
"17" "Ute_P1_GFP_0" "Ute_P1_GFP_2" 0.0396218450713103
"18" "Ute_P1_GFP_0" "Ute_P1_GFP_13" 0.0423160313722778
"19" "Ute_P1_GFP_0" "Ute_P1_GFP_26" 0.04282755561631
"20" "Ute_P1_GFP_0" "Ute_P1_GFP_43" 0.0447530911771769
"21" "Ute_P1_tdTom_3" "Ute_P1_tdTom_67" 0.0201599633641971
"22" "Ute_P1_tdTom_3" "Ute_P1_tdTom_7" 0.0247508239491217
"23" "Ute_P1_tdTom_3" "Ute_P1_tdTom_58" 0.0257696116499831
"24" "Ute_P1_tdTom_3" "Ute_P1_tdTom_62" 0.0274752312959147
"25" "Ute_P1_tdTom_3" "Ute_P1_tdTom_32" 0.0297308672202232
"26" "Ute_P1_tdTom_3" "Ute_P1_tdTom_27" 0.0344409950553939
"27" "Ute_P1_tdTom_3" "Ute_P1_tdTom_50" 0.0366627647748597
"28" "Ute_P1_tdTom_3" "Ute_P1_tdTom_45" 0.0428869329633135
"29" "Ute_P1_tdTom_3" "Ute_P1_GFP_44" 0.0504779358443308
"30" "Ute_P1_tdTom_3" "Ute_P1_tdTom_6" 0.0557832694397172
"31" "Ute_P1_tdTom_7" "Ute_P1_tdTom_32" 0.0179240974730188
"32" "Ute_P1_tdTom_7" "Ute_P1_tdTom_45" 0.027546408991979
"33" "Ute_P1_tdTom_7" "Ute_P1_tdTom_67" 0.0312409316921429
"34" "Ute_P1_tdTom_7" "Ute_P1_tdTom_58" 0.0341776367319193
"35" "Ute_P1_tdTom_7" "Ute_P1_tdTom_62" 0.0347882129466299
"36" "Ute_P1_tdTom_7" "Ute_P1_tdTom_65" 0.0363098844067322
"37" "Ute_P1_tdTom_7" "Ute_P1_tdTom_6" 0.0425644512074287
"38" "Ute_P1_tdTom_7" "Ute_P1_tdTom_27" 0.0584553148616729
"39" "Ute_P1_tdTom_7" "Ute_P1_tdTom_50" 0.0587075067842556
"40" "Ute_P1_GFP_4" "Ute_P1_GFP_33" 0.00359561420511853
"41" "Ute_P1_GFP_4" "Ute_P1_GFP_7" 0.00614890281764676
"42" "Ute_P1_GFP_4" "Ute_P1_GFP_20" 0.00720267838222659
"43" "Ute_P1_GFP_4" "Ute_P1_GFP_8" 0.00733038886586853
"44" "Ute_P1_GFP_4" "Ute_P1_GFP_29" 0.00745877390890146
"45" "Ute_P1_GFP_4" "Ute_P1_GFP_31" 0.0089260653195725
"46" "Ute_P1_GFP_4" "Ute_P1_GFP_17" 0.00971304467758978
"47" "Ute_P1_GFP_4" "Ute_P1_GFP_12" 0.0102745620666289
"48" "Ute_P1_GFP_4" "Ute_P1_GFP_18" 0.0104379625146914
"49" "Ute_P1_GFP_4" "Ute_P1_Neg_4" 0.0117922479970171
"50" "Ute_P1_tdTom_2" "Ute_P1_tdTom_28" 0.0331069100941056
"51" "Ute_P1_tdTom_2" "Ute_P1_tdTom_33" 0.0378738085315405
