"from" "to" "weight"
"1" "C1" "C628" 0.00666953738200202
"2" "C1" "C769" 0.00754147881616244
"3" "C1" "C408" 0.00818941553816396
"4" "C1" "C440" 0.0110754570315175
"5" "C1" "C248" 0.0114749159307376
"6" "C1" "C392" 0.0140663590074705
"7" "C1" "C540" 0.0160817423636426
"8" "C1" "C617" 0.0164231167711666
"9" "C1" "C464" 0.0169127981081059
"10" "C1" "C481" 0.0192413615199013
"11" "C2" "C914" 0.00453444249871813
"12" "C2" "C870" 0.00462795021104623
"13" "C2" "C141" 0.00631525440251034
"14" "C2" "C86" 0.00739453393963961
"15" "C2" "C698" 0.00873943041292586
"16" "C2" "C359" 0.00881859318919641
"17" "C2" "C167" 0.00927344965263813
"18" "C2" "C891" 0.00991045301513357
"19" "C2" "C95" 0.0100022547708639
"20" "C2" "C361" 0.0101489692360719
"21" "C3" "C237" 0.00481797483179762
"22" "C3" "C535" 0.00641657524908909
"23" "C3" "C156" 0.00821369266623746
"24" "C3" "C627" 0.00902875689146018
"25" "C3" "C308" 0.00949550668644177
"26" "C3" "C593" 0.00950162766788733
"27" "C3" "C509" 0.00962599467659827
"28" "C3" "C475" 0.010309400086214
"29" "C3" "C404" 0.0105625231536748
"30" "C3" "C757" 0.0110610583109024
"31" "C4" "C218" 0.00155846798868657
"32" "C4" "C862" 0.00584065112942841
"33" "C4" "C806" 0.00835254644075398
"34" "C4" "C191" 0.00915081447738018
"35" "C4" "C253" 0.00948672676775067
"36" "C4" "C260" 0.00971212928172016
"37" "C4" "C243" 0.00983052366043872
"38" "C4" "C400" 0.0105315083695805
"39" "C4" "C124" 0.010765874234983
"40" "C4" "C660" 0.0108268861540969
"41" "C5" "C63" 0.00521407227528812
"42" "C5" "C606" 0.00835959847061476
"43" "C5" "C501" 0.00883980940829427
"44" "C5" "C200" 0.00899698322679303
"45" "C5" "C453" 0.0105283111519446
"46" "C5" "C852" 0.0134218202660042
"47" "C5" "C297" 0.0137585599294688
"48" "C5" "C705" 0.014827993853857
"49" "C5" "C813" 0.0148487321103513
"50" "C5" "C457" 0.0149018568912206
"51" "C6" "C99" 0.00547853116125404
"52" "C6" "C114" 0.00893206252542739
"53" "C6" "C817" 0.00941035257327478
"54" "C6" "C815" 0.0107694466235673
"55" "C6" "C752" 0.0109687093686791
"56" "C6" "C140" 0.0115134182819644
"57" "C6" "C335" 0.0128918534856436
"58" "C6" "C395" 0.0133982612098097
"59" "C6" "C442" 0.0135184175024274
"60" "C6" "C822" 0.0135905627604767
"61" "C7" "C814" 0.00345706324093333
"62" "C7" "C442" 0.00502192144724967
"63" "C7" "C153" 0.00802964786966484
"64" "C7" "C874" 0.00867443506764195
"65" "C7" "C815" 0.00869174876041367
"66" "C7" "C602" 0.00940382524777694
"67" "C7" "C367" 0.0106320272876428
"68" "C7" "C824" 0.0106983559239113
"69" "C7" "C351" 0.0114209149327134
"70" "C7" "C797" 0.0115611566125637
"71" "C8" "C647" 0.00536328508920108
"72" "C8" "C216" 0.00576889450928833
"73" "C8" "C169" 0.00643759154282
"74" "C8" "C375" 0.00679164887195513
"75" "C8" "C349" 0.00691962559188436
"76" "C8" "C12" 0.00739797773582736
"77" "C8" "C886" 0.00923153584047956
"78" "C8" "C717" 0.00978195259917864
"79" "C8" "C780" 0.0098631576269464
"80" "C8" "C68" 0.010068081924556
"81" "C9" "C607" 0.00312029116563895
"82" "C9" "C618" 0.00355562361652609
"83" "C9" "C115" 0.00366837617516437
"84" "C9" "C829" 0.00447153208296406
"85" "C9" "C381" 0.00456069502090358
"86" "C9" "C621" 0.00593423493618364
"87" "C9" "C670" 0.00599411864751397
"88" "C9" "C116" 0.0060032299534726
"89" "C9" "C424" 0.00615588043788408
"90" "C9" "C135" 0.00645092106346035
"91" "C10" "C556" 0.00448073592522362
"92" "C10" "C382" 0.00650959803206424
"93" "C10" "C509" 0.00675577420612284
"94" "C10" "C16" 0.00685365142312981
"95" "C10" "C210" 0.00699794231098763
"96" "C10" "C328" 0.00709846786130207
"97" "C10" "C467" 0.00739636587821368
"98" "C10" "C283" 0.00741240659902482
"99" "C10" "C42" 0.00757385155602089
"100" "C10" "C228" 0.0077289468125139
"101" "C11" "C434" 0.00502908231996009
"102" "C11" "C483" 0.00551621219725769
"103" "C11" "C640" 0.0076364811959298
"104" "C11" "C144" 0.00771113389899249
"105" "C11" "C722" 0.0107156259943955
"106" "C11" "C310" 0.0111085391415713
"107" "C11" "C71" 0.0117176059345506
"108" "C11" "C176" 0.0117703293952278
"109" "C11" "C445" 0.0120320211208693
"110" "C11" "C273" 0.0129929027325891
"111" "C12" "C169" 0.00520638012190564
"112" "C12" "C68" 0.00559474553304517
"113" "C12" "C717" 0.00564730814029219
"114" "C12" "C375" 0.00700464673467656
"115" "C12" "C349" 0.00758583045770936
"116" "C12" "C886" 0.0079630375289318
"117" "C12" "C647" 0.00817591472196362
"118" "C12" "C907" 0.00936938443790869
"119" "C12" "C683" 0.0100219072026982
"120" "C13" "C716" 0.0051386694167671
"121" "C13" "C800" 0.00522823437405543
"122" "C13" "C656" 0.00529635067193169
"123" "C13" "C269" 0.00641669414275617
"124" "C13" "C711" 0.00730791930884751
"125" "C13" "C52" 0.00787394577752813
"126" "C13" "C421" 0.00818581435155462
"127" "C13" "C468" 0.00869247571528951
"128" "C13" "C266" 0.00906959671918651
"129" "C13" "C896" 0.00973756626594951
"130" "C14" "C470" 0.011191505231967
"131" "C14" "C741" 0.0122870759137973
"132" "C14" "C219" 0.0144159407901779
"133" "C14" "C118" 0.0147704701152404
"134" "C14" "C848" 0.015444619271664
"135" "C14" "C397" 0.0163713132084789
"136" "C14" "C684" 0.0178560604043372
"137" "C14" "C553" 0.0187172069764776
"138" "C5" "C14" 0.0192907816545411
"139" "C14" "C770" 0.0193908096838741
"140" "C15" "C653" 0.00284312640177448
"141" "C15" "C577" 0.0033941553175431
"142" "C15" "C342" 0.00393480221806628
"143" "C15" "C583" 0.00463843324824041
"144" "C15" "C676" 0.00541671930420683
"145" "C15" "C33" 0.00587592394257678
"146" "C15" "C798" 0.00605674750199683
"147" "C15" "C618" 0.00610014506250713
"148" "C15" "C188" 0.00619112061404529
"149" "C15" "C381" 0.0064287055759108
"150" "C16" "C228" 0.00168805001886432
"151" "C16" "C382" 0.0017624805881634
"152" "C16" "C891" 0.00388674312625302
"153" "C16" "C642" 0.00469777696913533
"154" "C16" "C432" 0.00493755915731652
"155" "C16" "C359" 0.00510773805797707
"156" "C16" "C298" 0.00527605016786434
"157" "C16" "C467" 0.00527687741032406
"158" "C16" "C86" 0.0069890103964181
"159" "C18" "C626" 0.00216474337517192
"160" "C18" "C259" 0.0109930684826754
"161" "C18" "C921" 0.0140778459976651
"162" "C18" "C112" 0.014297165185004
"163" "C18" "C146" 0.0174811817164871
"164" "C18" "C350" 0.0181314429909417
"165" "C18" "C576" 0.0194502320976503
"166" "C18" "C394" 0.0216740800003507
"167" "C18" "C232" 0.0218757323580636
"168" "C18" "C377" 0.0221854676423661
"169" "C20" "C839" 0.00505226632557387
"170" "C20" "C452" 0.00511266589762473
"171" "C20" "C876" 0.00596167610540324
"172" "C20" "C496" 0.00639680157509061
"173" "C20" "C718" 0.00663964626291487
"174" "C20" "C196" 0.00679460029740362
"175" "C20" "C339" 0.00690184375370445
"176" "C20" "C23" 0.00694996094208665
"177" "C20" "C827" 0.0069713422301375
"178" "C20" "C251" 0.00731655886647501
"179" "C21" "C354" 0.00530326920192046
