"from" "to" "weight"
"1" "young_LT_HSC_10" "young_LT_HSC_35" 0.00830525782357999
"2" "young_LT_HSC_10" "young_LT_HSC_137" 0.00855728694763007
"3" "young_LT_HSC_10" "young_LT_HSC_76" 0.0102336331014291
"4" "young_LT_HSC_10" "young_LT_HSC_33" 0.0124966140570545
"5" "young_LT_HSC_10" "young_LT_HSC_25" 0.0134612537030033
"6" "young_LT_HSC_10" "young_LT_HSC_47" 0.0134677481025638
"7" "young_LT_HSC_10" "young_LT_HSC_173" 0.0138751973760168
"8" "young_LT_HSC_10" "young_LT_HSC_95" 0.0149271134391242
"9" "young_LT_HSC_10" "young_ST_HSC_46" 0.015341812608146
"10" "young_LT_HSC_10" "young_LT_HSC_16" 0.0154474176130893
"11" "young_LT_HSC_101" "young_ST_HSC_61" 0.00627905473493475
"12" "young_LT_HSC_101" "young_LT_HSC_86" 0.00715545038923799
"13" "young_LT_HSC_101" "young_ST_HSC_18" 0.00716069230124017
"14" "young_LT_HSC_101" "young_LT_HSC_185" 0.00749931753370213
"15" "young_LT_HSC_101" "young_ST_HSC_28" 0.00759771513305751
"16" "young_LT_HSC_101" "young_LT_HSC_129" 0.01013780684182
"17" "young_LT_HSC_101" "young_LT_HSC_8" 0.0106125403867652
"18" "young_LT_HSC_101" "young_LT_HSC_126" 0.0109290747448612
"19" "young_LT_HSC_101" "young_LT_HSC_166" 0.011042790322042
"20" "young_LT_HSC_101" "young_LT_HSC_182" 0.0114833946769291
"21" "young_LT_HSC_102" "young_LT_HSC_26" 0.00544609055535878
"22" "young_LT_HSC_102" "young_LT_HSC_165" 0.00605290292846463
"23" "young_LT_HSC_102" "young_LT_HSC_133" 0.00690574701547562
"24" "young_LT_HSC_102" "young_LT_HSC_93" 0.00709461524516502
"25" "young_LT_HSC_102" "young_LT_HSC_187" 0.00713923140430204
"26" "young_LT_HSC_102" "young_LT_HSC_73" 0.0073312419505606
"27" "young_LT_HSC_102" "young_ST_HSC_131" 0.00758956535866086
"28" "young_LT_HSC_102" "young_LT_HSC_21" 0.0078700231523755
"29" "young_LT_HSC_102" "young_LT_HSC_6" 0.00804373475667301
"30" "young_LT_HSC_102" "young_LT_HSC_63" 0.00843760514543608
"31" "young_LT_HSC_104" "young_LT_HSC_110" 0.0101656072137144
"32" "young_LT_HSC_104" "young_LT_HSC_153" 0.0105176401172915
"33" "young_LT_HSC_104" "young_LT_HSC_9" 0.0106080036499404
"34" "young_LT_HSC_104" "young_LT_HSC_112" 0.010918893432929
"35" "young_LT_HSC_104" "young_LT_HSC_11" 0.0110835288636834
"36" "young_LT_HSC_104" "young_LT_HSC_94" 0.0115493598328767
"37" "young_LT_HSC_104" "young_LT_HSC_136" 0.0118081174583838
"38" "young_LT_HSC_104" "young_LT_HSC_33" 0.0125574082975171
"39" "young_LT_HSC_104" "young_LT_HSC_188" 0.0141467135830479
"40" "young_LT_HSC_104" "young_ST_HSC_46" 0.0149961570065337
"41" "young_LT_HSC_107" "young_LT_HSC_128" 0.00784324851848889
"42" "young_LT_HSC_107" "young_LT_HSC_176" 0.00791061893959539
"43" "young_LT_HSC_107" "young_LT_HSC_160" 0.00825340073678617
"44" "young_LT_HSC_107" "young_LT_HSC_189" 0.00875902967571501
"45" "young_LT_HSC_107" "young_LT_HSC_184" 0.0089338881336861
"46" "young_LT_HSC_107" "young_LT_HSC_132" 0.00956711251277627
"47" "young_LT_HSC_107" "young_LT_HSC_139" 0.00981250269899665
"48" "young_LT_HSC_107" "young_LT_HSC_187" 0.00999059305191891
"49" "young_LT_HSC_102" "young_LT_HSC_107" 0.0103523699405187
"50" "young_LT_HSC_107" "young_LT_HSC_46" 0.010467346867824
"51" "young_LT_HSC_108" "young_LT_HSC_57" 0.00521729987483196
"52" "young_LT_HSC_108" "young_LT_HSC_122" 0.00603887166339607
"53" "young_LT_HSC_108" "young_LT_HSC_130" 0.00617077318256047
"54" "young_LT_HSC_108" "young_LT_HSC_183" 0.00628424812459091
"55" "young_LT_HSC_108" "young_LT_HSC_179" 0.00657133261107171
"56" "young_LT_HSC_108" "young_LT_HSC_149" 0.00662826831308016
"57" "young_LT_HSC_108" "young_LT_HSC_156" 0.00714428407058583
"58" "young_LT_HSC_108" "young_LT_HSC_113" 0.00790836684065569
"59" "young_LT_HSC_108" "young_LT_HSC_15" 0.00808760965898185
"60" "young_LT_HSC_108" "young_LT_HSC_182" 0.0082748978785651
"61" "young_LT_HSC_109" "young_LT_HSC_146" 0.00566929914825462
"62" "young_LT_HSC_109" "young_LT_HSC_38" 0.00598886583242183
"63" "young_LT_HSC_109" "young_LT_HSC_144" 0.00908764305485033
"64" "young_LT_HSC_109" "young_LT_HSC_154" 0.00916450347670025
"65" "young_LT_HSC_109" "young_LT_HSC_72" 0.0106902152749936
"66" "young_LT_HSC_109" "young_LT_HSC_65" 0.0117916790307389
"67" "young_LT_HSC_109" "young_LT_HSC_136" 0.0127202977605063
"68" "young_LT_HSC_109" "young_LT_HSC_58" 0.0129667824938462
"69" "young_LT_HSC_109" "young_LT_HSC_94" 0.0131743093144084
"70" "young_LT_HSC_109" "young_LT_HSC_62" 0.0152081043134904
"71" "young_LT_HSC_11" "young_LT_HSC_33" 0.00812418127715104
"72" "young_LT_HSC_11" "young_LT_HSC_188" 0.00972985548984898
"73" "young_LT_HSC_11" "young_LT_HSC_9" 0.0104244784368931
"74" "young_LT_HSC_11" "young_LT_HSC_186" 0.0105503332869565
"75" "young_LT_HSC_11" "young_ST_HSC_46" 0.0122883432044512
"76" "young_LT_HSC_11" "young_LT_HSC_153" 0.0123918433059488
"77" "young_LT_HSC_11" "young_LT_HSC_173" 0.0124871936743522
"78" "young_LT_HSC_11" "young_LT_HSC_140" 0.0127937763747775
"79" "young_LT_HSC_11" "young_LT_HSC_136" 0.0131562389114618
"80" "young_LT_HSC_110" "young_ST_HSC_173" 0.00988358422026652
"81" "young_LT_HSC_110" "young_ST_HSC_26" 0.0116557644124987
"82" "young_LT_HSC_110" "young_LT_HSC_9" 0.0117999667376555
"83" "young_LT_HSC_110" "young_LT_HSC_112" 0.0129729392984159
"84" "young_LT_HSC_110" "young_LT_HSC_153" 0.0130670139397841
"85" "young_LT_HSC_110" "young_LT_HSC_59" 0.0135465730055186
"86" "young_LT_HSC_110" "young_ST_HSC_162" 0.015589651233109
"87" "young_LT_HSC_11" "young_LT_HSC_110" 0.0156223442363333
"88" "young_LT_HSC_110" "young_ST_HSC_163" 0.0159493494525691
"89" "young_LT_HSC_111" "young_LT_HSC_190" 0.00374142082020776
"90" "young_LT_HSC_111" "young_LT_HSC_156" 0.00688967855985559
"91" "young_LT_HSC_111" "young_LT_HSC_130" 0.00762525817640601
"92" "young_LT_HSC_111" "young_LT_HSC_114" 0.00774814193875416
"93" "young_LT_HSC_111" "young_LT_HSC_50" 0.00802524226984421
"94" "young_LT_HSC_111" "young_LT_HSC_126" 0.00867222429993699
"95" "young_LT_HSC_111" "young_LT_HSC_148" 0.00890040294347892
"96" "young_LT_HSC_111" "young_LT_HSC_57" 0.0091348576176742
"97" "young_LT_HSC_111" "young_LT_HSC_18" 0.009435914189964
"98" "young_LT_HSC_111" "young_LT_HSC_149" 0.00946643903133592
"99" "young_LT_HSC_112" "young_LT_HSC_153" 0.00689071941197006
"100" "young_LT_HSC_112" "young_LT_HSC_9" 0.00711634536667846
"101" "young_LT_HSC_112" "young_LT_HSC_188" 0.0109824801109121
"102" "young_LT_HSC_112" "young_LT_HSC_33" 0.0128725016328305
"103" "young_LT_HSC_11" "young_LT_HSC_112" 0.0142730442134456
"104" "young_LT_HSC_112" "young_LT_HSC_69" 0.0151227854103809
"105" "young_LT_HSC_112" "young_ST_HSC_46" 0.0170888159497117
"106" "young_LT_HSC_112" "young_ST_HSC_26" 0.0173487654352101
"107" "young_LT_HSC_113" "young_LT_HSC_145" 0.00643444281560518
"108" "young_LT_HSC_113" "young_LT_HSC_150" 0.00744717500414774
"109" "young_LT_HSC_113" "young_LT_HSC_149" 0.00758118643599253
"110" "young_LT_HSC_113" "young_LT_HSC_143" 0.00807305269172224
"111" "young_LT_HSC_113" "young_LT_HSC_122" 0.00808793959892083
"112" "young_LT_HSC_113" "young_LT_HSC_57" 0.00908880538421938
"113" "young_LT_HSC_113" "young_LT_HSC_179" 0.0103057090226423
"114" "young_LT_HSC_113" "young_LT_HSC_61" 0.0103090150404754
"115" "young_LT_HSC_113" "young_LT_HSC_130" 0.0109850336781743
"116" "young_LT_HSC_114" "young_LT_HSC_18" 0.00458191453361193
"117" "young_LT_HSC_114" "young_LT_HSC_190" 0.00567219940070585
"118" "young_LT_HSC_114" "young_LT_HSC_51" 0.00677865886628415
"119" "young_LT_HSC_114" "young_LT_HSC_15" 0.00854804969308838
"120" "young_LT_HSC_114" "young_LT_HSC_156" 0.00873623942789095
"121" "young_LT_HSC_114" "young_LT_HSC_115" 0.0094587706868737
"122" "young_LT_HSC_114" "young_LT_HSC_142" 0.00986449007317056
"123" "young_LT_HSC_114" "young_LT_HSC_23" 0.0101365221760798
"124" "young_LT_HSC_114" "young_LT_HSC_87" 0.0105950381573449
"125" "young_LT_HSC_115" "young_LT_HSC_156" 0.00589898080397274
"126" "young_LT_HSC_115" "young_LT_HSC_149" 0.00590102490729889
"127" "young_LT_HSC_115" "young_LT_HSC_15" 0.00601254166598267
"128" "young_LT_HSC_115" "young_LT_HSC_57" 0.00620851159869726
"129" "young_LT_HSC_115" "young_LT_HSC_51" 0.00809688182734747
