"from" "to" "weight"
"1" "GSM1677622" "GSM1677624" 0.0344468750495159
"2" "GSM1677622" "GSM1677627" 0.035807332546799
"3" "GSM1677622" "GSM1677625" 0.043882677630463
"4" "GSM1677622" "GSM1677626" 0.0450117764172508
"5" "GSM1677622" "GSM1677623" 0.058436310598908
"6" "GSM1677622" "GSM1677667" 0.0670593537120882
"7" "GSM1677622" "GSM1677629" 0.0670816600625985
"8" "GSM1677622" "GSM1677648" 0.0675989271743521
"9" "GSM1677622" "GSM1677631" 0.0702113059379647
"10" "GSM1677622" "GSM1677666" 0.0768590517703637
"11" "GSM1677623" "GSM1677629" 0.0350900684988063
"12" "GSM1677623" "GSM1677625" 0.0362759282247137
"13" "GSM1677623" "GSM1677624" 0.0378102472059246
"14" "GSM1677623" "GSM1677626" 0.0423773309976824
"15" "GSM1677623" "GSM1677627" 0.0469305678200128
"16" "GSM1677623" "GSM1677630" 0.0471410561812105
"17" "GSM1677623" "GSM1677631" 0.0551507200694405
"18" "GSM1677623" "GSM1677632" 0.0558823828660828
"19" "GSM1677623" "GSM1677633" 0.0613302644530085
"20" "GSM1677624" "GSM1677625" 0.014941956383372
"21" "GSM1677624" "GSM1677627" 0.015051916076379
"22" "GSM1677624" "GSM1677626" 0.0158121792659682
"23" "GSM1677624" "GSM1677629" 0.0365444403119474
"24" "GSM1677624" "GSM1677631" 0.0432525804573413
"25" "GSM1677624" "GSM1677667" 0.0469765177921192
"26" "GSM1677624" "GSM1677648" 0.0483010867160346
"27" "GSM1677624" "GSM1677633" 0.0509560692573434
"28" "GSM1677625" "GSM1677626" 0.00794223208137177
"29" "GSM1677625" "GSM1677627" 0.0133729625566575
"30" "GSM1677625" "GSM1677629" 0.0253309185015364
"31" "GSM1677625" "GSM1677631" 0.0294867387127119
"32" "GSM1677625" "GSM1677633" 0.0374751250616719
"33" "GSM1677625" "GSM1677667" 0.0396491263561234
"34" "GSM1677625" "GSM1677648" 0.0408606702882947
"35" "GSM1677625" "GSM1677632" 0.0416101695592269
"36" "GSM1677626" "GSM1677627" 0.01170120532945
"37" "GSM1677626" "GSM1677629" 0.0273712525463981
"38" "GSM1677626" "GSM1677631" 0.028814885931984
"39" "GSM1677626" "GSM1677648" 0.036112489662597
"40" "GSM1677626" "GSM1677633" 0.0363422461318765
"41" "GSM1677626" "GSM1677667" 0.040359896156802
"42" "GSM1677626" "GSM1677632" 0.0410885189615939
"43" "GSM1677627" "GSM1677631" 0.0353947771149306
"44" "GSM1677627" "GSM1677648" 0.0363886749409762
"45" "GSM1677627" "GSM1677629" 0.037730416795051
"46" "GSM1677627" "GSM1677667" 0.0393229851600045
"47" "GSM1677627" "GSM1677633" 0.0437415221903882
"48" "GSM1677627" "GSM1677666" 0.0459939183609008
"49" "GSM1677628" "GSM1677633" 0.0147469347529911
"50" "GSM1677628" "GSM1677655" 0.0216045764142722
"51" "GSM1677628" "GSM1677632" 0.0228878145055993
"52" "GSM1677628" "GSM1677631" 0.0239855938389468
"53" "GSM1677628" "GSM1677647" 0.0281296755192774
"54" "GSM1677628" "GSM1677665" 0.0363675935486954
"55" "GSM1677628" "GSM1677666" 0.0369174205832701
"56" "GSM1677628" "GSM1677645" 0.0376814204909582
"57" "GSM1677628" "GSM1677630" 0.0378518532138909
"58" "GSM1677628" "GSM1677651" 0.0382684813287736
"59" "GSM1677629" "GSM1677630" 0.0198598858300233
"60" "GSM1677629" "GSM1677632" 0.0219374069547828
"61" "GSM1677629" "GSM1677631" 0.0265069023421749
"62" "GSM1677629" "GSM1677633" 0.0288386420105149
"63" "GSM1677628" "GSM1677629" 0.0397691771834058
"64" "GSM1677630" "GSM1677632" 0.0162699871292539
"65" "GSM1677630" "GSM1677633" 0.0328154301958374
"66" "GSM1677630" "GSM1677631" 0.0359864026318543
"67" "GSM1677625" "GSM1677630" 0.0445862850011699
"68" "GSM1677626" "GSM1677630" 0.0461288015177856
"69" "GSM1677630" "GSM1677665" 0.0537057419580235
"70" "GSM1677630" "GSM1677666" 0.055737865050218
"71" "GSM1677631" "GSM1677633" 0.0116493130561752
"72" "GSM1677631" "GSM1677632" 0.0247897238391471
"73" "GSM1677631" "GSM1677666" 0.0269848676165097
"74" "GSM1677631" "GSM1677665" 0.0272678260699345
"75" "GSM1677631" "GSM1677655" 0.0298724446493588
"76" "GSM1677631" "GSM1677648" 0.0303257785235798
"77" "GSM1677632" "GSM1677633" 0.0189970171546056
"78" "GSM1677632" "GSM1677655" 0.0419784458122343
"79" "GSM1677632" "GSM1677665" 0.0449984242752079
"80" "GSM1677632" "GSM1677666" 0.0462166016383977
"81" "GSM1677633" "GSM1677655" 0.0275071295715471
"82" "GSM1677633" "GSM1677665" 0.0287921127349902
"83" "GSM1677633" "GSM1677666" 0.0289694576877121
"84" "GSM1677633" "GSM1677647" 0.0323761834276178
"85" "GSM1677633" "GSM1677648" 0.0330827605741564
"86" "GSM1677634" "GSM1677792" 0.0121924177948025
"87" "GSM1677634" "GSM1677649" 0.0168848092007247
"88" "GSM1677634" "GSM1677644" 0.0181390914793231
"89" "GSM1677634" "GSM1677799" 0.0183428793570526
"90" "GSM1677634" "GSM1677798" 0.0189449001029416
"91" "GSM1677634" "GSM1677638" 0.0196468536878546
"92" "GSM1677634" "GSM1677651" 0.0199209306797901
"93" "GSM1677634" "GSM1677646" 0.0207474325969077
"94" "GSM1677634" "GSM1677797" 0.0227259507665186
"95" "GSM1677634" "GSM1677793" 0.0234907451043344
"96" "GSM1677635" "GSM1677638" 0.00934765536860006
"97" "GSM1677635" "GSM1677644" 0.00935217186178057
"98" "GSM1677635" "GSM1677792" 0.0142015742106998
"99" "GSM1677635" "GSM1677668" 0.0150622855763953
"100" "GSM1677635" "GSM1677649" 0.015392723471897
"101" "GSM1677635" "GSM1677795" 0.0190047304054311
"102" "GSM1677635" "GSM1677797" 0.0203676404743747
"103" "GSM1677635" "GSM1677800" 0.0218847066047541
"104" "GSM1677635" "GSM1677798" 0.0231910490888186
"105" "GSM1677635" "GSM1677793" 0.0234607223620179
"106" "GSM1677636" "GSM1677639" 0.01760630377118
"107" "GSM1677636" "GSM1677643" 0.0179149141339956
"108" "GSM1677636" "GSM1677640" 0.018150653406914
"109" "GSM1677636" "GSM1677794" 0.0252761433085164
"110" "GSM1677636" "GSM1677796" 0.0259888673244408
"111" "GSM1677636" "GSM1677641" 0.0275923547820129
"112" "GSM1677636" "GSM1677800" 0.0301255197509389
"113" "GSM1677636" "GSM1677664" 0.034261867336204
"114" "GSM1677636" "GSM1677795" 0.0349016444078339
"115" "GSM1677636" "GSM1677644" 0.0388776542448004
"116" "GSM1677637" "GSM1677645" 0.0127785185618194
"117" "GSM1677637" "GSM1677646" 0.0168785996784147
"118" "GSM1677637" "GSM1677651" 0.0181477154754595
"119" "GSM1677637" "GSM1677647" 0.0194257008746577
"120" "GSM1677637" "GSM1677669" 0.0206215997426712
"121" "GSM1677637" "GSM1677650" 0.0235890836323909
"122" "GSM1677637" "GSM1677671" 0.0236023844852003
"123" "GSM1677637" "GSM1677649" 0.0298302806939629
"124" "GSM1677637" "GSM1677655" 0.0298545174906498
"125" "GSM1677637" "GSM1677670" 0.0348351565049849
"126" "GSM1677638" "GSM1677644" 0.00703833032681012
"127" "GSM1677638" "GSM1677792" 0.0141600289529522
"128" "GSM1677638" "GSM1677649" 0.0147642015567423
"129" "GSM1677638" "GSM1677668" 0.0176891069685638
"130" "GSM1677638" "GSM1677797" 0.0190789703998993
"131" "GSM1677638" "GSM1677795" 0.0194556277708463
"132" "GSM1677638" "GSM1677800" 0.0210461243504086
"133" "GSM1677638" "GSM1677798" 0.0216421628841925
"134" "GSM1677639" "GSM1677643" 0.0108465244618639
"135" "GSM1677639" "GSM1677664" 0.0226314492541766
"136" "GSM1677639" "GSM1677640" 0.0277011766015859
"137" "GSM1677639" "GSM1677642" 0.0287445374858954
"138" "GSM1677639" "GSM1677796" 0.029083256983566
"139" "GSM1677639" "GSM1677794" 0.029516328947606
"140" "GSM1677639" "GSM1677641" 0.0314616861751603
"141" "GSM1677639" "GSM1677800" 0.0316301161893968
"142" "GSM1677639" "GSM1677644" 0.033412776036024
"143" "GSM1677640" "GSM1677643" 0.0250800757985997
"144" "GSM1677640" "GSM1677641" 0.0258906247072962
"145" "GSM1677640" "GSM1677653" 0.0322069728365265
"146" "GSM1677640" "GSM1677794" 0.0403027166447849
"147" "GSM1677640" "GSM1677652" 0.0408073369098785
"148" "GSM1677640" "GSM1677796" 0.0410741506327289
"149" "GSM1677640" "GSM1677664" 0.044683090132152
"150" "GSM1677640" "GSM1677800" 0.0459833663122593
"151" "GSM1677641" "GSM1677643" 0.0228791314114228
"152" "GSM1677641" "GSM1677794" 0.035396328245714
"153" "GSM1677641" "GSM1677796" 0.0359690351546746
"154" "GSM1677641" "GSM1677664" 0.0371760218705066
"155" "GSM1677641" "GSM1677800" 0.0395746937873031
"156" "GSM1677641" "GSM1677795" 0.0408648188702757
"157" "GSM1677641" "GSM1677642" 0.0424534824258309
"158" "GSM1677642" "GSM1677664" 0.01969797092629
"159" "GSM1677642" "GSM1677663" 0.0261196110171525
"160" "GSM1677642" "GSM1677643" 0.0289886212314508
"161" "GSM1677635" "GSM1677642" 0.0334515365364625
"162" "GSM1677642" "GSM1677668" 0.0363034492341751
"163" "GSM1677642" "GSM1677644" 0.0364256833369742
"164" "GSM1677638" "GSM1677642" 0.0382247315349759
"165" "GSM1677642" "GSM1677792" 0.041359812735718
"166" "GSM1677643" "GSM1677664" 0.0256542985191365
"167" "GSM1677643" "GSM1677796" 0.0308970158858047
"168" "GSM1677643" "GSM1677794" 0.0309859200183489
"169" "GSM1677643" "GSM1677800" 0.0334494227382909
"170" "GSM1677643" "GSM1677795" 0.0362031205599266
"171" "GSM1677644" "GSM1677792" 0.0107022371388609
"172" "GSM1677644" "GSM1677795" 0.0137452179945498
"173" "GSM1677644" "GSM1677797" 0.01545692745408
"174" "GSM1677644" "GSM1677800" 0.0159395016117805
"175" "GSM1677644" "GSM1677649" 0.0167089941754245
"176" "GSM1677644" "GSM1677793" 0.018599987351033
"177" "GSM1677644" "GSM1677799" 0.0192626991048474
"178" "GSM1677645" "GSM1677647" 0.0117105389517074
"179" "GSM1677645" "GSM1677669" 0.017360610026894
"180" "GSM1677645" "GSM1677651" 0.021307563704378
"181" "GSM1677645" "GSM1677646" 0.0213930154871791
"182" "GSM1677645" "GSM1677655" 0.0222956907062784
"183" "GSM1677645" "GSM1677671" 0.0229804273958292
"184" "GSM1677645" "GSM1677650" 0.0275052164643223
"185" "GSM1677645" "GSM1677670" 0.0290884272494902
"186" "GSM1677645" "GSM1677648" 0.0339504102886923
"187" "GSM1677646" "GSM1677651" 0.00793238678772415
"188" "GSM1677646" "GSM1677650" 0.0121962280267737
"189" "GSM1677646" "GSM1677649" 0.0192245418040275
"190" "GSM1677646" "GSM1677671" 0.0195379201800685
"191" "GSM1677646" "GSM1677798" 0.0243160530563642
"192" "GSM1677646" "GSM1677792" 0.0247670534702693
"193" "GSM1677646" "GSM1677669" 0.0283848900171967
"194" "GSM1677647" "GSM1677655" 0.013320668191308
"195" "GSM1677647" "GSM1677669" 0.0246453271199457
"196" "GSM1677647" "GSM1677651" 0.0263018130941494
"197" "GSM1677647" "GSM1677670" 0.0263046798607671
"198" "GSM1677647" "GSM1677648" 0.0283798732318204
"199" "GSM1677646" "GSM1677647" 0.0285088371898661
"200" "GSM1677647" "GSM1677671" 0.0318215612822164
"201" "GSM1677648" "GSM1677667" 0.0316682240718965
"202" "GSM1677648" "GSM1677666" 0.0326793672114093
"203" "GSM1677648" "GSM1677670" 0.0335089394472275
"204" "GSM1677648" "GSM1677655" 0.0361500824698023
"205" "GSM1677649" "GSM1677792" 0.0118456184877987
"206" "GSM1677649" "GSM1677671" 0.0159113262150817
"207" "GSM1677649" "GSM1677798" 0.0170896200181274
"208" "GSM1677649" "GSM1677651" 0.0182890039054618
"209" "GSM1677649" "GSM1677650" 0.020473630448424
"210" "GSM1677650" "GSM1677651" 0.0191274259743579
"211" "GSM1677650" "GSM1677798" 0.0201185546161641
"212" "GSM1677650" "GSM1677671" 0.0213632857743256
"213" "GSM1677634" "GSM1677650" 0.0244315701122786
"214" "GSM1677650" "GSM1677792" 0.026389658341012
"215" "GSM1677650" "GSM1677799" 0.0264416506615128
"216" "GSM1677651" "GSM1677671" 0.0182021060098039
"217" "GSM1677651" "GSM1677792" 0.0239663159116511
"218" "GSM1677651" "GSM1677669" 0.0268566482575918
"219" "GSM1677652" "GSM1677653" 0.0116296075551381
"220" "GSM1677643" "GSM1677652" 0.0526490870145453
"221" "GSM1677641" "GSM1677652" 0.0536215613902009
"222" "GSM1677639" "GSM1677652" 0.053731111187543
"223" "GSM1677636" "GSM1677652" 0.0557316150799812
"224" "GSM1677652" "GSM1677663" 0.0619061253326378
"225" "GSM1677642" "GSM1677652" 0.0648941353555336
"226" "GSM1677652" "GSM1677664" 0.0661553391188283
"227" "GSM1677652" "GSM1677794" 0.0750810025845697
"228" "GSM1677641" "GSM1677653" 0.04400751204757
"229" "GSM1677643" "GSM1677653" 0.0452203263873154
"230" "GSM1677639" "GSM1677653" 0.0468532067653559
"231" "GSM1677636" "GSM1677653" 0.0473409980284818
"232" "GSM1677653" "GSM1677664" 0.0582470827521917
"233" "GSM1677653" "GSM1677663" 0.0589229883059711
"234" "GSM1677642" "GSM1677653" 0.0594092121004472
"235" "GSM1677653" "GSM1677794" 0.0653779065695678
"236" "GSM1677652" "GSM1677654" 0.102292728990142
"237" "GSM1677653" "GSM1677654" 0.109587405133894
"238" "GSM1677640" "GSM1677654" 0.132190193996603
"239" "GSM1677654" "GSM1677661" 0.132537720642857
"240" "GSM1677641" "GSM1677654" 0.147869024135029
"241" "GSM1677636" "GSM1677654" 0.149106955896881
"242" "GSM1677643" "GSM1677654" 0.150840070424833
"243" "GSM1677639" "GSM1677654" 0.152454655642222
"244" "GSM1677654" "GSM1677663" 0.159553685322743
"245" "GSM1677642" "GSM1677654" 0.166028372935389
