"from" "to" "weight"
"1" "Unstimulated_Replicate_S10" "Unstimulated_S41" 0.0444510515617864
"2" "Unstimulated_Replicate_S10" "Unstimulated_Replicate_S68" 0.0446320202338322
"3" "Unstimulated_Replicate_S10" "Unstimulated_Replicate_S25" 0.0455630268619024
"4" "Unstimulated_Replicate_S10" "Unstimulated_S47" 0.046980493730218
"5" "Unstimulated_Replicate_S10" "LPS_1h_S65" 0.047429430377764
"6" "Unstimulated_Replicate_S10" "LPS_1h_S2" 0.0475496726209334
"7" "Unstimulated_Replicate_S10" "LPS_1h_S31" 0.0511063297691016
"8" "Unstimulated_Replicate_S10" "LPS_1h_S10" 0.0540973075636776
"9" "Unstimulated_Replicate_S10" "Unstimulated_Replicate_S74" 0.0550278498433733
"10" "Unstimulated_Replicate_S10" "Unstimulated_Replicate_S80" 0.0562027279419792
"11" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S13" 0.0177126821730309
"12" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S64" 0.0227825151832957
"13" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S43" 0.0239766535189619
"14" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S18" 0.0255078537686919
"15" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S53" 0.0269289755809606
"16" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S71" 0.0285997456747767
"17" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S20" 0.0286798467812998
"18" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S75" 0.03351581618366
"19" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S14" 0.0364081904878738
"20" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S32" 0.0372455225577241
"21" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S20" 0.0173930041564871
"22" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S71" 0.0196749964550461
"23" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S89" 0.0232026923743026
"24" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S64" 0.0233198157601507
"25" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S53" 0.0248163108919818
"26" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S32" 0.0269011340616308
"27" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S43" 0.0270611230588392
"28" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S19" 0.0283844492552587
"29" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S33" 0.0285172375072473
"30" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S53" 0.0195890117867982
"31" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S32" 0.0266930921491525
"32" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S89" 0.0269216887659689
