"from" "to" "weight"
"1" "C2" "C172" 0.00600687666744774
"2" "C2" "C17" 0.00820909418441593
"3" "C2" "C71" 0.00980455623988935
"4" "C2" "C195" 0.010922426975989
"5" "C2" "C287" 0.0128973767141309
"6" "C2" "C18" 0.0133272444381262
"7" "C2" "C8" 0.0137889838660655
"8" "C2" "C175" 0.0139134003128979
"9" "C2" "C262" 0.0141966278325655
"10" "C2" "C58" 0.0142644618880795
"11" "C3" "C356" 0.0086642868461002
"12" "C3" "C29" 0.0116689119561119
"13" "C3" "C116" 0.0127339554773033
"14" "C3" "C117" 0.0129815634102674
"15" "C3" "C46" 0.013612867221779
"16" "C3" "C215" 0.0143544757755907
"17" "C3" "C65" 0.0152419104618225
"18" "C3" "C36" 0.0162644793796913
"19" "C3" "C88" 0.0162871705122915
"20" "C3" "C304" 0.0164338847267772
"21" "C4" "C106" 0.00471085987475469
"22" "C4" "C124" 0.0058423281743833
"23" "C4" "C173" 0.00644245698627407
"24" "C4" "C154" 0.00681119485042877
"25" "C4" "C202" 0.0068953090571417
"26" "C4" "C340" 0.00724048242032643
"27" "C4" "C266" 0.00750602206340928
"28" "C4" "C349" 0.00762228322285099
"29" "C4" "C115" 0.0080212129936381
"30" "C4" "C60" 0.00807630062919714
"31" "C5" "C344" 0.00297403433799584
"32" "C5" "C312" 0.00464793907285713
"33" "C5" "C157" 0.00506618646174589
"34" "C5" "C201" 0.00508526288417823
"35" "C5" "C101" 0.0063543379997074
"36" "C5" "C330" 0.00650576772046066
"37" "C5" "C89" 0.00683035486957464
"38" "C5" "C109" 0.00706065541526064
"39" "C5" "C160" 0.00712788842756964
"40" "C5" "C261" 0.00748438216260924
"41" "C6" "C167" 0.00490709586043723
"42" "C6" "C95" 0.00530559394852085
"43" "C6" "C219" 0.00587956158791494
"44" "C6" "C341" 0.00653714402346638
"45" "C6" "C82" 0.006717022600165
"46" "C6" "C220" 0.00738882500971827
"47" "C6" "C257" 0.00794742776219337
"48" "C6" "C124" 0.00815581157058441
"49" "C6" "C250" 0.00824359062036749
"50" "C6" "C340" 0.00844861186023154
"51" "C7" "C67" 0.00845781507021071
"52" "C7" "C8" 0.0088367836806818
"53" "C7" "C285" 0.0097234497509033
"54" "C7" "C294" 0.00996295181601099
"55" "C7" "C302" 0.0101166326522744
"56" "C7" "C323" 0.0112514967107019
"57" "C7" "C255" 0.0115045155076923
"58" "C7" "C287" 0.0115275106730633
"59" "C7" "C107" 0.0123963817510374
"60" "C7" "C262" 0.0126911340019768
"61" "C8" "C287" 0.00466838287184713
"62" "C8" "C315" 0.00663709304409893
"63" "C8" "C262" 0.00707704997107459
"64" "C8" "C302" 0.00708376187648172
"65" "C8" "C17" 0.0076931843921123
"66" "C8" "C71" 0.00857499210445258
"67" "C8" "C67" 0.00862928121523535
"68" "C8" "C139" 0.00874622808483861
"69" "C8" "C58" 0.00884286401214301
"70" "C9" "C308" 0.00438303176681412
"71" "C9" "C248" 0.0060393972336865
"72" "C9" "C353" 0.00721317313625251
"73" "C9" "C216" 0.00784313417999022
"74" "C9" "C119" 0.00814144070526988
"75" "C9" "C110" 0.00816010773352564
