"from" "to" "weight"
"1" "C1" "C138" 0.0034037204938026
"2" "C1" "C305" 0.00552676964050395
"3" "C1" "C243" 0.00691589563332035
"4" "C1" "C238" 0.00696693023433589
"5" "C1" "C178" 0.0070299571467301
"6" "C1" "C308" 0.00727194869656764
"7" "C1" "C431" 0.00727602626920001
"8" "C1" "C400" 0.00827366239884231
"9" "C1" "C140" 0.00840126410238978
"10" "C1" "C182" 0.00931135889203991
"11" "C2" "C302" 0.00425225154396067
"12" "C2" "C104" 0.0067489885727902
"13" "C2" "C435" 0.00712821292106112
"14" "C2" "C12" 0.00788847727999846
"15" "C2" "C120" 0.00826371905488097
"16" "C2" "C384" 0.0100820373548169
"17" "C2" "C200" 0.0105684758527527
"18" "C2" "C450" 0.0120627825973014
"19" "C2" "C459" 0.0123353837648852
"20" "C2" "C218" 0.0123937523919645
"21" "C3" "C146" 0.0104306386940795
"22" "C3" "C378" 0.0120006265366618
"23" "C3" "C151" 0.0131220422791645
"24" "C3" "C285" 0.0179496132699886
"25" "C3" "C263" 0.0195524483192122
"26" "C3" "C296" 0.0209629584958758
"27" "C3" "C213" 0.0241690277195622
"28" "C3" "C396" 0.0243579499897469
"29" "C3" "C201" 0.024769272361084
"30" "C3" "C261" 0.0258455191720984
"31" "C4" "C160" 0.00894703321739065
"32" "C4" "C109" 0.0091953810681675
"33" "C4" "C19" 0.0106088016529547
"34" "C4" "C184" 0.0122497006122711
"35" "C4" "C217" 0.013252161201839
"36" "C4" "C386" 0.0138585609169569
"37" "C4" "C456" 0.014310106207546
"38" "C4" "C269" 0.0145426652330113
"39" "C4" "C170" 0.0166736633844045
"40" "C4" "C439" 0.0173412306772047
"41" "C5" "C434" 0.0115861817555212
"42" "C5" "C292" 0.0119941274640702
"43" "C5" "C463" 0.0124393101948978
"44" "C5" "C23" 0.0197284412784508
"45" "C5" "C36" 0.0197834809161343
"46" "C5" "C233" 0.0198169846110809
"47" "C5" "C268" 0.0201202808702274
"48" "C5" "C446" 0.021151909529295
"49" "C5" "C416" 0.0218360607657348
"50" "C5" "C237" 0.022093697135638
"51" "C6" "C180" 0.00450891137289848
"52" "C6" "C74" 0.00469071671148021
"53" "C6" "C13" 0.004742769022147
"54" "C6" "C325" 0.00485166997793825
"55" "C6" "C260" 0.00640414352056073
"56" "C6" "C156" 0.00643542015859989
"57" "C6" "C284" 0.00739626127126893
"58" "C6" "C460" 0.00792072255665096
"59" "C6" "C66" 0.00811159213197348
"60" "C6" "C408" 0.00835319409916824
"61" "C7" "C11" 0.0300641856565536
"62" "C7" "C363" 0.0336815479618036
"63" "C7" "C299" 0.0355164920490851
"64" "C7" "C182" 0.0372837618814688
"65" "C7" "C197" 0.0376253488854035
"66" "C7" "C114" 0.0396717282050737
"67" "C7" "C140" 0.0397612572444163
"68" "C7" "C226" 0.0403867685053056
"69" "C7" "C132" 0.0409029371754164
"70" "C7" "C243" 0.0414545570062623
"71" "C8" "C449" 0.00220615383987854
"72" "C8" "C87" 0.00615175209199903
"73" "C8" "C188" 0.00625556072961267
"74" "C8" "C25" 0.00636050284620884
"75" "C8" "C360" 0.00677128767934097
"76" "C8" "C171" 0.00779275181524841
"77" "C8" "C194" 0.00949216038814386
"78" "C8" "C351" 0.0101333611170083
"79" "C8" "C308" 0.0102917058065512
"80" "C8" "C212" 0.0103041015416683
"81" "C9" "C329" 0.00739528143885331
"82" "C9" "C429" 0.0108849261907776
"83" "C9" "C173" 0.0202528187983923
"84" "C9" "C375" 0.0242832381191551
"85" "C9" "C222" 0.0332570870372446
"86" "C9" "C10" 0.0374693789752434
"87" "C9" "C165" 0.0394637035437115
"88" "C9" "C344" 0.0636733088732323
"89" "C9" "C414" 0.0655722202182991
"90" "C9" "C444" 0.075726581251744
"91" "C10" "C222" 0.020926632983904
"92" "C10" "C344" 0.0307034287773374
"93" "C10" "C329" 0.0391699727464603
"94" "C10" "C429" 0.0472284535858104
"95" "C10" "C173" 0.0483127081860263
"96" "C10" "C203" 0.0587144526281201
"97" "C10" "C375" 0.0606889466638935
"98" "C10" "C421" 0.068836715613399
"99" "C10" "C249" 0.0729643116024075
"100" "C11" "C226" 0.0190603184774531
"101" "C11" "C293" 0.0210293275631441
"102" "C11" "C197" 0.0212667985581291
"103" "C11" "C178" 0.0216167919239719
"104" "C11" "C116" 0.0222623062961184
"105" "C11" "C25" 0.0223539282573357
"106" "C11" "C277" 0.0226463274050637
"107" "C11" "C363" 0.0227335633735786
"108" "C11" "C87" 0.0229644356731667
"109" "C11" "C196" 0.0232010051425498
"110" "C12" "C459" 0.00699278011272366
"111" "C12" "C457" 0.00733154352116429
"112" "C12" "C120" 0.0079607705925132
"113" "C12" "C259" 0.00913692537970631
"114" "C12" "C104" 0.00933654932543919
"115" "C12" "C302" 0.00963772131868163
"116" "C12" "C218" 0.0117786904678859
"117" "C12" "C33" 0.0124276520166943
"118" "C12" "C450" 0.0125347953181261
"119" "C13" "C74" 0.0040442631344318
"120" "C13" "C256" 0.00424203894968253
"121" "C13" "C260" 0.00444572182708075
"122" "C13" "C180" 0.00457053634949428
"123" "C13" "C460" 0.00629947547794302
"124" "C13" "C66" 0.00677535090538592
"125" "C13" "C325" 0.00822402653219609
"126" "C13" "C403" 0.00854103289220621
"127" "C13" "C113" 0.00886071964366622
"128" "C15" "C371" 0.00571174531742109
"129" "C15" "C283" 0.0117022224229248
"130" "C15" "C145" 0.0134381069962674
"131" "C15" "C28" 0.0153838791011946
"132" "C15" "C158" 0.0193801950272089
"133" "C15" "C418" 0.0198082777369516
"134" "C15" "C139" 0.0209517861959204
"135" "C15" "C41" 0.0252259249425498
"136" "C15" "C219" 0.0259702026188855
"137" "C15" "C448" 0.0286845481568845
"138" "C17" "C90" 0.00678106425953191
"139" "C17" "C171" 0.00762006274002617
"140" "C17" "C308" 0.00776089644928599
"141" "C17" "C293" 0.00794341616174164
"142" "C17" "C431" 0.00873249930936015
"143" "C17" "C449" 0.00894843950576233
"144" "C17" "C360" 0.00898141091924506
"145" "C17" "C425" 0.010220007305859
"146" "C17" "C71" 0.010224952484339
"147" "C17" "C305" 0.0105143836817146
"148" "C18" "C393" 0.00468466236838244
"149" "C18" "C61" 0.00594402194507181
"150" "C18" "C196" 0.00667125103663292
"151" "C18" "C245" 0.00713099297438698
"152" "C18" "C235" 0.00869130073707182
"153" "C18" "C321" 0.00930394470551521
"154" "C18" "C252" 0.0105563924384796
"155" "C18" "C367" 0.011400877936765
"156" "C18" "C83" 0.0117730535603368
"157" "C18" "C116" 0.012057242146067
"158" "C19" "C109" 0.0109101869018138
"159" "C19" "C184" 0.0147435667194983
"160" "C19" "C160" 0.0166989192143725
"161" "C19" "C386" 0.0168205880646467
"162" "C19" "C27" 0.0168243536795045
"163" "C19" "C456" 0.018602075160303
"164" "C19" "C269" 0.0195795069384954
"165" "C19" "C439" 0.0199623562810502
"166" "C19" "C353" 0.0199980970638102
"167" "C20" "C190" 0.0134171511241311
"168" "C20" "C211" 0.0169106640667454
"169" "C20" "C233" 0.0175988632416835
"170" "C20" "C406" 0.0202406708424996
"171" "C20" "C88" 0.0232557508612944
"172" "C20" "C174" 0.024400339570164
"173" "C20" "C463" 0.0251596652429669
"174" "C20" "C50" 0.0258040530592391
"175" "C20" "C322" 0.0270668230613076
"176" "C20" "C349" 0.0272460671687739
"177" "C21" "C391" 0.0195460748222941
"178" "C21" "C231" 0.0199630173626097
"179" "C21" "C214" 0.0391133228527243
"180" "C21" "C276" 0.0428808060549915
"181" "C21" "C343" 0.0499124757108462
"182" "C21" "C409" 0.0529015178783997
"183" "C21" "C337" 0.0585242117778663
"184" "C21" "C63" 0.0625866121228057
"185" "C21" "C221" 0.0634627479138281
"186" "C21" "C289" 0.126734011245075
