"from" "to" "weight"
"1" "C1" "C609" 0.00437120960474725
"2" "C1" "C1383" 0.00907660060278836
"3" "C1" "C1320" 0.0111083707879649
"4" "C1" "C228" 0.0123272190456814
"5" "C1" "C1724" 0.0142885110108851
"6" "C1" "C2054" 0.0146232418382375
"7" "C1" "C1758" 0.0161902756622257
"8" "C1" "C549" 0.0167154915776403
"9" "C1" "C568" 0.0171387742912296
"10" "C1" "C1112" 0.0192657034943426
"11" "C2" "C737" 0.00611377717940399
"12" "C2" "C1213" 0.00846978149640079
"13" "C2" "C338" 0.00966147666166969
"14" "C2" "C1455" 0.0115088581880739
"15" "C2" "C326" 0.0115293742128869
"16" "C2" "C1658" 0.0133274573059146
"17" "C2" "C226" 0.0155574523933032
"18" "C2" "C2621" 0.016262921692927
"19" "C2" "C573" 0.0166826573296536
"20" "C2" "C2265" 0.0169733201486707
"21" "C3" "C2589" 0.014387726248366
"22" "C3" "C1749" 0.0199036432780017
"23" "C3" "C1011" 0.0201993069540699
"24" "C3" "C284" 0.0223905986415772
"25" "C3" "C2632" 0.0243673407807313
"26" "C3" "C1897" 0.0248956063750159
"27" "C3" "C1082" 0.0258201255011373
"28" "C3" "C2546" 0.0258470698502923
"29" "C3" "C2433" 0.0259401227794303
"30" "C3" "C307" 0.0261672281334971
"31" "C4" "C87" 0.00923981550487345
"32" "C4" "C834" 0.0137242021048679
"33" "C4" "C1814" 0.0137411107784568
"34" "C4" "C633" 0.0143173620879803
"35" "C4" "C1711" 0.0146641513504986
"36" "C4" "C594" 0.015277573480711
"37" "C4" "C637" 0.0167350595130685
"38" "C4" "C1198" 0.0170366956036518
"39" "C4" "C1491" 0.0170411497132179
"40" "C4" "C8" 0.0170942433610226
"41" "C5" "C1873" 0.00486555525600875
"42" "C5" "C509" 0.00562681379531128
"43" "C5" "C640" 0.00709695964686257
"44" "C5" "C2353" 0.0080956575034364
"45" "C5" "C1964" 0.0091619088621008
"46" "C5" "C1174" 0.00923376354918107
"47" "C5" "C1454" 0.00932352409374417
"48" "C5" "C1209" 0.0104013836101641
"49" "C5" "C1675" 0.0110849973461589
"50" "C5" "C1155" 0.0117137476117031
"51" "C6" "C794" 0.0092368530661153
"52" "C6" "C1920" 0.0107697602732692
"53" "C6" "C834" 0.0123762709881681
"54" "C6" "C2367" 0.0125144123161889
"55" "C6" "C1671" 0.0126005771155646
"56" "C6" "C322" 0.0127409196673832
"57" "C6" "C2597" 0.0130266980462283
"58" "C6" "C2580" 0.0133831628566891
"59" "C6" "C1392" 0.0141412061400057
"60" "C6" "C835" 0.0147584087974237
"61" "C7" "C364" 0.00979824676827076
"62" "C7" "C1208" 0.00983669909608472
"63" "C7" "C618" 0.0108110428753404
"64" "C7" "C1701" 0.0111151351639678
"65" "C7" "C505" 0.0157879317405381
"66" "C7" "C1300" 0.0160087207699034
"67" "C7" "C1411" 0.0160789061120676
"68" "C7" "C2091" 0.0164509928436945
"69" "C7" "C49" 0.0168069651122254
"70" "C7" "C1917" 0.0170363056059464
"71" "C8" "C87" 0.011473291865472
"72" "C8" "C633" 0.0117010791895967
"73" "C8" "C522" 0.0139000849834135
"74" "C8" "C638" 0.0177269951642539
"75" "C8" "C1198" 0.0181028994960341
"76" "C8" "C1711" 0.0203993518157651
"77" "C8" "C1714" 0.0209889675314918
"78" "C8" "C324" 0.0211832629373696
"79" "C8" "C1814" 0.0213515860118979
"80" "C9" "C784" 0.0117614043476956
"81" "C9" "C723" 0.0142520965040411
"82" "C9" "C1323" 0.0151733457733774
"83" "C9" "C1014" 0.0187115346670314
"84" "C9" "C2295" 0.0221201152618946
"85" "C9" "C1432" 0.0228140356386782
"86" "C9" "C2630" 0.0252745724084342
"87" "C9" "C1465" 0.0315175665031925
"88" "C9" "C734" 0.0323754244341818
"89" "C9" "C1478" 0.0326710181703929
"90" "C10" "C445" 0.00971348301702354
"91" "C10" "C875" 0.0105603071347426
"92" "C10" "C265" 0.0115488892069005
"93" "C10" "C647" 0.0122486862659544
"94" "C10" "C1946" 0.0123462691056866
"95" "C10" "C2613" 0.0126135902408497
"96" "C10" "C111" 0.0130192184822849
"97" "C10" "C392" 0.0135571559313876
"98" "C10" "C769" 0.0137836456476498
"99" "C10" "C2215" 0.0141173249015456
"100" "C11" "C776" 0.00528151134137602
"101" "C11" "C2175" 0.00693598139870401
"102" "C11" "C1246" 0.00827488749946273
"103" "C11" "C2525" 0.00941645330279856
"104" "C11" "C2615" 0.0100416253497055
"105" "C11" "C150" 0.0102947622025524
"106" "C11" "C147" 0.0106878562827063
"107" "C11" "C2169" 0.0108459033942134
"108" "C11" "C452" 0.0116077619256532
"109" "C11" "C1473" 0.0121720161512758
"110" "C12" "C1091" 0.00799376360675022
"111" "C12" "C2444" 0.00873330107147621
"112" "C12" "C1586" 0.00923944587572131
"113" "C12" "C2182" 0.0137268421474546
"114" "C12" "C972" 0.0142899713158919
"115" "C12" "C1282" 0.0149424745319187
"116" "C12" "C1017" 0.0150734720401838
"117" "C12" "C41" 0.0162420312468507
"118" "C12" "C1250" 0.0175904101897109
"119" "C12" "C176" 0.0183199179974548
"120" "C13" "C1021" 0.00310513589948937
"121" "C13" "C1092" 0.00669786425650268
"122" "C13" "C2563" 0.00752660839390386
"123" "C13" "C1799" 0.00816345436673222
"124" "C13" "C454" 0.00879133586983353
"125" "C13" "C1847" 0.00969422482090159
"126" "C13" "C2018" 0.010347990150032
"127" "C13" "C1709" 0.0111508668305291
"128" "C13" "C530" 0.0117113477763882
"129" "C13" "C2063" 0.0117462236996884
"130" "C14" "C1129" 0.00405905930858542
"131" "C14" "C2363" 0.00630896663478526
"132" "C14" "C1005" 0.00707442549900416
"133" "C14" "C403" 0.00728136099228287
"134" "C14" "C1997" 0.00752784129530518
"135" "C14" "C1421" 0.00796687933921648
"136" "C14" "C1413" 0.00814511449915857
"137" "C14" "C1245" 0.0104068747023333
"138" "C14" "C605" 0.0105737473277541
"139" "C14" "C1164" 0.0111039513410435
"140" "C15" "C1125" 0.00401510790501592
"141" "C15" "C1513" 0.00840242378412292
"142" "C15" "C176" 0.00907513237917909
"143" "C15" "C1590" 0.00972739703678245
"144" "C15" "C832" 0.0126397868401654
"145" "C15" "C1586" 0.0129607797726297
"146" "C15" "C789" 0.0132804219687548
"147" "C15" "C1017" 0.0151771092760948
"148" "C15" "C2594" 0.0161434900349189
"149" "C15" "C41" 0.0172944110661474
"150" "C16" "C1428" 0.00617076592096865
"151" "C16" "C883" 0.00656641016334375
"152" "C16" "C2233" 0.00664191913219257
"153" "C16" "C636" 0.00710102454571346
"154" "C16" "C2216" 0.0086135011488897
"155" "C16" "C296" 0.00861493278899341
"156" "C16" "C2169" 0.00883837603448475
"157" "C16" "C772" 0.00885202066917792
"158" "C16" "C1414" 0.00950371710428869
"159" "C16" "C1473" 0.0100115406130413
"160" "C17" "C1522" 0.0134827552135249
"161" "C17" "C788" 0.0159266385477308
"162" "C17" "C2230" 0.0220362078285795
"163" "C17" "C1899" 0.0231928423451525
"164" "C17" "C255" 0.0234599629464008
"165" "C17" "C1073" 0.0241523491651771
"166" "C17" "C1504" 0.0264441268207095
"167" "C17" "C1420" 0.0290687656462953
"168" "C17" "C2446" 0.0292040768153244
"169" "C17" "C229" 0.0292648989339964
