"from" "to" "weight"
"1" "Cell1" "Cell77" 0.00172215452605457
"2" "Cell1" "Cell462" 0.00261774412529474
"3" "Cell1" "Cell201" 0.00277092799167463
"4" "Cell1" "Cell96" 0.00322398195437011
"5" "Cell1" "Cell21" 0.00354835664183
"6" "Cell1" "Cell486" 0.00355028743066707
"7" "Cell1" "Cell519" 0.00371709269927496
"8" "Cell1" "Cell6" 0.00377574468188478
"9" "Cell1" "Cell36" 0.00421946001774871
"10" "Cell1" "Cell453" 0.00451031196023647
"11" "Cell2" "Cell493" 0.00222488383284957
"12" "Cell2" "Cell189" 0.00253145697709786
"13" "Cell2" "Cell492" 0.00308279253739992
"14" "Cell2" "Cell187" 0.00392804369336948
"15" "Cell2" "Cell251" 0.00407417491853047
"16" "Cell2" "Cell354" 0.00419128476561342
"17" "Cell2" "Cell377" 0.00424628554017259
"18" "Cell2" "Cell252" 0.00443268298557711
"19" "Cell2" "Cell379" 0.00458817490397364
"20" "Cell2" "Cell447" 0.00484619995299585
"21" "Cell3" "Cell262" 0.00385693733089069
"22" "Cell3" "Cell346" 0.00405059498249535
"23" "Cell3" "Cell5" 0.00409448717964411
"24" "Cell3" "Cell150" 0.00425208361729284
"25" "Cell3" "Cell41" 0.00432729786714022
"26" "Cell3" "Cell145" 0.00500170518054752
"27" "Cell3" "Cell6" 0.00501488302307834
"28" "Cell3" "Cell462" 0.00510824545253593
"29" "Cell3" "Cell239" 0.00518776623937534
"30" "Cell3" "Cell469" 0.00558393608900339
"31" "Cell4" "Cell81" 0.00312891887351845
"32" "Cell4" "Cell220" 0.00353389915851259
"33" "Cell4" "Cell556" 0.003785306813162
"34" "Cell4" "Cell338" 0.00386008117432624
"35" "Cell4" "Cell206" 0.00386793237829552
"36" "Cell4" "Cell115" 0.00402028469040715
"37" "Cell4" "Cell292" 0.00406961368021226
"38" "Cell4" "Cell228" 0.00424746458136969
"39" "Cell4" "Cell65" 0.00453820986470259
"40" "Cell4" "Cell138" 0.00471889503261291
"41" "Cell5" "Cell150" 0.0039662104045586
"42" "Cell5" "Cell262" 0.00406267268394224
"43" "Cell5" "Cell445" 0.00418088096344874
"44" "Cell5" "Cell239" 0.00432356956986858
"45" "Cell5" "Cell346" 0.00459483954228421
"46" "Cell5" "Cell469" 0.00471849764920444
"47" "Cell5" "Cell84" 0.00640222224089014
"48" "Cell5" "Cell177" 0.00644441300321304
"49" "Cell5" "Cell86" 0.00647037217870377
"50" "Cell6" "Cell462" 0.00289080617997926
"51" "Cell6" "Cell96" 0.00390867813684212
"52" "Cell6" "Cell21" 0.0040224763806897
"53" "Cell6" "Cell77" 0.00414368058050748
"54" "Cell6" "Cell486" 0.0048998372660235
"55" "Cell6" "Cell262" 0.00512019310263584
"56" "Cell6" "Cell201" 0.00521888405944065
"57" "Cell6" "Cell519" 0.0053454947163966
"58" "Cell7" "Cell267" 0.00256670813799592
"59" "Cell7" "Cell380" 0.00256728814800856
"60" "Cell7" "Cell277" 0.00317169105332367
"61" "Cell7" "Cell528" 0.00335145099506113
"62" "Cell7" "Cell463" 0.00374698238662203
"63" "Cell7" "Cell248" 0.00433524931879234
"64" "Cell7" "Cell170" 0.00452255761235147
"65" "Cell7" "Cell24" 0.00465830442573579
"66" "Cell7" "Cell350" 0.004883025946892
"67" "Cell7" "Cell508" 0.00492185337018116
"68" "Cell8" "Cell475" 0.00355849370160612
"69" "Cell8" "Cell398" 0.00434035132759019
"70" "Cell8" "Cell535" 0.00469412952179009
"71" "Cell8" "Cell66" 0.00483226302958405
"72" "Cell8" "Cell335" 0.00489959956190429
"73" "Cell8" "Cell112" 0.00502782219460504
"74" "Cell8" "Cell418" 0.00522825472117298
"75" "Cell8" "Cell530" 0.00527440627705315
"76" "Cell8" "Cell101" 0.0054637501276434
"77" "Cell8" "Cell357" 0.00560248668012479
"78" "Cell9" "Cell328" 0.00326851821531997
"79" "Cell9" "Cell417" 0.00364592623930723
"80" "Cell9" "Cell303" 0.00412747805965781
"81" "Cell9" "Cell361" 0.00457618367366065
"82" "Cell9" "Cell108" 0.00510718702919166
"83" "Cell9" "Cell522" 0.00524594801867929
"84" "Cell9" "Cell494" 0.00526752643656888
"85" "Cell9" "Cell544" 0.00548848181772167
"86" "Cell9" "Cell113" 0.00602638884020657
"87" "Cell9" "Cell405" 0.00604163683347252
"88" "Cell10" "Cell517" 0.00401516437102108
"89" "Cell10" "Cell95" 0.00471812892156209
"90" "Cell10" "Cell99" 0.0048739202591979
"91" "Cell10" "Cell272" 0.00503300443577841
"92" "Cell10" "Cell184" 0.00519730096117548
"93" "Cell10" "Cell93" 0.00589123269035208
"94" "Cell10" "Cell139" 0.00596033888708477
