"from" "to" "weight"
"1" "Cell1" "Cell418" 0.00537196725575268
"2" "Cell1" "Cell51" 0.00655057008532742
"3" "Cell1" "Cell478" 0.00729950580575177
"4" "Cell1" "Cell452" 0.0074696841095299
"5" "Cell1" "Cell447" 0.00758026929366378
"6" "Cell1" "Cell518" 0.00767681088725533
"7" "Cell1" "Cell508" 0.0077065913966008
"8" "Cell1" "Cell150" 0.0077752844501567
"9" "Cell1" "Cell126" 0.00786886985285868
"10" "Cell1" "Cell391" 0.00837723004122282
"11" "Cell2" "Cell204" 0.0027895546833938
"12" "Cell2" "Cell292" 0.00302576483703237
"13" "Cell2" "Cell263" 0.00310513383218377
"14" "Cell2" "Cell467" 0.00414735276382793
"15" "Cell2" "Cell211" 0.00436300341428916
"16" "Cell2" "Cell446" 0.0043631865716829
"17" "Cell2" "Cell217" 0.00449644478333501
"18" "Cell2" "Cell177" 0.00500571251055052
"19" "Cell2" "Cell154" 0.00501475909107918
"20" "Cell2" "Cell403" 0.00503302107745326
"21" "Cell3" "Cell310" 0.00279977568288376
"22" "Cell3" "Cell350" 0.00312957294265726
"23" "Cell3" "Cell201" 0.00422562726689378
"24" "Cell3" "Cell530" 0.00514516707933049
"25" "Cell3" "Cell373" 0.00585960847126066
"26" "Cell3" "Cell402" 0.00587175618288268
"27" "Cell3" "Cell239" 0.00593136692773339
"28" "Cell3" "Cell156" 0.00645474988875193
"29" "Cell3" "Cell525" 0.00671382873529064
"30" "Cell3" "Cell189" 0.0067223386051789
"31" "Cell4" "Cell93" 0.00439007433742295
"32" "Cell4" "Cell102" 0.00469286057964287
"33" "Cell4" "Cell464" 0.00545812596432585
"34" "Cell4" "Cell326" 0.00571313974695235
"35" "Cell4" "Cell82" 0.00624794427295903
"36" "Cell4" "Cell353" 0.00628393993346005
"37" "Cell4" "Cell404" 0.00661909419893248
"38" "Cell4" "Cell199" 0.00707703077961031
"39" "Cell4" "Cell533" 0.00713625823298657
"40" "Cell4" "Cell232" 0.00715634408376775
"41" "Cell5" "Cell153" 0.00299682140180584
"42" "Cell5" "Cell520" 0.00387898098184994
"43" "Cell5" "Cell548" 0.0039372329629484
"44" "Cell5" "Cell20" 0.00395262511387174
"45" "Cell5" "Cell181" 0.00437339304756711
"46" "Cell5" "Cell39" 0.00455984741558924
"47" "Cell5" "Cell496" 0.00462397212439422
"48" "Cell5" "Cell301" 0.00474364423588802
"49" "Cell5" "Cell92" 0.00520120710188975
"50" "Cell5" "Cell62" 0.00616928064807557
"51" "Cell6" "Cell252" 0.0028836490843471
"52" "Cell6" "Cell273" 0.0029197181469405
"53" "Cell6" "Cell396" 0.00437717587532958
"54" "Cell6" "Cell359" 0.00452049068908869
"55" "Cell6" "Cell436" 0.00467045735056232
"56" "Cell6" "Cell500" 0.00474992016343832
"57" "Cell6" "Cell274" 0.00532233022142495
"58" "Cell6" "Cell300" 0.00539067393871499
"59" "Cell6" "Cell497" 0.00582093946344749
"60" "Cell6" "Cell428" 0.00678582028364013
"61" "Cell7" "Cell195" 0.00573750533692048
"62" "Cell7" "Cell365" 0.00595464821923995
"63" "Cell7" "Cell231" 0.00631821014372412
"64" "Cell7" "Cell387" 0.00639519678224307
"65" "Cell7" "Cell8" 0.00646338692078197
"66" "Cell7" "Cell421" 0.00661069865068542
"67" "Cell7" "Cell123" 0.00719130586512647
"68" "Cell7" "Cell137" 0.00724325664711249
"69" "Cell7" "Cell186" 0.00755274141046818
"70" "Cell7" "Cell524" 0.00759545728071724
"71" "Cell8" "Cell195" 0.0035399184833686
"72" "Cell8" "Cell421" 0.00403892196439296
"73" "Cell8" "Cell365" 0.00423177126337976
"74" "Cell8" "Cell123" 0.00431208854886108
"75" "Cell8" "Cell519" 0.00446120792548718
"76" "Cell8" "Cell79" 0.00527973549338442
"77" "Cell8" "Cell477" 0.00530472409001696
"78" "Cell8" "Cell469" 0.00547746605865658
"79" "Cell8" "Cell513" 0.00558932753859042
"80" "Cell8" "Cell137" 0.00564032478080511
"81" "Cell9" "Cell540" 0.00507493359691235
"82" "Cell9" "Cell114" 0.0051840425351169
"83" "Cell9" "Cell103" 0.00584448363519592
"84" "Cell9" "Cell544" 0.00632753614565582
"85" "Cell9" "Cell328" 0.00635132220470564
"86" "Cell9" "Cell465" 0.0065594752695515
"87" "Cell9" "Cell209" 0.00678489541675934
"88" "Cell9" "Cell27" 0.006879858734425
"89" "Cell9" "Cell40" 0.0071916025101951
"90" "Cell9" "Cell476" 0.00724757136639002
"91" "Cell10" "Cell116" 0.00538051687513091
"92" "Cell10" "Cell430" 0.00542497028731497
"93" "Cell10" "Cell547" 0.00624359250265314
"94" "Cell10" "Cell495" 0.00647649993214541
"95" "Cell10" "Cell115" 0.0072444040001561
"96" "Cell10" "Cell466" 0.00747757377495694
"97" "Cell10" "Cell393" 0.00809277767037973
"98" "Cell10" "Cell49" 0.00814347830479908
"99" "Cell10" "Cell414" 0.00855606034485088
"100" "Cell10" "Cell296" 0.00866744271911685
"101" "Cell11" "Cell311" 0.00568310177330343
"102" "Cell11" "Cell427" 0.00578806831588852
"103" "Cell11" "Cell249" 0.00619791989174762
"104" "Cell11" "Cell17" 0.00766194603942631
"105" "Cell11" "Cell143" 0.00804734286720506
"106" "Cell11" "Cell238" 0.00848806869924785
"107" "Cell11" "Cell81" 0.00848818368731906
"108" "Cell11" "Cell133" 0.00910324889218723
"109" "Cell11" "Cell468" 0.00921378661145211
"110" "Cell11" "Cell184" 0.00925963562012412
"111" "Cell12" "Cell214" 0.00182067157471272
"112" "Cell12" "Cell366" 0.00353769793253967
"113" "Cell12" "Cell501" 0.00402934608700629
"114" "Cell12" "Cell117" 0.00528424233566452
"115" "Cell12" "Cell246" 0.00577773908206695
"116" "Cell12" "Cell363" 0.00594305722510836
"117" "Cell12" "Cell511" 0.00597954982239916
"118" "Cell12" "Cell107" 0.00643302236301632
"119" "Cell12" "Cell470" 0.00646077939525976
"120" "Cell12" "Cell290" 0.00662127905772752
"121" "Cell13" "Cell243" 0.00271036923409434
"122" "Cell13" "Cell208" 0.00466000166768685
"123" "Cell13" "Cell132" 0.00467627661994166
"124" "Cell13" "Cell240" 0.00546532200497742
"125" "Cell13" "Cell194" 0.00566195579703167
"126" "Cell13" "Cell313" 0.00595935257004898
"127" "Cell13" "Cell325" 0.00631808666660667
"128" "Cell13" "Cell204" 0.00681820081534525
"129" "Cell13" "Cell19" 0.00696702689614868
"130" "Cell13" "Cell76" 0.00748102077770015
"131" "Cell14" "Cell100" 0.00185624862530043
"132" "Cell14" "Cell286" 0.00343748712081805
"133" "Cell14" "Cell247" 0.00364026828605888
"134" "Cell14" "Cell118" 0.00367963481183641
"135" "Cell14" "Cell425" 0.0037481114193413
"136" "Cell14" "Cell73" 0.00405635617538634
"137" "Cell14" "Cell354" 0.00499598572122819
"138" "Cell14" "Cell372" 0.0055240096685302
"139" "Cell14" "Cell105" 0.00565385539137895
"140" "Cell14" "Cell163" 0.00593773150107922
"141" "Cell15" "Cell272" 0.00438093930138503
"142" "Cell15" "Cell200" 0.00484581169166049
"143" "Cell15" "Cell90" 0.00621489477624291
"144" "Cell15" "Cell28" 0.00627075876619433
"145" "Cell15" "Cell371" 0.00684287282664636
"146" "Cell15" "Cell16" 0.0069974787388849
"147" "Cell15" "Cell149" 0.00809247605269549
"148" "Cell15" "Cell509" 0.00857198099521757
"149" "Cell15" "Cell414" 0.00914601401991963
"150" "Cell15" "Cell466" 0.00953309592946201
"151" "Cell16" "Cell200" 0.00502244829793224
"152" "Cell16" "Cell547" 0.00557161917215737
"153" "Cell16" "Cell517" 0.00665023260947403
"154" "Cell16" "Cell149" 0.00675350284762118
"155" "Cell16" "Cell466" 0.00737190551352213
"156" "Cell16" "Cell509" 0.00774018408731634
"157" "Cell16" "Cell294" 0.00797517172654512
"158" "Cell16" "Cell99" 0.00824930127066918
"159" "Cell16" "Cell115" 0.00827218826117761
"160" "Cell17" "Cell143" 0.00246647895198875
