"from" "to" "weight"
"1" "Lsk.3" "Lsk.31" 1.36554285851169
"2" "Lsk.3" "Cmp.30" 1.61244148254989
"3" "Lsk.3" "Lsk.80" 2.34649555348245
"4" "Lsk.3" "Cmp.15" 3.88460136816337
"5" "Lsk.3" "Cmp.26" 4.40058831201207
"6" "Lsk.3" "Lsk.9" 6.52442854919434
"7" "Lsk.3" "Cmp.49" 6.72006091395729
"8" "Lsk.3" "Lsk.19" 6.83893586174767
"9" "Lsk.3" "Lsk.12" 8.16865280067424
"10" "Lsk.3" "Lsk.48" 9.04499459213574
"11" "Lsk.80" "Cmp.15" 1.54530231449942
"12" "Lsk.80" "Cmp.30" 3.54387592247844
"13" "Lsk.80" "Lsk.31" 3.5513246938573
"14" "Lsk.80" "Lsk.19" 4.5117403739938
"15" "Lsk.80" "Cmp.49" 4.86237700835093
"16" "Lsk.80" "Cmp.26" 5.6092597581169
"17" "Lsk.80" "Lsk.48" 6.70830911912948
"18" "Lsk.80" "Lsk.9" 7.650332514943
"19" "Lsk.80" "Lsk.78" 8.26873231702175
"20" "Lsk.81" "Lsk.42" 1.13593157622165
"21" "Lsk.81" "Lsk.87" 1.85223402081669
"22" "Lsk.81" "Cmp.4" 2.26602872078169
"23" "Lsk.81" "Lsk.30" 2.70655662473545
"24" "Lsk.81" "Lsk.58" 2.82977659854907
"25" "Lsk.81" "Lsk.69" 3.13747273218838
"26" "Lsk.81" "Lsk.15" 3.55742381188542
"27" "Lsk.81" "Lsk.89" 3.78568480031597
"28" "Lsk.81" "Lsk.95" 4.57182310875723
"29" "Lsk.81" "Lsk.96" 5.36265850486453
"30" "Lsk.65" "Lsk.18" 1.33727554530601
"31" "Lsk.65" "Lsk.74" 1.74467788869191
"32" "Lsk.65" "Cmp.32" 2.96568273886625
"33" "Lsk.65" "Lsk.49" 3.08677212018716
"34" "Lsk.65" "Lsk.78" 3.11107536034514
"35" "Lsk.65" "Cmp.39" 3.96556028373869
"36" "Lsk.65" "Lsk.88" 5.35694248396263
"37" "Lsk.65" "Lsk.62" 5.41943552064813
"38" "Lsk.65" "Lsk.12" 5.67800444613575
"39" "Lsk.65" "Lsk.44" 5.74364446406641
"40" "Lsk.16" "Cmp.94" 2.02728957124222
"41" "Lsk.16" "Lsk.51" 2.30727201823429
"42" "Lsk.16" "Lsk.6" 2.83756039868997
"43" "Lsk.16" "Lsk.40" 3.06163448857408
"44" "Lsk.16" "Lsk.4" 3.58513827356496
"45" "Lsk.16" "Lsk.83" 4.73863622944919
"46" "Lsk.16" "Lsk.22" 4.76934836836973
"47" "Lsk.16" "Lsk.91" 4.77813028299754
"48" "Lsk.16" "Lsk.73" 5.09225330448673
"49" "Lsk.16" "Cmp.9" 5.25630726504976
"50" "Lsk.17" "Lsk.54" 3.88210924684567
"51" "Lsk.17" "Lsk.84" 4.04411967855622
"52" "Lsk.17" "Lsk.73" 4.15597542886954
"53" "Lsk.17" "Lsk.96" 4.74688780913395
"54" "Lsk.17" "Lsk.91" 4.95566079341659
"55" "Lsk.17" "Lsk.4" 5.66738374985135
