"from" "to" "weight"
"1" "C1" "C420" 2.09993170770556
"2" "C1" "C394" 2.43728109562298
"3" "C1" "C104" 2.64642486131245
"4" "C1" "C296" 2.7828384223005
"5" "C1" "C406" 3.87164692556873
"6" "C1" "C536" 3.97501336659066
"7" "C1" "C15" 4.52596663536683
"8" "C1" "C497" 4.81440683396569
"9" "C1" "C204" 4.95160475865998
"10" "C1" "C53" 5.05321565864123
"11" "C2" "C469" 0.936160552036432
"12" "C2" "C319" 1.82246843609673
"13" "C2" "C556" 2.1970264180806
"14" "C2" "C68" 2.8106556074145
"15" "C2" "C34" 2.89536899633092
"16" "C2" "C100" 3.04557027095762
"17" "C2" "C28" 3.71615198282849
"18" "C2" "C190" 3.76423006567605
"19" "C2" "C65" 3.9653947950257
"20" "C2" "C177" 4.06462934349947
"21" "C3" "C133" 0.762795568973644
"22" "C3" "C70" 1.35989683977923
"23" "C3" "C105" 1.41110567116261
"24" "C3" "C326" 1.99735974661915
"25" "C3" "C53" 2.38864017002595
"26" "C3" "C536" 3.69729869911655
"27" "C3" "C497" 4.71726315541565
"28" "C3" "C211" 4.92478825439169
"29" "C3" "C253" 5.27951465404125
"30" "C3" "C183" 5.33971694568456
"31" "C4" "C297" 1.64570732921769
"32" "C4" "C376" 2.04803421081008
"33" "C4" "C172" 2.46357759647087
"34" "C4" "C69" 2.50653448241357
"35" "C4" "C99" 3.72798550911607
"36" "C4" "C543" 4.18795489319954
"37" "C4" "C103" 4.26902755243601
"38" "C4" "C417" 4.5570446507791
"39" "C4" "C534" 4.66056506020653
"40" "C4" "C131" 5.10347240991934
"41" "C5" "C461" 1.95279981684439
"42" "C5" "C556" 2.03561434314287
"43" "C5" "C65" 3.26058990637206
"44" "C5" "C68" 3.93035528973295
"45" "C2" "C5" 4.20466844256024
"46" "C5" "C331" 4.41698467170944
"47" "C5" "C469" 4.4434527003967
"48" "C5" "C269" 5.37512316612476
"49" "C5" "C242" 5.89374464567633
"50" "C5" "C319" 6.02577503660047
"51" "C6" "C125" 0.170556959989267
"52" "C6" "C220" 0.187299347147292
"53" "C6" "C400" 0.345935950574614
"54" "C6" "C78" 0.385337418116033
"55" "C6" "C14" 0.485025043735337
"56" "C6" "C267" 0.48817843709464
"57" "C6" "C349" 0.533744788297139
"58" "C6" "C445" 0.560576223069838
"59" "C6" "C292" 0.610136341203616
"60" "C6" "C430" 0.632317287350059
"61" "C7" "C126" 1.46400564324228
"62" "C7" "C425" 4.74358601803618
"63" "C7" "C108" 4.94093227837594
"64" "C7" "C472" 7.52491285866241
"65" "C7" "C370" 9.12288972918178
"66" "C7" "C531" 9.73641468388123
"67" "C7" "C243" 14.9449715211383
"68" "C7" "C514" 15.3632243673007
"69" "C7" "C289" 15.6665408561025
"70" "C7" "C251" 16.1977566337347
"71" "C8" "C555" 2.41366934408583
"72" "C8" "C491" 2.52369951311808
"73" "C8" "C57" 2.58847156117945
"74" "C8" "C268" 3.06806300266113
"75" "C8" "C321" 3.13952260226738
"76" "C8" "C396" 3.16644489595517
"77" "C8" "C348" 3.80052736603011
"78" "C8" "C288" 4.21487782172796
"79" "C8" "C528" 4.22873277275167
"80" "C8" "C361" 4.27900355491929
"81" "C9" "C312" 0.609747234252068
"82" "C9" "C191" 1.0691997221347
"83" "C9" "C494" 1.40839871803015
"84" "C9" "C558" 1.48239906605024
"85" "C9" "C516" 1.77824452078763
"86" "C9" "C532" 2.11050544479989
"87" "C9" "C468" 2.40955899046277
"88" "C9" "C282" 3.21589620881323
"89" "C9" "C30" 3.52017719439945
"90" "C9" "C261" 3.81540252627161
"91" "C10" "C449" 0.446537585115733
"92" "C10" "C42" 1.08587687397369
"93" "C10" "C542" 1.17654921990177
"94" "C10" "C493" 1.31267235559373
"95" "C10" "C218" 1.32790282650754
"96" "C10" "C239" 1.53131718512384
"97" "C10" "C343" 1.80015818386715
"98" "C10" "C58" 1.92160806784715
"99" "C10" "C90" 2.50446945237224
"100" "C10" "C508" 2.63426708560915
"101" "C11" "C180" 1.52668834111061
"102" "C11" "C315" 1.86180392632356
"103" "C11" "C557" 2.27893341137593
"104" "C11" "C549" 2.31201135328024
"105" "C11" "C477" 3.21174415427904
"106" "C11" "C364" 3.70085015225064
"107" "C11" "C276" 3.88743318150741
"108" "C11" "C418" 3.92684560335287
"109" "C11" "C329" 4.09239384185121
"110" "C11" "C386" 4.37693133510687
"111" "C12" "C201" 0.527177337361863
"112" "C12" "C285" 0.768695273532364
"113" "C12" "C198" 0.920922907180755
"114" "C12" "C360" 0.997546618176042
"115" "C12" "C391" 1.33256132712499
"116" "C12" "C433" 1.51505281533861
"117" "C12" "C266" 1.6723706273345
"118" "C12" "C301" 1.81022291619172
"119" "C12" "C501" 2.20834932976975
"120" "C12" "C199" 2.38586537629525
"121" "C13" "C271" 0.354686036964615
"122" "C13" "C22" 0.410057397429526
"123" "C13" "C332" 0.414447015688481
"124" "C13" "C362" 0.434144874546353
"125" "C13" "C450" 0.464572534432071
"126" "C13" "C426" 0.486724008867949
"127" "C13" "C436" 0.489934912036768
"128" "C13" "C480" 0.551751250158884
"129" "C13" "C55" 0.605239045992022
"130" "C13" "C363" 0.613340012268382
"131" "C14" "C125" 0.383528725413074
"132" "C14" "C78" 0.384215427280363
"133" "C14" "C474" 0.414856652744249
"134" "C14" "C147" 0.428056349547921
"135" "C14" "C240" 0.534924612254952
"136" "C14" "C220" 0.543051241270081
"137" "C14" "C445" 0.582920091266179
"138" "C14" "C400" 0.591898468561721
"139" "C14" "C387" 0.593600168656865
"140" "C15" "C28" 2.01929370276663
"141" "C15" "C394" 2.27400733817373
"142" "C15" "C420" 2.59367299659544
"143" "C15" "C20" 2.6456030213268
"144" "C15" "C204" 2.67569979830752
"145" "C15" "C34" 2.69314565375219
"146" "C15" "C177" 2.74525350166724
"147" "C15" "C190" 2.78995590757531
"148" "C15" "C406" 3.05923650658709
"149" "C15" "C466" 3.48780643304384
"150" "C16" "C112" 0.404188896239441
"151" "C16" "C98" 0.452270260520251
"152" "C16" "C506" 0.577561299898289
"153" "C16" "C356" 0.698653358396854
"154" "C16" "C257" 0.828373873240246
"155" "C16" "C363" 1.03703936614429
"156" "C16" "C317" 1.32740842996167
"157" "C16" "C304" 1.39704658223888
"158" "C16" "C426" 1.41672417286442
"159" "C16" "C479" 1.45987968841715
"160" "C17" "C402" 0.275933283833567
"161" "C17" "C144" 0.339053535636435
