"from" "to" "weight"
"1" "C1" "C397" 0.302564824961471
"2" "C1" "C234" 0.990020859673322
"3" "C1" "C49" 1.30749026027437
"4" "C1" "C280" 2.80245348728293
"5" "C1" "C410" 3.46750015080402
"6" "C1" "C387" 4.04003164386117
"7" "C1" "C15" 4.07314253191418
"8" "C1" "C138" 6.15481578895316
"9" "C1" "C568" 6.791420015297
"10" "C1" "C154" 6.79218502434167
"11" "C2" "C555" 0.761986755075327
"12" "C2" "C513" 0.808402831469306
"13" "C2" "C305" 1.68441412497836
"14" "C2" "C126" 1.75535386771619
"15" "C2" "C30" 2.21589482858498
"16" "C2" "C95" 2.48969642999535
"17" "C2" "C565" 2.52273740182528
"18" "C2" "C574" 2.83495503816923
"19" "C2" "C150" 2.95369709379359
"20" "C2" "C288" 3.04107046262869
"21" "C3" "C46" 1.00365699736802
"22" "C3" "C519" 1.47055119734715
"23" "C3" "C571" 2.02854388479257
"24" "C3" "C367" 3.0614175078841
"25" "C3" "C241" 3.55138735997565
"26" "C3" "C58" 3.7629477629203
"27" "C3" "C36" 3.96256801283981
"28" "C3" "C455" 4.95456182913452
"29" "C3" "C183" 5.24256929826513
"30" "C3" "C57" 5.43309874086738
"31" "C4" "C210" 1.89469071396684
"32" "C4" "C251" 2.62489265508908
"33" "C4" "C517" 3.40744459481908
"34" "C4" "C572" 3.76560436799136
"35" "C4" "C490" 3.9081339307257
"36" "C4" "C114" 4.14859796005507
"37" "C4" "C472" 4.71061895681283
"38" "C4" "C338" 4.95603583271315
"39" "C4" "C294" 4.96240548485787
"40" "C4" "C480" 5.20557558596724
"41" "C5" "C41" 1.90391515962559
"42" "C5" "C443" 3.99472182685217
"43" "C5" "C427" 6.19995422967385
"44" "C5" "C44" 6.24092310377256
"45" "C5" "C542" 6.83012493645647
"46" "C5" "C211" 8.08585091732859
"47" "C5" "C303" 9.69166354996265
"48" "C5" "C64" 11.1859056828147
"49" "C5" "C414" 11.8788846589758
"50" "C5" "C545" 12.4273236005569
"51" "C6" "C104" 3.25796030666946
"52" "C6" "C76" 3.62608553633929
"53" "C6" "C147" 5.01492126478785
"54" "C6" "C177" 5.447358338286
"55" "C6" "C403" 5.9605909757313
"56" "C6" "C356" 6.01823129728005
"57" "C6" "C343" 6.02633424880488
"58" "C6" "C428" 7.42468447455998
"59" "C6" "C242" 7.92510231440796
"60" "C6" "C479" 8.51341175433181
"61" "C7" "C492" 1.26646242369898
"62" "C7" "C120" 1.32483033177963
"63" "C7" "C213" 1.62147965815018
"64" "C7" "C118" 1.83713278115583
"65" "C7" "C425" 1.96345894194382
"66" "C7" "C144" 2.37232546104736
"67" "C7" "C52" 2.606688299293
"68" "C7" "C158" 2.84576263123462
"69" "C7" "C250" 3.0331144592345
"70" "C7" "C468" 3.88358333120593
"71" "C8" "C481" 0.607258563171494
"72" "C8" "C454" 3.70170888501677
"73" "C8" "C161" 3.96080256348802
"74" "C8" "C291" 4.06576142742063
"75" "C8" "C369" 4.67816707694231
"76" "C8" "C339" 5.15714557588171
"77" "C8" "C51" 5.27781154822137
"78" "C8" "C441" 5.4804008824647
"79" "C8" "C154" 5.9917521382102
"80" "C8" "C254" 6.69424764582101
"81" "C9" "C367" 2.96514792790805
"82" "C9" "C36" 3.81846682367865
"83" "C9" "C571" 3.82322443689641
"84" "C9" "C519" 4.03661710126582
"85" "C3" "C9" 5.50716248510151
"86" "C9" "C58" 5.51681818056373
"87" "C9" "C279" 6.34204605470187
"88" "C9" "C46" 6.50860491645131
"89" "C9" "C72" 6.58158532046669
"90" "C9" "C365" 6.67838160072518
"91" "C10" "C394" 3.1374443535653
"92" "C10" "C53" 3.97806048805252
"93" "C10" "C218" 4.83096347796044
"94" "C10" "C506" 5.18807587032655
"95" "C10" "C404" 5.29091624389992
"96" "C10" "C556" 5.62908396125855
"97" "C10" "C484" 5.97346520029234
