"from" "to" "weight"
"1" "C1" "C145" 0.166335545904432
"2" "C1" "C90" 0.411894837826783
"3" "C1" "C473" 0.490703974635735
"4" "C1" "C323" 0.491846810807921
"5" "C1" "C842" 0.639329552410225
"6" "C1" "C618" 0.665031035230381
"7" "C1" "C713" 0.666319216583548
"8" "C1" "C261" 0.706339837662679
"9" "C1" "C562" 0.710137929494399
"10" "C1" "C687" 0.764005927519881
"11" "C2" "C925" 0.597309518830284
"12" "C2" "C36" 0.658520465241794
"13" "C2" "C434" 0.890140685574695
"14" "C2" "C232" 0.981045326209971
"15" "C2" "C466" 1.11663744262024
"16" "C2" "C827" 1.1621552641418
"17" "C2" "C609" 1.26461064679669
"18" "C2" "C163" 1.39466012983074
"19" "C2" "C419" 1.76580773769915
"20" "C2" "C790" 1.87625884294167
"21" "C3" "C565" 0.442639063635111
"22" "C3" "C448" 0.493025136219484
"23" "C3" "C328" 0.580235644238534
"24" "C3" "C632" 0.59263951450364
"25" "C3" "C863" 0.641453067286472
"26" "C3" "C214" 0.674677240029638
"27" "C3" "C461" 0.679980109319973
"28" "C3" "C77" 0.684085651424197
"29" "C3" "C708" 0.762043891103467
"30" "C3" "C678" 0.774529673928109
"31" "C4" "C346" 0.463765785711549
"32" "C4" "C924" 0.535478870729764
"33" "C4" "C324" 0.707178078657273
"34" "C4" "C908" 0.908359644286521
"35" "C4" "C430" 1.06344163199248
"36" "C4" "C812" 1.09852457407295
"37" "C4" "C581" 1.19318370216716
"38" "C4" "C729" 1.23145058834587
"39" "C4" "C617" 1.51099667127061
"40" "C4" "C606" 1.5600856486436
"41" "C5" "C394" 0.06346331745476
"42" "C5" "C805" 0.567928840606391
"43" "C5" "C484" 0.769591646805704
"44" "C5" "C594" 0.975046103517584
"45" "C5" "C799" 1.35102325328522
"46" "C5" "C828" 1.47758275371115
"47" "C5" "C740" 1.63569961326318
"48" "C5" "C408" 1.69297600437154
"49" "C5" "C542" 1.7847669070733
"50" "C5" "C871" 2.31432260059581
"51" "C6" "C298" 0.423362589823453
"52" "C6" "C561" 0.4694303097033
"53" "C6" "C178" 0.522105193870267
"54" "C6" "C480" 0.583624596232563
"55" "C6" "C483" 0.596564489675382
"56" "C6" "C665" 0.679868517859975
"57" "C6" "C108" 0.701542059422329
"58" "C6" "C668" 0.760334050552746
"59" "C6" "C172" 0.829973534009805
"60" "C6" "C87" 0.854792406831938
"61" "C7" "C555" 1.67412856526685
"62" "C7" "C270" 1.93309362199627
"63" "C7" "C601" 2.10372230688104
"64" "C7" "C826" 2.67526073523998
"65" "C7" "C54" 2.71863641858325
"66" "C7" "C376" 2.93275527677359
"67" "C7" "C140" 2.95976122940324
"68" "C7" "C284" 3.16210927812189
"69" "C7" "C169" 3.21007609840355
"70" "C7" "C722" 3.23260205741121
"71" "C8" "C103" 0.11077089351233
"72" "C8" "C929" 0.263539099952896
"73" "C8" "C91" 0.310088730542383
"74" "C8" "C704" 0.943255457791906
"75" "C8" "C865" 0.973909553337357
"76" "C8" "C447" 0.977346564867652
"77" "C8" "C443" 1.01112720676337
"78" "C8" "C226" 1.05912578406009
"79" "C8" "C303" 1.14542932259444
"80" "C8" "C649" 1.17335842366287
"81" "C9" "C867" 0.366918302347743
"82" "C9" "C856" 0.434270796792153
"83" "C9" "C123" 0.500272656654066
"84" "C9" "C389" 0.525430065714705
"85" "C9" "C196" 0.635379788754964
"86" "C9" "C583" 0.695915440385027
"87" "C9" "C923" 0.727639595064844
"88" "C9" "C68" 0.917517277431862
"89" "C9" "C850" 0.958510683488529
"90" "C9" "C907" 0.976653881863816
"91" "C10" "C708" 0.185219079063322
"92" "C10" "C764" 0.361096294727694
"93" "C10" "C461" 0.374041165788206
"94" "C10" "C863" 0.414489194220917
"95" "C10" "C518" 0.452170728418243
