"from" "to" "weight"
"1" "C1" "C6357" 0.136882361802613
"2" "C1" "C3949" 0.431141968964166
"3" "C1" "C3040" 0.465643185772733
"4" "C1" "C2816" 0.639004051410822
"5" "C1" "C2971" 0.644300647602093
"6" "C1" "C1030" 0.929697487024107
"7" "C1" "C5297" 1.00367851271185
"8" "C1" "C2840" 1.14778989407733
"9" "C1" "C1096" 1.21805459135177
"10" "C1" "C4858" 1.22331962467524
"11" "C3" "C1367" 0.268668543128701
"12" "C3" "C910" 0.547626818639688
"13" "C3" "C215" 0.553365304426433
"14" "C3" "C471" 0.563412651825178
"15" "C3" "C4148" 0.711223827071633
"16" "C3" "C5929" 0.807697534317811
"17" "C3" "C3094" 0.984408464448991
"18" "C3" "C5715" 1.01480911137784
"19" "C3" "C2616" 1.10171927684944
"20" "C3" "C311" 1.43010207904421
"21" "C4" "C1981" 0.144418316219646
"22" "C4" "C619" 0.231804314027161
"23" "C4" "C5602" 0.636211323231322
"24" "C4" "C2628" 0.656220116811981
"25" "C4" "C4788" 0.771750914483492
"26" "C4" "C1729" 0.951321833141346
"27" "C4" "C3916" 0.993752721688883
"28" "C4" "C1020" 1.10658698295117
"29" "C4" "C4348" 1.19263595889299
"30" "C4" "C1639" 1.24375306842509
"31" "C5" "C2845" 1.00895120038035
"32" "C5" "C750" 1.08838617684442
"33" "C5" "C2675" 1.7434529475696
"34" "C5" "C3014" 1.80369429807463
"35" "C5" "C2085" 1.86134238671738
"36" "C5" "C5841" 2.05359038073219
"37" "C5" "C5688" 2.20043224646768
"38" "C5" "C751" 2.21227269469222
"39" "C5" "C834" 2.33607687547562
"40" "C5" "C235" 2.38134718959214
"41" "C6" "C1746" 0.0610810191359411
"42" "C6" "C449" 0.345968904002266
"43" "C6" "C3531" 0.387361294034136
"44" "C6" "C2982" 0.455060914777988
"45" "C6" "C2487" 0.548287278055163
"46" "C6" "C4001" 0.933479476332214
"47" "C6" "C135" 0.956896407728319
"48" "C6" "C2265" 0.971321742683629
"49" "C6" "C5528" 1.10359516817225
"50" "C6" "C3618" 1.16663177206463
"51" "C7" "C5557" 2.85272443994623
"52" "C7" "C6003" 3.39277742987566
"53" "C7" "C5893" 3.70045068009634
"54" "C7" "C3936" 3.80592725093831
"55" "C7" "C2958" 3.95489346139673
"56" "C7" "C6183" 4.45494716040834
"57" "C7" "C625" 4.9962282056917
"58" "C7" "C5705" 5.09691129193016
"59" "C7" "C6147" 5.28881344162393
"60" "C7" "C3131" 5.38248554188927
"61" "C8" "C5057" 0.883651226863207
"62" "C8" "C2652" 1.08347186559374
"63" "C8" "C2037" 1.59978844290398
"64" "C8" "C5544" 1.6214360663097
"65" "C8" "C3875" 2.45930768765331
"66" "C8" "C6347" 3.13916755815922
"67" "C8" "C6272" 3.38995064882296
"68" "C8" "C5550" 3.57996903817658
"69" "C8" "C730" 3.68470097611346
"70" "C8" "C3282" 3.75665453661015
"71" "C9" "C2103" 0.1659286469066
"72" "C9" "C4776" 0.219528384492104
"73" "C9" "C4751" 0.32058618038213
"74" "C9" "C4027" 0.432661133183827
"75" "C9" "C5807" 0.437577583949272
"76" "C9" "C4424" 0.482052994359061
"77" "C9" "C5329" 0.538312178137056
"78" "C9" "C3723" 0.549161109817641
"79" "C9" "C1406" 0.57569613074026
"80" "C9" "C4400" 0.59001549866842
"81" "C10" "C1214" 0.831631146022579
"82" "C10" "C2212" 1.98641800017574
"83" "C10" "C572" 2.68536501641178
"84" "C10" "C1449" 2.69299604345976
"85" "C10" "C2943" 2.70939238883077
