"from" "to" "weight"
"1" "C1" "C58" 0.651582700144144
"2" "C1" "C1411" 1.01996631493177
"3" "C1" "C1532" 1.05758725645726
"4" "C1" "C1885" 1.49424129794373
"5" "C1" "C1779" 1.51762871728094
"6" "C1" "C2526" 1.60959832264176
"7" "C1" "C323" 1.61882763445547
"8" "C1" "C1639" 1.74618229703427
"9" "C1" "C626" 1.81467228911285
"10" "C1" "C544" 1.90473955465041
"11" "C2" "C2084" 0.388792842224921
"12" "C2" "C1258" 0.832367841207507
"13" "C2" "C514" 0.897565628874273
"14" "C2" "C2293" 0.913105486295559
"15" "C2" "C2329" 0.970994460145156
"16" "C2" "C2100" 1.27416189406756
"17" "C2" "C1767" 1.32134005221474
"18" "C2" "C301" 1.52633975985097
"19" "C2" "C1791" 1.59764668850157
"20" "C2" "C930" 1.63508664530258
"21" "C3" "C725" 0.199988693954201
"22" "C3" "C1491" 0.388889037397677
"23" "C3" "C549" 0.481475918289362
"24" "C3" "C1899" 0.546210084866781
"25" "C3" "C1705" 0.651190192359128
"26" "C3" "C2326" 0.791866769769138
"27" "C3" "C2383" 0.828300533035075
"28" "C3" "C923" 1.01765175099122
"29" "C3" "C255" 1.02509778375607
"30" "C3" "C1858" 1.02961629509589
"31" "C4" "C1508" 0.362552925999146
"32" "C4" "C2173" 0.613710743141115
"33" "C4" "C2632" 1.04390828996574
"34" "C4" "C330" 1.08690982485207
"35" "C4" "C1131" 1.13560677929791
"36" "C4" "C248" 1.29078151566717
"37" "C4" "C451" 1.42048076111896
"38" "C4" "C1865" 1.47481989950803
"39" "C4" "C993" 1.54670322165558
"40" "C4" "C749" 1.62747845275919
"41" "C5" "C676" 0.929711701836772
"42" "C5" "C1595" 0.98479949575189
"43" "C5" "C729" 1.23389271956186
"44" "C5" "C494" 1.31142574849767
"45" "C5" "C2155" 1.47295509017128
"46" "C5" "C1404" 1.50780131884796
"47" "C5" "C1673" 1.73468332581394
"48" "C5" "C954" 1.76791026280485
"49" "C5" "C452" 1.77247780115139
"50" "C5" "C1285" 1.85169429224436
"51" "C6" "C2105" 0.101466602032634
"52" "C6" "C659" 0.744281088054309
"53" "C6" "C171" 1.42870821206027
"54" "C6" "C2009" 1.45395629310426
"55" "C6" "C1235" 1.8634596442963
"56" "C6" "C2455" 2.03861595620509
"57" "C6" "C1840" 2.21425111899721
"58" "C6" "C2210" 2.23848733197798
"59" "C6" "C2439" 2.4117053777634
"60" "C6" "C296" 2.59765714210612
"61" "C7" "C1049" 0.393837530270651
"62" "C7" "C516" 0.426006602116212
"63" "C7" "C769" 0.950677518693136
"64" "C7" "C2115" 1.1875372337283
"65" "C7" "C1627" 1.21969985160927
"66" "C7" "C1906" 1.29816848185531
"67" "C7" "C2136" 1.34425595801857
"68" "C7" "C36" 1.4161679877881
"69" "C7" "C1677" 1.60086340112839
"70" "C7" "C875" 1.77120274793329
"71" "C8" "C1231" 0.100444595503286
"72" "C8" "C1509" 0.161286229079729
"73" "C8" "C1010" 0.865915075799716
"74" "C8" "C2463" 0.897460273702873
"75" "C8" "C1060" 1.04161275960631
"76" "C8" "C1552" 1.27497707201377
"77" "C8" "C960" 1.29490367847031
"78" "C8" "C2101" 1.29523795512615
"79" "C8" "C1329" 1.46660305444002
"80" "C8" "C205" 1.58305258515968
"81" "C9" "C1902" 1.0054613553275
"82" "C9" "C2480" 1.04704126439962
"83" "C9" "C2378" 1.10782079389092
"84" "C9" "C1068" 1.57524222069858
"85" "C9" "C791" 1.83795898334715
"86" "C9" "C1861" 2.51755590708939
"87" "C9" "C774" 2.70255492138323
"88" "C9" "C1031" 2.9507602354941
"89" "C9" "C530" 3.22623797993002
"90" "C9" "C296" 3.27417618178208
"91" "C10" "C695" 0.713266009600303
"92" "C10" "C1935" 0.766054972768869
"93" "C10" "C334" 1.10889658080219
"94" "C10" "C1939" 1.36377253122864
"95" "C10" "C27" 1.63758829157598
"96" "C10" "C1443" 1.76325787355952
"97" "C10" "C1926" 1.87848886105426
"98" "C10" "C1572" 1.89152995292044
"99" "C10" "C868" 2.03096886453055
"100" "C10" "C2337" 2.21989763204744
"101" "C11" "C438" 0.46682956819215
"102" "C11" "C1357" 0.580950656620877
"103" "C11" "C1976" 0.620881584358597
"104" "C11" "C147" 0.633528213882412
"105" "C11" "C1019" 0.656273245300106
"106" "C11" "C132" 0.67099565538658
"107" "C11" "C1168" 0.709114808333921
"108" "C11" "C594" 0.833361649462422
"109" "C11" "C710" 0.880132578186101
"110" "C11" "C591" 0.943945145508512
"111" "C12" "C2577" 0.683296887454296
"112" "C12" "C1428" 0.78236526050963
"113" "C12" "C1139" 0.78521239114382
"114" "C12" "C1820" 0.810570949681886
"115" "C12" "C2467" 0.848293683500668
"116" "C12" "C1930" 1.04638219193164
"117" "C12" "C1510" 1.05734101349327
"118" "C12" "C1006" 1.0823083551638
"119" "C12" "C1078" 1.24540681005222
"120" "C12" "C336" 1.26461130389207
"121" "C13" "C345" 0.436463229153643
"122" "C13" "C2225" 0.696675848572008
"123" "C13" "C1328" 0.86493968934489
"124" "C13" "C1278" 0.995612247662379
"125" "C13" "C1707" 1.16913157901635
"126" "C13" "C854" 1.24230591376496
"127" "C13" "C1388" 1.36636403985706
"128" "C13" "C105" 1.39838501006833
"129" "C13" "C1454" 1.44761267199175
"130" "C13" "C2574" 1.50116233105791
"131" "C14" "C1984" 0.137847074795877
"132" "C14" "C30" 0.523628872793699
"133" "C14" "C2172" 0.54319299911934
"134" "C14" "C1375" 0.708257920927483
"135" "C14" "C479" 0.847717552787541
"136" "C14" "C474" 0.959937502526572
"137" "C14" "C363" 1.21063760416392
"138" "C14" "C837" 1.3281503952498
"139" "C14" "C270" 1.33416043592726
"140" "C14" "C668" 1.36941081347745
"141" "C15" "C1759" 0.0558647398933686
"142" "C15" "C313" 0.196664091605526
"143" "C15" "C2124" 0.236148541697573
"144" "C15" "C2469" 0.466454027410109
"145" "C15" "C242" 0.490602636344206
"146" "C15" "C1636" 0.637777729836761
"147" "C15" "C1437" 0.909569748610788
"148" "C15" "C499" 0.911728253843514
"149" "C15" "C748" 0.933757760504782
"150" "C15" "C1959" 0.943681976902437
"151" "C16" "C1629" 0.546062914908358
"152" "C16" "C317" 0.568109854293267
"153" "C16" "C1952" 0.704223404124383
"154" "C16" "C103" 0.737810188173194
"155" "C16" "C1066" 0.770387709713608
"156" "C16" "C2208" 0.801159388504563
"157" "C16" "C833" 0.814870802073079
"158" "C16" "C1650" 0.892472236421127
"159" "C16" "C1872" 0.938621147130467
"160" "C16" "C112" 0.944416630144176
"161" "C17" "C918" 0.449199662707794
"162" "C17" "C2157" 0.612696413099851
"163" "C17" "C723" 0.824884923893999
"164" "C17" "C1764" 0.848022183354382
"165" "C17" "C339" 0.950189670369428
"166" "C17" "C1660" 1.10099801182454
"167" "C17" "C1880" 1.19507375809555
"168" "C17" "C181" 1.20711113312265
"169" "C17" "C1581" 1.28369995562901
"170" "C17" "C1145" 1.415583166945
"171" "C18" "C396" 0.222737432863383
"172" "C18" "C751" 0.300068448562401
"173" "C18" "C1039" 0.505627684069746
"174" "C18" "C2495" 0.723111585133275
"175" "C18" "C537" 0.745799289390302
"176" "C18" "C531" 0.752073376977039
"177" "C18" "C288" 0.759413554424593
"178" "C18" "C855" 0.934061889323797
"179" "C18" "C311" 0.945752145327174
"180" "C18" "C1035" 0.957468603703657
"181" "C19" "C235" 0.441956397611181
"182" "C19" "C696" 0.559667913919962
"183" "C19" "C365" 0.612270483787147
"184" "C19" "C1963" 0.724770119325459
"185" "C19" "C720" 0.825380492350742
"186" "C19" "C432" 0.885213626612677
