"from" "to" "weight"
"1" "Cell1" "Cell329" 0.227083460680022
"2" "Cell1" "Cell155" 0.292508419075232
"3" "Cell1" "Cell387" 0.716363418542319
"4" "Cell1" "Cell434" 0.817856887991142
"5" "Cell1" "Cell452" 0.82086526734555
"6" "Cell1" "Cell6" 0.908452338301406
"7" "Cell1" "Cell365" 0.937824599112659
"8" "Cell1" "Cell394" 0.952144061287547
"9" "Cell1" "Cell539" 1.06391931708537
"10" "Cell1" "Cell507" 1.18664243028672
"11" "Cell2" "Cell498" 0.311424724758762
"12" "Cell2" "Cell416" 0.526228815814881
"13" "Cell2" "Cell146" 0.809131009932153
"14" "Cell2" "Cell353" 0.824695224927964
"15" "Cell2" "Cell337" 1.07330748233415
"16" "Cell2" "Cell54" 1.25783408587121
"17" "Cell2" "Cell257" 1.58637452097717
"18" "Cell2" "Cell223" 1.88302947687446
"19" "Cell2" "Cell310" 2.4660234799316
"20" "Cell2" "Cell170" 2.66823873136179
"21" "Cell3" "Cell202" 0.377526449747186
"22" "Cell3" "Cell55" 0.482206149520085
"23" "Cell3" "Cell532" 0.76902545611008
"24" "Cell3" "Cell152" 0.964945674099179
"25" "Cell3" "Cell145" 0.982364600830297
"26" "Cell3" "Cell323" 1.84262607752083
"27" "Cell3" "Cell245" 1.88535843074413
"28" "Cell3" "Cell25" 1.95940503864818
"29" "Cell3" "Cell487" 2.04410839994337
"30" "Cell3" "Cell331" 2.05599327083248
"31" "Cell4" "Cell230" 0.152647194311025
"32" "Cell4" "Cell275" 0.255824234316429
"33" "Cell4" "Cell324" 0.348140448249237
"34" "Cell4" "Cell228" 0.399007161216626
"35" "Cell4" "Cell69" 0.419809365052995
"36" "Cell4" "Cell246" 0.438535881761449
"37" "Cell4" "Cell497" 0.440252932363269
"38" "Cell4" "Cell52" 0.486590560684066
"39" "Cell4" "Cell544" 0.615649103066504
"40" "Cell4" "Cell12" 0.644340544730897
"41" "Cell5" "Cell407" 1.0679993155428
"42" "Cell5" "Cell137" 1.49490125803038
"43" "Cell5" "Cell100" 1.72665463944626
"44" "Cell5" "Cell493" 1.78773421782653
"45" "Cell5" "Cell33" 1.79242353025778
"46" "Cell5" "Cell73" 1.9211929885002
"47" "Cell5" "Cell319" 2.00282472991422
"48" "Cell5" "Cell444" 2.17725693695257
"49" "Cell5" "Cell297" 2.28638975609557
"50" "Cell5" "Cell233" 2.47073340678541
"51" "Cell6" "Cell434" 0.591668579203794
"52" "Cell6" "Cell153" 0.636613202069496
"53" "Cell6" "Cell329" 0.845759784570717
"54" "Cell6" "Cell155" 1.11872874230469
"55" "Cell6" "Cell365" 1.29729131386944
"56" "Cell6" "Cell452" 1.41884016928993
"57" "Cell6" "Cell440" 1.4739368093465
"58" "Cell6" "Cell539" 1.47748546919717
"59" "Cell6" "Cell387" 1.5723710226242
"60" "Cell7" "Cell478" 0.611205860932938
"61" "Cell7" "Cell320" 0.682076674862205
"62" "Cell7" "Cell198" 0.703775541280901
"63" "Cell7" "Cell123" 0.819997404049101
"64" "Cell7" "Cell471" 0.892897526720642
"65" "Cell7" "Cell86" 1.11357555113742
"66" "Cell7" "Cell31" 1.15352227145939
"67" "Cell7" "Cell237" 1.31300798625061
"68" "Cell7" "Cell24" 1.32215196850081
"69" "Cell7" "Cell106" 1.32498514121592
"70" "Cell8" "Cell512" 0.284879139102238
"71" "Cell8" "Cell396" 0.885005464356623
"72" "Cell8" "Cell298" 0.959338422172982
"73" "Cell8" "Cell369" 0.973513769648779
"74" "Cell8" "Cell475" 1.18598830514746
"75" "Cell8" "Cell330" 1.36510758985373
"76" "Cell8" "Cell436" 1.41402275173957
"77" "Cell8" "Cell258" 1.47280577918536
"78" "Cell8" "Cell486" 1.57440015030051
"79" "Cell8" "Cell131" 1.61832097699644
"80" "Cell9" "Cell433" 0.308923966151984
"81" "Cell9" "Cell271" 0.533962551264129
"82" "Cell9" "Cell255" 0.716214297907828
"83" "Cell9" "Cell120" 0.739439949153856
"84" "Cell9" "Cell538" 0.817266609228327
"85" "Cell9" "Cell522" 0.846812868641565
"86" "Cell9" "Cell209" 0.895596721060908
"87" "Cell9" "Cell279" 0.896757983620471
"88" "Cell9" "Cell321" 0.899913630586779
"89" "Cell9" "Cell61" 0.985277626072737
"90" "Cell10" "Cell35" 0.2420600270136
"91" "Cell10" "Cell47" 0.279053376053165
"92" "Cell10" "Cell476" 0.441400958582971
"93" "Cell10" "Cell76" 0.568877237230207
"94" "Cell10" "Cell333" 0.703510112977038
"95" "Cell10" "Cell334" 0.855415262785118
"96" "Cell10" "Cell197" 0.929276848780171
"97" "Cell10" "Cell240" 1.04391975592125
"98" "Cell10" "Cell58" 1.09061628851967
"99" "Cell10" "Cell272" 1.12376211583798
"100" "Cell11" "Cell537" 0.297316375582317
"101" "Cell11" "Cell456" 0.577463007357183
"102" "Cell11" "Cell68" 0.590491992387481
"103" "Cell11" "Cell268" 0.600140716245117
"104" "Cell11" "Cell143" 0.663359586913924
"105" "Cell11" "Cell151" 0.89377031235774
"106" "Cell11" "Cell338" 0.921239930282354
"107" "Cell11" "Cell65" 1.00069395443876
"108" "Cell11" "Cell449" 1.00101735600958
"109" "Cell11" "Cell67" 1.04587826981118
"110" "Cell12" "Cell246" 0.214677975190977
"111" "Cell12" "Cell275" 0.495545485927123
"112" "Cell12" "Cell324" 0.606931556215706
"113" "Cell12" "Cell497" 0.707975784033804
"114" "Cell12" "Cell230" 0.719500484723535
"115" "Cell12" "Cell511" 0.751717941167753
"116" "Cell12" "Cell88" 0.816021585533348
