"from" "to" "weight"
"1" "A10" "A20" 2.02296968039588
"2" "A10" "E19" 2.11743816525985
"3" "A10" "A5" 2.75048769780077
"4" "A10" "A21" 2.93134050127921
"5" "A10" "E17" 3.50658262934707
"6" "A10" "A6" 4.1628857887012
"7" "A10" "E23" 4.27463451904731
"8" "A10" "D3" 4.29630111807555
"9" "A10" "A11" 4.64099854076536
"10" "A10" "A4" 4.69914247028977
"11" "A11" "A12" 3.02165236757206
"12" "A11" "A19" 3.06179403530097
"13" "A11" "A15" 3.09359437005898
"14" "A11" "E13" 3.09441853510868
"15" "A11" "D2" 3.22058118353746
"16" "A11" "A14" 3.26048879089371
"17" "A11" "E23" 3.39797880353658
"18" "A11" "A3" 3.46703938622497
"19" "A11" "D4" 3.97521123117709
"20" "A11" "A21" 4.11287294449642
"21" "A12" "D2" 1.78331120181725
"22" "A12" "A15" 2.194997890376
"23" "A12" "A4" 2.75944160953688
"24" "A12" "A14" 3.1771713032156
"25" "A12" "A19" 3.22177847133931
"26" "A12" "A3" 3.41829464333123
"27" "A12" "E13" 4.45597854464342
"28" "A12" "A21" 4.48215426146852
"29" "A12" "A5" 4.49109858607951
"30" "A13" "A18" 2.09684546386141
"31" "A13" "A16" 2.34018585738135
"32" "A13" "A19" 3.15666618021777
"33" "A13" "A3" 3.83140660404742
"34" "A13" "E14" 3.86569088970222
"35" "A13" "A9" 3.86833828783671
"36" "A13" "A21" 4.09158528421926
"37" "A11" "A13" 4.29277908874694
"38" "A12" "A13" 4.51181540931289
"39" "A13" "F4" 4.94814246460193
"40" "A14" "A19" 2.37706242573097
"41" "A14" "A3" 2.85811646885151
"42" "A14" "E13" 3.0478837344476
"43" "A14" "A5" 3.33868091811386
"44" "A14" "E23" 3.63348213902177
"45" "A14" "D2" 4.17631116739371
"46" "A14" "F4" 4.29469134343427
"47" "A14" "A15" 4.37246044689055
"48" "A15" "D2" 1.56756198931922
"49" "A15" "A4" 3.27133881414516
"50" "A15" "A3" 3.87498884337462
"51" "A15" "A19" 4.12307168290923
"52" "A15" "D5" 4.28539277595049
"53" "A15" "E13" 4.29785019475511
"54" "A15" "E12" 4.72975527882034
"55" "A16" "E14" 2.29579846887656
"56" "A16" "A3" 3.49127526263624
"57" "A16" "A18" 3.5919395128205
"58" "A16" "A19" 3.74933738370527
"59" "A16" "F4" 4.56858009432502
"60" "A16" "A9" 4.87593652766961
"61" "A12" "A16" 5.54497479453836
"62" "A11" "A16" 5.55037211510127
"63" "A14" "A16" 5.64922541236716
"64" "A18" "A9" 2.56441375069958
"65" "A18" "A21" 4.05200828170887
"66" "A18" "A19" 4.10798121746408
"67" "A18" "A5" 4.95522615165087
"68" "A18" "A3" 5.22952549004632
"69" "A11" "A18" 5.36278905432959
"70" "A18" "E14" 5.39338867718653
"71" "A18" "F4" 5.60286005966558
"72" "A19" "A3" 2.14801754151629
"73" "A19" "A5" 3.48625166583561
"74" "A19" "E13" 3.8196495198733
"75" "A19" "F4" 4.07215261081856
"76" "A20" "E19" 1.49473004557792
"77" "A20" "E17" 2.47110364764189
"78" "A20" "A21" 3.25600306468832
"79" "A20" "A4" 3.89869025704144
"80" "A20" "A5" 4.26569885725926
"81" "A11" "A20" 4.29623821001971
"82" "A12" "A20" 4.72045490713517
"83" "A20" "D3" 4.72900735457089
"84" "A20" "E23" 4.95543008226984
"85" "A21" "A5" 3.29549052911168
"86" "A21" "E19" 3.66013341925722
"87" "A19" "A21" 4.11698634280677
"88" "A21" "E17" 4.64689287089833
"89" "A3" "E13" 2.9046525542707
"90" "A3" "F4" 3.1145486106709
"91" "A3" "E14" 3.72451777953305
"92" "A4" "D2" 2.34551502743104
"93" "A4" "E17" 2.90657268851589
"94" "A4" "E19" 3.70468590081416
"95" "A11" "A4" 4.39322099519509
"96" "A4" "D3" 4.73765171165906
"97" "A14" "A4" 4.80689372718681
"98" "A5" "A6" 2.50223765416295
"99" "A5" "E19" 4.41674508448071
"100" "A5" "E23" 4.48067404508002
"101" "A11" "A5" 4.72421966360504
"102" "A14" "A6" 5.06385878896244
"103" "A21" "A6" 5.18813950847655
"104" "A6" "E23" 5.62841073657696
"105" "A6" "E19" 5.67787346499418
"106" "A19" "A6" 5.69177414664641
"107" "A20" "A6" 6.03704103749651
"108" "A6" "D3" 6.18616818645804
"109" "A18" "A6" 6.35722476549517
"110" "A7" "F5" 5.0586479413608
"111" "A7" "A9" 5.79452861562239
"112" "A18" "A7" 6.61732960360975
"113" "A7" "F4" 6.65501990189236
"114" "A7" "F2" 6.67231817461432
"115" "A6" "A7" 7.10984002644183
"116" "A14" "A7" 7.35714757995283
"117" "A5" "A7" 7.44517744795276
"118" "A16" "A7" 7.4802529819924
"119" "A19" "A7" 7.5082226719403
"120" "A8" "G17" 9.8857473113188
"121" "A8" "G13" 12.2119622059804
"122" "A8" "G21" 14.3581280363881
"123" "A8" "K20" 15.0835163575636
"124" "A8" "J3" 15.1383617384972
"125" "A8" "E14" 15.1624158294275
"126" "A16" "A8" 15.7560938565428
"127" "A8" "E5" 16.2370841778416
"128" "A8" "F1" 16.3913408780008
"129" "A7" "A8" 16.6185544612648
"130" "A9" "F2" 5.39179051225127
"131" "A9" "F4" 5.76498284633488
"132" "A21" "A9" 5.78462778119309
"133" "A19" "A9" 5.84265547516178
"134" "A9" "E14" 5.94606999637816
"135" "A3" "A9" 6.38053478838546
"136" "D14" "F18" 7.8910823730012
"137" "D14" "D19" 9.82157509199195
"138" "D14" "D16" 11.0216921823575
"139" "D14" "E11" 11.304612565638
"140" "D14" "D21" 12.2570225002011
"141" "D14" "E8" 12.3737950718275
"142" "D14" "E1" 12.454208565143
"143" "D14" "D15" 12.6918603695065
"144" "D14" "D17" 12.9505263833421
"145" "D14" "F21" 13.1016005191642
"146" "D15" "D21" 2.75271229767443
"147" "D15" "D17" 5.28805241326008
"148" "D15" "D20" 5.94417901696842
"149" "D15" "D16" 6.03966716836993
"150" "D15" "E8" 6.96672777648666
"151" "D15" "D22" 8.70394368795859
"152" "D15" "D19" 8.7180452756115
"153" "D15" "F20" 8.75302428163643
"154" "D15" "F23" 8.91860709970323
"155" "D15" "F18" 9.88972602205866
"156" "D16" "D17" 4.53291550716942
"157" "D16" "D20" 4.79356894263462
"158" "D16" "D22" 6.19073419304495
"159" "D16" "D21" 6.30501894142665
"160" "D16" "D19" 9.08609171298646
"161" "D16" "E7" 9.19224833793909
"162" "D16" "F21" 9.49303364015471
"163" "D16" "F23" 9.64638709676214
"164" "D16" "F18" 9.66929090840712
"165" "D17" "D21" 4.75626493485022
"166" "D17" "D20" 4.79473573787557
"167" "D17" "D22" 5.31138047961785
"168" "D17" "F23" 7.16544901106838
"169" "D17" "F21" 7.30121421399676
"170" "D17" "F20" 8.30938232988709
"171" "D17" "E7" 8.31170652700111
"172" "D17" "E8" 9.04530520937212
"173" "D19" "D24" 8.12751842139152
"174" "D19" "E8" 9.56743256905907
"175" "D19" "D21" 9.99732445990369
"176" "D19" "D20" 10.2414782084338
"177" "D17" "D19" 11.2969538319899
"178" "D19" "F18" 12.9064738845161
"179" "D19" "E11" 14.3170497933627
"180" "D2" "E17" 4.20559435388676
"181" "A3" "D2" 4.29114745478717
"182" "D2" "E13" 4.44235338767138
"183" "D2" "D5" 4.45905673926961
"184" "A19" "D2" 4.56790093893625
"185" "D20" "D21" 5.41120749968566
"186" "D20" "D22" 6.23801879359776
"187" "D20" "F23" 11.006480977035
"188" "D20" "E7" 11.2740050198307
"189" "D20" "F21" 11.6548735400496
"190" "D20" "E8" 11.8086419887462
"191" "D21" "F20" 7.92211252650202
"192" "D21" "E8" 8.60870899591264
"193" "D21" "F18" 8.7511748240187
"194" "D21" "D22" 8.77671597728345
"195" "D21" "F23" 9.20807188930011
"196" "D22" "F23" 7.55631640848452
"197" "D22" "E7" 7.67807847775674
"198" "D22" "F21" 10.041500500972
"199" "D22" "F17" 10.0694278485492
"200" "D22" "E9" 10.291122587174
"201" "D24" "E8" 11.030767400132
"202" "D15" "D24" 12.790354867548
"203" "D14" "D24" 13.6159441304846
"204" "D24" "E11" 13.7371361601923
"205" "D24" "F16" 14.6018911339956
"206" "D21" "D24" 14.6348217234663
"207" "D16" "D24" 14.8866140181176
"208" "D24" "F18" 16.2691451886284
"209" "D20" "D24" 16.7201024362237
"210" "D3" "E23" 1.88572909841124
"211" "D3" "E22" 2.76067394439782
"212" "D3" "D4" 3.34418020242621
"213" "D3" "E17" 3.44842972899232
"214" "D3" "G18" 4.11904557673479
"215" "A11" "D3" 4.48256827693277
"216" "D3" "F2" 4.48913473390914
"217" "D3" "E19" 4.60958008623034
"218" "D4" "E23" 2.48815171278217
"219" "D4" "E22" 2.72530631755252
"220" "D4" "G12" 3.47226324516996
"221" "D4" "F2" 3.56693169466335
"222" "D4" "E13" 4.49814169820686
"223" "D2" "D4" 4.58404288261032
"224" "A14" "D4" 4.73127524129655
"225" "A12" "D4" 4.80709748068557
"226" "D5" "D6" 2.2158490735625
"227" "A11" "D5" 4.11360820859473
"228" "D5" "E13" 5.06075301557537
"229" "D4" "D5" 5.38253400742506
"230" "A12" "D5" 5.70042877414258
"231" "D5" "G18" 5.75750877004938
"232" "D5" "E17" 5.81923039687809
"233" "D5" "E12" 5.85871631577942
"234" "D6" "E13" 4.3683283570399
"235" "A11" "D6" 4.44339130855079
"236" "D6" "E12" 5.28731732298586
"237" "D4" "D6" 5.37377208814315
"238" "A15" "D6" 5.517266488758
"239" "D6" "G16" 5.56754900132654
"240" "D6" "F4" 5.61863446285313
"241" "D2" "D6" 5.7179131013551
"242" "D6" "G18" 5.92258453836824
"243" "D4" "D7" 5.2276083990317
"244" "D2" "D7" 5.88922891684708
"245" "D7" "E14" 5.93935645505269
"246" "D5" "D7" 6.00784768595634
"247" "A15" "D7" 6.41700373498136
"248" "A3" "D7" 6.44237843979657
"249" "D6" "D7" 6.46666760170857
"250" "A12" "D7" 6.52612992267922
"251" "D7" "E13" 6.65309742572992
"252" "A11" "D7" 6.69876313225335
"253" "E1" "E11" 7.71519528747142
"254" "E1" "F19" 8.01800082602801
"255" "E1" "I15" 8.89159711382642
"256" "E1" "F22" 9.02049658020845
"257" "E1" "F18" 10.3247435875081
"258" "E1" "H16" 10.3941527721628
"259" "E1" "G8" 11.4009829529265
"260" "E1" "E8" 13.1524719843207
"261" "E1" "F21" 13.4522224874685
"262" "E11" "F19" 9.60253155440317
"263" "E11" "I15" 11.6505724823788
"264" "E11" "E8" 11.7335468177574
"265" "E11" "F22" 12.1933752246356
"266" "E11" "F18" 12.4456710828718
"267" "D16" "E11" 14.6729885136726
"268" "E12" "E13" 2.54609038601043
"269" "A3" "E12" 3.94225781138397
"270" "A14" "E12" 4.60908919224252
"271" "E12" "F4" 4.7428462697452
"272" "A11" "E12" 4.91714172690642
"273" "A19" "E12" 5.08152261134306
"274" "D2" "E12" 5.33411752952195
"275" "A12" "E12" 5.5844278164618
"276" "E13" "F4" 2.97406732593827
"277" "E14" "F4" 4.44700659901106
"278" "A19" "E14" 4.99934605784095
"279" "E13" "E14" 5.88526573108762
"280" "A11" "E14" 5.93983751076007
"281" "E16" "G18" 4.82416200714852
"282" "E16" "I10" 5.59037613122646
"283" "E16" "E20" 5.87704373212071
"284" "E16" "E18" 5.98221724036202
"285" "E16" "E24" 6.5601624952805
"286" "E16" "G19" 6.7847945926151
"287" "E16" "I13" 7.28564387763379
"288" "D5" "E16" 7.6215349917564
"289" "D6" "E16" 7.70966863761157
"290" "E16" "G9" 8.24659847956191
"291" "E17" "E19" 2.25394977484546
"292" "E17" "E23" 4.29394306609536
"293" "A11" "E17" 4.37035686259005
"294" "A12" "E17" 4.52802025135941
"295" "E17" "G18" 4.60872070263216
"296" "E18" "I13" 5.01779278569007
"297" "E18" "I10" 5.20218943430289
"298" "E18" "E24" 5.49914808005193
"299" "D6" "E18" 5.93232305583931
"300" "E18" "G9" 6.09910992575998
"301" "D5" "E18" 6.17891905831981
"302" "E18" "I23" 6.55182167774889
"303" "E18" "G18" 6.77247689406935
"304" "E18" "G12" 6.95258608489568
"305" "A12" "E19" 4.95980074130236
"306" "E19" "E23" 5.1318470224229
"307" "A11" "E19" 5.16943644806134
"308" "E20" "I16" 7.20582824563146
"309" "E20" "L5" 7.96924124670205
"310" "E18" "E20" 9.93239758628864
"311" "E20" "K23" 9.97524381402775
"312" "E20" "N14" 10.0754394398153
"313" "E20" "G18" 10.1975762347575
"314" "E20" "G19" 10.3036043152365
"315" "E20" "I10" 10.4607004002811
"316" "E20" "G5" 11.4097710075299
"317" "E22" "F2" 2.26371048812297
"318" "E22" "E23" 2.34240543854076
"319" "E22" "G12" 3.01671731136909
"320" "E22" "E24" 4.91190518078495
"321" "E22" "G18" 5.43087638646039
"322" "A11" "E22" 5.45137181758953
"323" "A14" "E22" 5.67485241278279
"324" "E17" "E22" 5.85173924574118
"325" "E23" "F2" 3.23446288405761
"326" "E13" "E23" 4.47026504997932
"327" "E24" "I10" 2.22248400658508
"328" "E24" "I13" 3.49413267072618
