"from" "to" "weight"
"1" "GSM1269248" "GSM1269152" 19.5591677961679
"2" "GSM1269248" "GSM1269087" 26.0469496897016
"3" "GSM1269248" "GSM1269193" 26.1747591260187
"4" "GSM1269248" "GSM1269257" 27.810182773995
"5" "GSM1269248" "GSM1269198" 28.2754418950548
"6" "GSM1269248" "GSM1269128" 30.1926074411526
"7" "GSM1269248" "GSM1269174" 30.6212711824995
"8" "GSM1269248" "GSM1269269" 31.4733079957194
"9" "GSM1269248" "GSM1269058" 32.4437296658009
"10" "GSM1269248" "GSM1269303" 32.7528997216029
"11" "GSM1269250" "GSM1269274" 25.7959317617724
"12" "GSM1269250" "GSM1269193" 27.7375697012805
"13" "GSM1269250" "GSM1269321" 32.8765688682367
"14" "GSM1269250" "GSM1269152" 35.5130735590782
"15" "GSM1269250" "GSM1269257" 35.6877668064078
"16" "GSM1269248" "GSM1269250" 37.3890687696857
"17" "GSM1269250" "GSM1269272" 39.0124610945836
"18" "GSM1269250" "GSM1269280" 40.2298705613267
"19" "GSM1269250" "GSM1269269" 41.8080609930628
"20" "GSM1269250" "GSM1269254" 44.9439004200229
"21" "GSM1269252" "GSM1269166" 16.3356935773767
"22" "GSM1269252" "GSM1269179" 33.8735439755518
"23" "GSM1269252" "GSM1269074" 38.3454455427355
"24" "GSM1269252" "GSM1269063" 40.0001076814042
"25" "GSM1269252" "GSM1269154" 41.9247909777819
"26" "GSM1269252" "GSM1269311" 42.5969176252183
"27" "GSM1269252" "GSM1268967" 44.4982241415861
"28" "GSM1269252" "GSM1269076" 49.0775527201375
"29" "GSM1269252" "GSM1269320" 50.9895078882676
"30" "GSM1269252" "GSM1269129" 51.192796255118
"31" "GSM1269253" "GSM1269218" 14.2357648070791
"32" "GSM1269253" "GSM1269195" 14.4660974992002
"33" "GSM1269253" "GSM1269185" 18.9484451790786
"34" "GSM1269253" "GSM1269171" 19.99026757722
"35" "GSM1269253" "GSM1269209" 22.2358669398662
"36" "GSM1269253" "GSM1269114" 23.745131750529
"37" "GSM1269253" "GSM1269305" 24.3318301893123
"38" "GSM1269253" "GSM1269089" 25.3804180496014
"39" "GSM1269253" "GSM1269267" 25.4893922229251
"40" "GSM1269253" "GSM1269210" 25.7249474993981
"41" "GSM1269254" "GSM1269280" 7.54759248539838
"42" "GSM1269254" "GSM1269266" 12.576673664501
"43" "GSM1269254" "GSM1269308" 14.8197261997826
"44" "GSM1269254" "GSM1269269" 14.9832588488702
"45" "GSM1269254" "GSM1269272" 16.4087437675958
"46" "GSM1269254" "GSM1269243" 16.9178320951491
"47" "GSM1269254" "GSM1269225" 20.1502512372136
"48" "GSM1269254" "GSM1269257" 21.3774166904198
"49" "GSM1269254" "GSM1269268" 23.6750460079425
"50" "GSM1269254" "GSM1269283" 24.5915326998987
"51" "GSM1269255" "GSM1269277" 20.8125157497907
"52" "GSM1269255" "GSM1269320" 24.9882940668039
"53" "GSM1269255" "GSM1269206" 35.6138868647299
"54" "GSM1269255" "GSM1268967" 35.820140172919
"55" "GSM1269255" "GSM1269288" 36.3615460080992
"56" "GSM1269255" "GSM1269311" 41.3274297990481
"57" "GSM1269255" "GSM1269292" 45.8507909930622
"58" "GSM1269255" "GSM1269291" 47.9362440677532
"59" "GSM1269255" "GSM1269282" 48.9641145174657
"60" "GSM1269255" "GSM1269063" 50.3716236514655
"61" "GSM1269256" "GSM1269268" 12.0988105339144
"62" "GSM1269256" "GSM1269162" 16.8545293996103
"63" "GSM1269256" "GSM1269225" 17.0726833150202
"64" "GSM1269256" "GSM1269134" 17.1547228307603
"65" "GSM1269256" "GSM1269323" 17.881253337339
"66" "GSM1269256" "GSM1269058" 18.2090440581493
"67" "GSM1269256" "GSM1269159" 18.7124337200061
"68" "GSM1269256" "GSM1269304" 18.7391446652365
"69" "GSM1269256" "GSM1269269" 19.3369257406733
"70" "GSM1269256" "GSM1269091" 20.8789017332575
"71" "GSM1269257" "GSM1269152" 9.62350886587627
"72" "GSM1269257" "GSM1269269" 10.9811833785657
"73" "GSM1269257" "GSM1269272" 13.3427392303962
"74" "GSM1269257" "GSM1269308" 14.8784849303952
"75" "GSM1269257" "GSM1269280" 15.0764083466503
"76" "GSM1269257" "GSM1269193" 17.1889117662542
"77" "GSM1269257" "GSM1269225" 19.9302360528419
"78" "GSM1269257" "GSM1269243" 21.8772038944596
"79" "GSM1269257" "GSM1269268" 22.5021522717293
"80" "GSM1269258" "GSM1269262" 17.7454443721447
"81" "GSM1269258" "GSM1269290" 18.1042867136106
"82" "GSM1269258" "GSM1269312" 20.4740438283848
"83" "GSM1269258" "GSM1269222" 23.4766519737918
"84" "GSM1269258" "GSM1269171" 23.8940778293211
"85" "GSM1269258" "GSM1269260" 25.9800279536653
"86" "GSM1269258" "GSM1269133" 28.0949219362799
"87" "GSM1269258" "GSM1269190" 30.7291484744425
"88" "GSM1269258" "GSM1269209" 32.2249961048639
"89" "GSM1269258" "GSM1269185" 35.013552238395
"90" "GSM1269259" "GSM1269295" 22.4314084860302
"91" "GSM1269259" "GSM1269273" 27.5903662737533
"92" "GSM1269259" "GSM1269106" 29.4430809246711
"93" "GSM1269259" "GSM1269040" 30.118680131215
"94" "GSM1269259" "GSM1269286" 33.134109324516
"95" "GSM1269259" "GSM1269305" 33.8985245206984
"96" "GSM1269259" "GSM1269096" 34.2355390418505
"97" "GSM1269259" "GSM1269202" 34.9029083617764
"98" "GSM1269259" "GSM1269125" 35.8044708376489
"99" "GSM1269259" "GSM1269267" 36.2865266429259
"100" "GSM1269260" "GSM1269154" 24.6994019532129
"101" "GSM1269260" "GSM1269129" 25.9070088881588
"102" "GSM1269260" "GSM1269167" 26.0276463392487
"103" "GSM1269260" "GSM1269199" 29.9608296395697
"104" "GSM1269260" "GSM1269290" 30.5268018079489
"105" "GSM1269260" "GSM1269262" 31.3171203604051
"106" "GSM1269260" "GSM1269108" 31.9791346899265
"107" "GSM1269260" "GSM1269312" 35.7926172373685
"108" "GSM1269260" "GSM1269222" 41.8864228125211
"109" "GSM1269261" "GSM1269289" 18.874920042112
"110" "GSM1269261" "GSM1269237" 28.6962264597196
"111" "GSM1269261" "GSM1269200" 33.9729789056957
"112" "GSM1269261" "GSM1269202" 35.9844566838185
"113" "GSM1269261" "GSM1269273" 39.347963147969
"114" "GSM1269261" "GSM1269156" 45.6392741599731
"115" "GSM1269261" "GSM1269070" 46.3362484710776
"116" "GSM1269261" "GSM1269266" 46.9918521522893
"117" "GSM1269261" "GSM1269125" 47.5381235123254
"118" "GSM1269261" "GSM1269106" 49.319309322194
"119" "GSM1269262" "GSM1269222" 19.7462504583871
"120" "GSM1269262" "GSM1269290" 27.2532601821067
"121" "GSM1269262" "GSM1269312" 31.4543727405469
"122" "GSM1269262" "GSM1269171" 34.2807739104548
"123" "GSM1269262" "GSM1269185" 35.8869716942787
"124" "GSM1269262" "GSM1269133" 38.8037894940144
"125" "GSM1269262" "GSM1269210" 41.0440422513802
