"from" "to" "weight"
"1" "C6FF_MS11T85" "E17_MS61T43" 22.0846836621685
"2" "C6FF_MS11T85" "E17_MS10T82" 23.4585213210381
"3" "C6FF_MS11T85" "E16_MS08T74" 24.3238500056032
"4" "C6FF_MS11T85" "E16_MS09T41" 24.5844578995823
"5" "C6FF_MS11T85" "C6FF_MS11T89" 25.1809746110861
"6" "C6FF_MS11T85" "E17_MS61T40" 25.269631471686
"7" "C6FF_MS11T85" "E17_MS61T38" 25.4051648107053
"8" "C6FF_MS11T85" "E17_MS10T91" 25.4288455826419
"9" "C6FF_MS11T85" "E17_MS61T42" 25.5705984052454
"10" "C6FF_MS11T85" "E16_MS08T62" 25.6401682806605
"11" "C6FF_MS11T86" "C6FF_MS11T88" 5.31543850018485
"12" "C6FF_MS11T86" "C6FF_MS11T89" 7.93157962949416
"13" "C6FF_MS11T86" "C6FF_MS11T91" 9.57868039609675
"14" "C6FF_MS11T86" "C6FF_MS11T95" 12.6129999635306
"15" "C6FF_MS11T86" "C6FF_MS11T87" 13.0921816441638
"16" "C6FF_MS11T86" "C6FF_MS11T92" 14.1474329753292
"17" "C6FF_MS11T86" "C6FF_MS11T94" 14.7264247074977
"18" "C6FF_MS11T86" "C6oF_MS05T63" 14.9774141855439
"19" "C6FF_MS11T86" "C9oF_MS05T68" 14.9833216392291
"20" "C6FF_MS11T86" "C6oF_MS05T60" 16.0438024116166
"21" "C6FF_MS11T87" "C9oF_MS05T68" 6.82077686817358
"22" "C6FF_MS11T87" "C6oF_MS05T65" 7.15696528690048
"23" "C6FF_MS11T87" "C6FF_MS11T95" 7.29730098555975
"24" "C6FF_MS11T87" "C6oF_MS05T60" 8.73152008246496
"25" "C6FF_MS11T87" "C6oF_MS05T57" 10.0894081368286
"26" "C6FF_MS11T87" "C6oF_MS05T53" 11.2096069521631
"27" "C6FF_MS11T87" "C6FF_MS11T88" 11.325487475329
"28" "C6FF_MS11T87" "C6FF_MS11T91" 11.9742419408214
"29" "C6FF_MS11T87" "C9oF_MS05T69" 12.563228748803
"30" "C6FF_MS11T88" "C6FF_MS11T91" 5.33191860715747
"31" "C6FF_MS11T88" "C6FF_MS11T89" 7.08355454387267
"32" "C6FF_MS11T88" "C6FF_MS11T94" 11.5090809017387
"33" "C6FF_MS11T88" "C6FF_MS11T95" 13.2817204320143
"34" "C6FF_MS11T88" "C6FF_MS11T92" 13.4108876419588
"35" "C6FF_MS11T88" "C6oF_MS05T63" 13.7596483215388
"36" "C6FF_MS11T88" "C9oF_MS05T68" 14.4248580793413
"37" "C6FF_MS11T88" "C6oF_MS05T60" 14.9704597778386
"38" "C6FF_MS11T89" "C6FF_MS11T91" 5.76594117204235
"39" "C6FF_MS11T89" "C6FF_MS11T94" 10.2197595933847
"40" "C6FF_MS11T89" "C6oF_MS05T59" 11.2546537343566
"41" "C6FF_MS11T89" "C6oF_MS05T60" 13.9923827980394
"42" "C6FF_MS11T87" "C6FF_MS11T89" 14.3015480762336
"43" "C6FF_MS11T89" "C6FF_MS11T95" 15.0227232731507
"44" "C6FF_MS11T89" "C6oF_MS05T65" 16.2703118287496
"45" "C6FF_MS11T89" "C6oF_MS05T63" 16.5013273759872
"46" "C6FF_MS11T91" "C6FF_MS11T94" 9.18715551171627
"47" "C6FF_MS11T91" "C6oF_MS05T59" 12.2000397936394
"48" "C6FF_MS11T91" "C6oF_MS05T60" 13.2789790126081
"49" "C6FF_MS11T91" "C6oF_MS05T65" 13.8720834974918
"50" "C6FF_MS11T91" "C6FF_MS11T95" 14.589118361041
"51" "C6FF_MS11T91" "C6oF_MS05T63" 15.7872650506921
"52" "C6FF_MS11T92" "C9oF_MS05T68" 9.83671924084751
"53" "C6FF_MS11T92" "C6oF_MS05T63" 12.9224815054361
"54" "C6FF_MS11T92" "C9oF_MS05T69" 13.012028603249
"55" "C6FF_MS11T87" "C6FF_MS11T92" 13.2569375021813
"56" "C6FF_MS11T92" "C9oF_MS05T72" 15.317624785757
"57" "C6FF_MS11T92" "C6oF_MS05T53" 15.6419021843465
"58" "C6FF_MS11T92" "C6oF_MS05T67" 15.93167811441
"59" "C6FF_MS11T92" "C6FF_MS11T95" 15.9942699588422
"60" "C6FF_MS11T94" "C6oF_MS05T63" 12.7469810979221
"61" "C6FF_MS11T94" "C6oF_MS05T59" 14.1186758539335
"62" "C6FF_MS11T87" "C6FF_MS11T94" 14.3713202149846
"63" "C6FF_MS11T94" "C6oF_MS05T60" 15.7846738478701
"64" "C6FF_MS11T94" "C6oF_MS05T65" 15.8727778462293
"65" "C6FF_MS11T94" "C6oF_MS05T55" 16.7590577755132
"66" "C6FF_MS11T95" "C6oF_MS05T60" 9.18417046412406
"67" "C6FF_MS11T95" "C6oF_MS05T57" 9.56310632593159
"68" "C6FF_MS11T95" "C6oF_MS05T65" 10.2456807110394
"69" "C6FF_MS11T95" "C9oF_MS05T68" 10.2553748174569
"70" "C6FF_MS11T95" "C6oF_MS05T53" 14.0635102857518
"71" "C6FF_MS11T95" "C6oF_MS05T54" 14.417262572477
"72" "C6oF_MS05T53" "C6oF_MS05T56" 5.40490496316337
"73" "C6oF_MS05T53" "C6oF_MS05T66" 6.06903211922679
"74" "C6oF_MS05T53" "C6oF_MS05T58" 8.13453463786617
"75" "C6oF_MS05T53" "C6oF_MS05T64" 8.90468736432778
"76" "C6oF_MS05T53" "C6oF_MS05T54" 8.97107779495563
"77" "C6oF_MS05T53" "C9oF_MS05T68" 9.05983081357213
"78" "C6oF_MS05T53" "C6oF_MS05T57" 9.8739138382846
"79" "C6oF_MS05T53" "C6oF_MS05T61" 11.9365269090723
"80" "C6oF_MS05T53" "C9oF_MS05T75" 12.360360745272
"81" "C6oF_MS05T54" "C6oF_MS05T66" 7.37376350584241
"82" "C6oF_MS05T54" "C6oF_MS05T57" 8.32974767874845
"83" "C6oF_MS05T54" "C6oF_MS05T58" 11.0026422897113
"84" "C6oF_MS05T54" "C6oF_MS05T56" 11.1395264036119
"85" "C6oF_MS05T54" "C6oF_MS05T55" 11.451779441337
