"from" "to" "weight"
"1" "E18/383_SF10-10" "E18/392_SF13-6" 25.9362455359025
"2" "E18/383_SF10-10" "E18/383_SF9-14" 29.5441547432444
"3" "E18/383_SF10-10" "E18/383_SF10-11" 31.477950124919
"4" "E18/383_SF10-10" "P5/392_SF12-12" 32.5344597664473
"5" "E18/383_SF10-10" "E18/383_SF10-6" 36.8706453756814
"6" "E18/383_SF10-10" "E18/393_SF15-11" 37.0300713274105
"7" "E18/383_SF10-10" "P5/383_SF11-14" 37.2894758342082
"8" "E18/383_SF10-10" "E18/383_SF9-8" 37.3489126303523
"9" "E18/383_SF10-10" "E18/383_SF9-16" 38.1509142778155
"10" "E18/383_SF10-10" "P2/353_SF5-7" 38.5406174910062
"11" "E18/383_SF10-11" "P2/353_SF5-6" 31.4636457192556
"12" "E18/383_SF10-11" "E18/383_SF9-14" 31.7653212286414
"13" "E18/383_SF10-11" "E18/383_SF10-8" 31.8905614908893
"14" "E18/383_SF10-11" "E18/383_SF8-7" 33.6016743802712
"15" "E18/383_SF10-11" "E18/383_SF9-4" 34.5478648293483
"16" "E18/383_SF10-11" "E18/383_SF9-16" 36.1019603120283
"17" "E18/383_SF10-11" "E18/393_SF15-9" 36.7597645419576
"18" "E18/383_SF10-11" "E18/383_SF10-6" 39.1993890939967
"19" "E18/383_SF10-11" "E18/383_SF10-9" 39.3664547881667
"20" "E18/383_SF10-12" "E18/383_SF8-4" 29.0923627629838
"21" "E18/383_SF10-12" "E18/393_SF14-16" 32.2911152105466
"22" "E18/383_SF10-12" "E18/393_SF15-5" 67.9588530678312
"23" "E18/383_SF10-12" "E18/383_SF10-4" 70.1331543840049
"24" "E18/383_SF10-12" "E18/393_SF14-7" 70.8695104869851
"25" "E18/383_SF10-12" "E18/383_SF9-3" 73.7489875099394
"26" "E18/383_SF10-12" "E18/393_SF14-13" 75.8575129123209
"27" "E18/383_SF10-12" "E18/383_SF10-13" 78.330506001976
"28" "E18/383_SF10-12" "E18/393_SF14-3" 78.8396282443826
"29" "E18/383_SF10-12" "E18/383_SF8-13" 80.58983746557
"30" "E18/383_SF10-13" "E18/383_SF9-3" 21.3543216344369
"31" "E18/383_SF10-13" "E18/383_SF10-14" 23.7649348644839
"32" "E18/383_SF10-13" "E18/393_SF14-13" 25.4948673013293
"33" "E18/383_SF10-13" "E18/383_SF11-1" 28.4624540963148
"34" "E18/383_SF10-13" "E18/393_SF14-14" 30.5892771098568
"35" "E18/383_SF10-13" "E18/383_SF8-2" 33.6518188632152
"36" "E18/383_SF10-13" "E18/393_SF14-7" 36.266816536367
"37" "E18/383_SF10-13" "E18/383_SF8-13" 41.7364995994692
"38" "E18/383_SF10-13" "E18/383_SF10-4" 42.5160481582732
"39" "E18/383_SF10-13" "E18/383_SF8-5" 47.6375274532692
"40" "E18/383_SF10-14" "E18/383_SF9-3" 19.3847146127605
"41" "E18/383_SF10-14" "E18/383_SF11-1" 33.1815206813304
"42" "E18/383_SF10-14" "E18/393_SF14-14" 35.0312342377552
"43" "E18/383_SF10-14" "E18/393_SF14-13" 36.8536036791096
"44" "E18/383_SF10-14" "E18/383_SF10-2" 40.5753457686792
"45" "E18/383_SF10-14" "E18/383_SF8-14" 41.0023768535215
"46" "E18/383_SF10-14" "E18/383_SF8-2" 41.877047506092
"47" "E18/383_SF10-14" "E18/383_SF8-5" 41.886497186969
"48" "E18/383_SF10-14" "E18/393_SF15-9" 43.9312470999396
"49" "E18/383_SF10-15" "E18/383_SF8-3" 19.5047606938207
"50" "E18/383_SF10-15" "E18/383_SF8-6" 22.2111220732197
"51" "E18/383_SF10-15" "E18/383_SF8-15" 24.9873409343164
"52" "E18/383_SF10-15" "E18/383_SF10-1" 26.5065152650614
"53" "E18/383_SF10-15" "P2/353_SF5-10" 28.0827866006613
"54" "E18/383_SF10-15" "E18/383_SF9-14" 28.5002746896693
"55" "E18/383_SF10-15" "E18/383_SF10-9" 32.9610605594024
"56" "E18/383_SF10-15" "E18/383_SF9-4" 33.8677476661144
"57" "E18/383_SF10-15" "E18/383_SF10-3" 35.164168243858
"58" "E18/383_SF10-15" "E18/383_SF10-8" 35.7543106722202
"59" "E18/383_SF10-1" "E18/383_SF10-9" 10.5064006686293
"60" "E18/383_SF10-1" "E18/383_SF9-4" 20.7587298496486
"61" "E18/383_SF10-1" "E18/383_SF8-3" 21.0952924466978
"62" "E18/383_SF10-1" "E18/383_SF8-10" 24.1500036319583
"63" "E18/383_SF10-1" "E18/383_SF8-7" 26.2237854423624
"64" "E18/383_SF10-1" "E18/383_SF9-14" 26.6236949350573
"65" "E18/383_SF10-1" "E18/383_SF9-5" 28.7468233035648
"66" "E18/383_SF10-1" "E18/383_SF8-14" 30.3078457946842
"67" "E18/383_SF10-1" "E18/393_SF15-9" 34.2115155209561
"68" "E18/383_SF10-2" "E18/383_SF8-10" 24.7231379201914
"69" "E18/383_SF10-2" "E18/393_SF14-14" 27.8837732664441
