"from" "to" "weight"
"1" "C1" "C110" 2.99089690324933
"2" "C1" "C141" 3.47746079471771
"3" "C1" "C335" 4.10499296773013
"4" "C1" "C428" 4.22788914001431
"5" "C1" "C506" 4.29887801125036
"6" "C1" "C478" 4.39999489779749
"7" "C1" "C268" 4.42744740446021
"8" "C1" "C6" 4.56812042262268
"9" "C1" "C381" 4.58176456661005
"10" "C1" "C377" 4.93527555268853
"11" "C2" "C547" 2.99907787083083
"12" "C2" "C471" 3.57042658259974
"13" "C2" "C24" 3.82136490832588
"14" "C2" "C465" 3.8777599567359
"15" "C2" "C259" 3.93607568922667
"16" "C2" "C211" 4.10228837984435
"17" "C2" "C113" 4.3050343650384
"18" "C2" "C382" 4.32874815717229
"19" "C2" "C520" 4.37242126034157
"20" "C2" "C557" 4.88901477583056
"21" "C3" "C453" 2.57570252670126
"22" "C3" "C133" 2.82214729294602
"23" "C3" "C503" 3.28176894910651
"24" "C3" "C211" 3.5251166918611
"25" "C3" "C95" 3.56960321414715
"26" "C3" "C512" 3.65730656326796
"27" "C3" "C139" 4.09346837498797
"28" "C3" "C135" 4.10494793928107
"29" "C3" "C26" 4.18391751466393
"30" "C3" "C79" 4.27848424604384
"31" "C4" "C504" 1.52788759994266
"32" "C4" "C387" 2.57625578828623
"33" "C4" "C487" 2.97671745511449
"34" "C4" "C427" 3.2134048263784
"35" "C4" "C364" 3.23938402667841
"36" "C4" "C53" 3.47166738646288
"37" "C4" "C145" 3.47746804129573
"38" "C4" "C251" 3.53854230989854
"39" "C4" "C8" 3.78560818420322
"40" "C4" "C25" 3.8636952851548
"41" "C5" "C175" 3.44562517180788
"42" "C5" "C326" 3.86986233439114
"43" "C5" "C477" 4.18972310406403
"44" "C5" "C187" 4.32891607727987
"45" "C5" "C548" 4.35786015300555
"46" "C5" "C408" 4.67344310581665
"47" "C5" "C293" 4.86579479091686
"48" "C5" "C498" 5.2101148744731
"49" "C5" "C381" 5.30960832337447
"50" "C5" "C358" 5.31671409887989
"51" "C6" "C198" 2.9924366024045
"52" "C6" "C85" 3.38132649469095
"53" "C6" "C293" 3.55310082774936
"54" "C6" "C110" 3.63770777341002
"55" "C6" "C132" 4.02194677082301
"56" "C6" "C557" 4.05540834256203
"57" "C6" "C548" 4.32004670386271
"58" "C6" "C133" 4.41319904443885
"59" "C6" "C95" 4.44036958948055
"60" "C6" "C503" 4.44124634666509
"61" "C7" "C86" 2.99351208972723
"62" "C7" "C177" 3.28632867555147
"63" "C7" "C21" 4.07544032879142
"64" "C7" "C330" 4.23841621277873
"65" "C7" "C76" 5.01254249570301
"66" "C7" "C210" 5.34598674299264
"67" "C7" "C65" 5.36786014475147
"68" "C7" "C88" 5.43532098004081
"69" "C7" "C197" 5.44992785658293
"70" "C7" "C164" 5.50453306379465
"71" "C8" "C364" 1.52251879973632
"72" "C8" "C155" 1.58806319183733
"73" "C8" "C25" 1.62458895039068
"74" "C8" "C145" 2.04703568654407
"75" "C8" "C292" 2.418422263369
"76" "C8" "C281" 2.63688349447893
"77" "C8" "C387" 2.6717918474018
"78" "C8" "C447" 2.80006647075119
"79" "C8" "C427" 2.8879178760427
"80" "C8" "C476" 2.90001715874887
"81" "C9" "C448" 1.93315032155798
"82" "C9" "C514" 3.52097603425538
"83" "C9" "C355" 3.96266729641334
"84" "C9" "C59" 4.06949965273421
"85" "C9" "C43" 4.18534789097751
"86" "C9" "C10" 4.31095473910805
"87" "C9" "C356" 4.54529661025373
"88" "C9" "C271" 4.54874977347446
"89" "C9" "C123" 4.80132054961409
"90" "C9" "C546" 4.92759155401317
"91" "C10" "C43" 2.27913020535556
