"from" "to" "weight"
"1" "C1" "C2828" 0.776257275053918
"2" "C1" "C637" 0.890702105900558
"3" "C1" "C3090" 1.01858795993541
"4" "C1" "C2207" 1.03444597141469
"5" "C1" "C1998" 1.05085615928701
"6" "C1" "C784" 1.11097854901342
"7" "C1" "C2080" 1.20590346478461
"8" "C1" "C74" 1.21802524253707
"9" "C1" "C2950" 1.22779662196884
"10" "C1" "C1399" 1.36341961723908
"11" "C2" "C1598" 2.91717721697246
"12" "C2" "C1080" 3.02287009551117
"13" "C2" "C339" 3.24062912259621
"14" "C2" "C4283" 3.30573308728289
"15" "C2" "C177" 3.35415343154586
"16" "C2" "C2509" 3.37565482141615
"17" "C2" "C3947" 3.5202807020414
"18" "C2" "C4102" 3.55830358355671
"19" "C2" "C630" 3.65032055797944
"20" "C2" "C4896" 3.71413209069715
"21" "C3" "C4358" 1.9490580246572
"22" "C3" "C4112" 2.24361670221613
"23" "C3" "C2427" 3.10720860924616
"24" "C3" "C900" 3.33479438887335
"25" "C3" "C83" 3.65336520171146
"26" "C3" "C4378" 3.85863460820175
"27" "C3" "C3747" 4.01879178597283
"28" "C3" "C2077" 4.30154630182463
"29" "C3" "C3331" 4.61946964579301
"30" "C3" "C2802" 4.9591212152763
"31" "C4" "C3580" 1.24568840563192
"32" "C4" "C1232" 1.29445975258399
"33" "C4" "C3290" 1.36215208676973
"34" "C4" "C2767" 1.45840087006504
"35" "C4" "C1346" 1.46316918612685
"36" "C4" "C1393" 1.55170967258268
"37" "C4" "C1116" 1.5849053828714
"38" "C4" "C34" 1.65959022115899
"39" "C4" "C4505" 1.84439838997157
"40" "C4" "C4783" 1.85348212016666
"41" "C5" "C3480" 1.49010329144014
"42" "C5" "C4660" 1.79078339772476
"43" "C5" "C1353" 1.82439483253613
"44" "C5" "C2293" 1.906848633998
"45" "C5" "C30" 2.25898822352489
"46" "C5" "C1045" 2.37251787256551
"47" "C5" "C576" 2.451461379339
"48" "C5" "C244" 2.49565330772497
"49" "C5" "C4873" 2.54723921288475
"50" "C5" "C2706" 2.75678107737049
"51" "C6" "C4906" 0.826416705281414
"52" "C6" "C2243" 1.09668310995705
"53" "C6" "C3457" 1.28687216805541
"54" "C6" "C4743" 1.33765227284632
"55" "C6" "C3970" 1.51059656192592
"56" "C6" "C864" 1.67589319387772
"57" "C6" "C4216" 1.90592182652025
"58" "C6" "C2542" 2.00576819810838
"59" "C6" "C1572" 2.01292295771736
"60" "C6" "C2848" 2.10311916632672
"61" "C7" "C3149" 1.31347786991713
"62" "C7" "C652" 1.36240148648893
"63" "C7" "C1294" 1.52744487435293
"64" "C7" "C4219" 1.55524543524495
"65" "C7" "C4393" 1.78950775750004
"66" "C7" "C2000" 1.83469031639299
"67" "C7" "C4765" 1.83618922974272
"68" "C7" "C2518" 1.86405184458978
"69" "C7" "C3168" 1.87096419228425
"70" "C7" "C2474" 1.88348814707409
"71" "C8" "C4284" 1.18208457175764
"72" "C8" "C81" 1.24933515692526
"73" "C8" "C70" 1.37156706394413
"74" "C8" "C1534" 1.42553496439617
"75" "C8" "C1401" 1.46252610767788
"76" "C8" "C1150" 1.46351419941634
"77" "C8" "C1912" 1.47165574005191
"78" "C8" "C558" 1.49290331356893
"79" "C8" "C262" 1.51605900280713
"80" "C8" "C3690" 1.55628757327554
"81" "C9" "C1441" 1.79347181508413
"82" "C9" "C3730" 2.11022591578346
"83" "C9" "C2133" 2.12300845668546
"84" "C9" "C3101" 2.21977352231486
"85" "C9" "C2337" 2.32713569647134
"86" "C9" "C3313" 2.70195143503604
"87" "C9" "C1698" 2.85554024156327
"88" "C9" "C4107" 2.9328794341604
"89" "C9" "C2217" 3.0072728055858
"90" "C9" "C4580" 3.22058153728713
"91" "C10" "C1933" 1.1384562916509
"92" "C10" "C2906" 1.22994247891124
"93" "C10" "C4311" 1.4323536241579
"94" "C10" "C3073" 1.59894224905832
"95" "C10" "C3362" 1.60737299838894
"96" "C10" "C4245" 1.6157451928075
"97" "C10" "C3980" 1.61766499255361
"98" "C10" "C2778" 1.73619390480158
"99" "C10" "C4055" 1.75152624563939
"100" "C10" "C4773" 1.83685013595373
"101" "C11" "C1382" 1.87417737718207
"102" "C11" "C2023" 1.94067048168727
"103" "C11" "C408" 2.07242783409129
"104" "C11" "C997" 2.2141335603874
"105" "C11" "C1562" 2.36529556948088
"106" "C11" "C1495" 2.44734932451606
"107" "C11" "C2140" 2.49810140567023
"108" "C11" "C4472" 2.5841049087277
"109" "C11" "C1549" 2.60154749249935
"110" "C11" "C3622" 2.75151802061528
"111" "C12" "C3804" 1.02006797583708
"112" "C12" "C3398" 1.26022406878936
"113" "C12" "C664" 1.37081857663317
"114" "C12" "C2495" 1.51045974561613
"115" "C12" "C1642" 1.71235719632075
"116" "C12" "C1815" 2.01198054707457
"117" "C12" "C4389" 2.02228460615973
"118" "C12" "C4180" 2.20471477589133
"119" "C12" "C330" 2.31107017845321
"120" "C12" "C363" 2.32212916000021
