"from" "to" "weight"
"1" "C1" "C1974" 0.157958716194787
"2" "C1" "C1937" 0.338376511141366
"3" "C1" "C1371" 0.355238679167131
"4" "C1" "C298" 0.37587721417498
"5" "C1" "C693" 0.41142566230337
"6" "C1" "C274" 0.414557913584237
"7" "C1" "C205" 0.436910032085231
"8" "C1" "C1326" 0.443449349315226
"9" "C1" "C660" 0.457125965578653
"10" "C1" "C1748" 0.459418986788714
"11" "C2" "C656" 0.24953029523113
"12" "C2" "C1942" 0.268554840898273
"13" "C2" "C1166" 0.298808088597967
"14" "C2" "C406" 0.345570010506008
"15" "C2" "C401" 0.347143396546131
"16" "C2" "C1888" 0.348727575319908
"17" "C2" "C397" 0.360092799067804
"18" "C2" "C2052" 0.388046384074663
"19" "C2" "C1523" 0.388340452418689
"20" "C2" "C890" 0.389343308057978
"21" "C3" "C464" 0.311357662206378
"22" "C3" "C2039" 0.385295521063594
"23" "C3" "C583" 0.418053878643985
"24" "C3" "C921" 0.620443588475812
"25" "C3" "C831" 0.622124694528096
"26" "C3" "C331" 0.66764608339175
"27" "C3" "C1101" 0.670175898696941
"28" "C3" "C294" 0.696064724560269
"29" "C3" "C796" 0.788459107224437
"30" "C3" "C392" 0.796382117112881
"31" "C4" "C2058" 0.296065850949267
"32" "C4" "C1574" 0.312300602111723
"33" "C4" "C570" 0.379472358061219
"34" "C4" "C189" 0.432190726886854
"35" "C4" "C29" 0.437208648226159
"36" "C4" "C1693" 0.437463353236888
"37" "C4" "C1379" 0.440527418465752
"38" "C4" "C1177" 0.458141983536635
"39" "C4" "C1584" 0.461823490449469
"40" "C4" "C380" 0.467409022237935
"41" "C5" "C521" 0.25982597073733
"42" "C5" "C140" 0.381734467642446
"43" "C5" "C1136" 0.385858384976078
"44" "C5" "C1112" 0.415854916428662
"45" "C5" "C1047" 0.464741866649633
"46" "C5" "C157" 0.539181136956059
"47" "C5" "C1488" 0.560629615851737
"48" "C5" "C1753" 0.577954940588387
"49" "C5" "C38" 0.581975658663068
"50" "C5" "C1715" 0.583204200076993
"51" "C7" "C792" 0.188010535990947
"52" "C7" "C65" 0.251296328072666
"53" "C7" "C2065" 0.331011838251795
"54" "C7" "C753" 0.398178823970482
"55" "C7" "C995" 0.412001433335487
"56" "C7" "C1000" 0.424048940072824
"57" "C7" "C29" 0.428073995158818
"58" "C7" "C1584" 0.444098561128709
"59" "C7" "C890" 0.453724164028296
"60" "C7" "C1920" 0.475772597822772
"61" "C9" "C1715" 0.341028052989336
"62" "C9" "C1284" 0.357808795653498
"63" "C9" "C712" 0.488746112445776
"64" "C9" "C2027" 0.497307534577564
"65" "C9" "C803" 0.533712202364226
"66" "C9" "C1365" 0.5357275654951
"67" "C9" "C1152" 0.54082816190957
"68" "C9" "C14" 0.54329024654922
"69" "C9" "C1807" 0.54410973334259
"70" "C9" "C164" 0.558894596694968
"71" "C10" "C970" 0.6842675392835
"72" "C10" "C1990" 0.742865936593652
"73" "C10" "C1356" 0.756375955292649
"74" "C10" "C1883" 0.780006575641713
"75" "C10" "C382" 0.863478787611244
"76" "C10" "C723" 0.886540845241541
"77" "C10" "C1544" 0.963009085137002
"78" "C10" "C1468" 0.963854720010374
"79" "C10" "C2081" 0.971556415732487
"80" "C10" "C1415" 0.976532386479228
"81" "C12" "C314" 0.158457737458598
"82" "C12" "C1221" 0.216580647039426
"83" "C12" "C329" 0.224681154710515
"84" "C12" "C1643" 0.230815914489693
"85" "C12" "C958" 0.251026803716457
"86" "C12" "C590" 0.2672087562807
"87" "C12" "C1129" 0.272945664611737
"88" "C12" "C170" 0.281342870050021
"89" "C12" "C417" 0.285691945728164
"90" "C12" "C1994" 0.303521706404441
"91" "C13" "C1800" 0.112858032604015
"92" "C13" "C871" 0.116784830552766
"93" "C13" "C1154" 0.13536144084361
"94" "C13" "C662" 0.138047537882802
"95" "C13" "C978" 0.139944668765718
"96" "C13" "C595" 0.142912755204454
"97" "C13" "C1250" 0.168124563002915
"98" "C13" "C775" 0.168141209488674
"99" "C13" "C784" 0.171196439555186
"100" "C13" "C266" 0.183468187480401
"101" "C14" "C712" 0.123226747421191
