"from" "to" "weight"
"1" "C1" "C330" 5.15925812545395
"2" "C1" "C143" 6.0663816354509
"3" "C1" "C130" 6.66642015519958
"4" "C1" "C346" 6.79592266701738
"5" "C1" "C53" 7.14381828094556
"6" "C1" "C46" 7.17863763243523
"7" "C1" "C196" 7.32254401819897
"8" "C1" "C136" 7.47474918315068
"9" "C1" "C122" 7.63872927136778
"10" "C1" "C264" 7.65883824162819
"11" "C2" "C281" 2.64914135724402
"12" "C2" "C323" 2.67659437709304
"13" "C2" "C254" 3.14961179427757
"14" "C2" "C318" 3.36932430455144
"15" "C2" "C28" 3.43431267612827
"16" "C2" "C79" 3.45939727868679
"17" "C2" "C362" 3.77274526036068
"18" "C2" "C145" 4.08737852669558
"19" "C2" "C203" 4.12254175011564
"20" "C2" "C134" 4.24346294184077
"21" "C3" "C17" 0.956328573772059
"22" "C3" "C153" 1.58974763081384
"23" "C3" "C63" 2.24038842072751
"24" "C3" "C24" 2.32432324443814
"25" "C3" "C185" 2.52660961360163
"26" "C3" "C137" 2.69746892298505
"27" "C3" "C33" 2.77757492963672
"28" "C3" "C290" 3.07345946964019
"29" "C3" "C273" 3.21894451034678
"30" "C3" "C182" 3.32482149630099
"31" "C4" "C102" 1.33960415200114
"32" "C4" "C210" 1.41088710140912
"33" "C4" "C87" 1.57134954308277
"34" "C4" "C297" 1.70567012542037
"35" "C4" "C311" 1.79417607497366
"36" "C4" "C228" 1.84735461736797
"37" "C4" "C112" 1.88895709094606
"38" "C4" "C109" 1.90128279786413
"39" "C4" "C308" 2.04316407870657
"40" "C4" "C110" 2.07508764076452
"41" "C5" "C45" 2.60647871140616
"42" "C5" "C208" 2.94203204115785
"43" "C5" "C37" 3.21233435693207
"44" "C5" "C165" 3.44007318357528
"45" "C5" "C262" 3.51675615108831
"46" "C5" "C48" 3.51965612879671
"47" "C5" "C49" 3.71547259081789
"48" "C5" "C169" 3.98983217803899
"49" "C5" "C36" 4.00778125338712
"50" "C5" "C61" 4.02533074087913
"51" "C6" "C61" 1.16049581050612
"52" "C6" "C169" 1.62609310706286
"53" "C6" "C62" 1.72777277309877
"54" "C6" "C107" 1.77179101178325
"55" "C6" "C49" 1.77478835073936
"56" "C6" "C303" 1.9126743865642
"57" "C6" "C327" 1.96688369717613
"58" "C6" "C209" 1.97313863194709
"59" "C6" "C32" 2.07471621905335
"60" "C6" "C134" 2.21434283991045
"61" "C7" "C302" 3.94705390733274
"62" "C7" "C113" 4.24164617351123
"63" "C7" "C37" 4.56448693773656
"64" "C7" "C54" 4.61631899660823
"65" "C7" "C154" 4.89258841627999
"66" "C7" "C175" 5.21074516053564
"67" "C7" "C343" 5.23681066259353
"68" "C7" "C358" 5.39126742621205
"69" "C7" "C355" 5.42298271976774
"70" "C7" "C103" 5.65135394887674
"71" "C8" "C55" 1.99891007498707
"72" "C8" "C51" 2.97560424752934
"73" "C8" "C127" 3.07939686248097
"74" "C8" "C324" 3.1137281730883
"75" "C8" "C162" 3.5054089764414
"76" "C8" "C114" 3.72639048489603
"77" "C8" "C340" 3.77132574120955
"78" "C8" "C78" 3.82138733508113
"79" "C8" "C115" 3.82412136950901
"80" "C8" "C179" 3.84762410655503
"81" "C9" "C128" 0.913972774850325
"82" "C9" "C255" 1.86271672827812
"83" "C9" "C92" 2.11824034530308
"84" "C9" "C179" 2.48539174520076
"85" "C9" "C118" 2.84396507185351
"86" "C9" "C299" 2.84510012763307
"87" "C9" "C332" 2.85455558665918
"88" "C9" "C74" 2.94533691163213
