"from" "to" "weight"
"1" "C1" "C361" 0.533734366965289
"2" "C1" "C634" 0.844201999498308
"3" "C1" "C836" 0.868455505206864
"4" "C1" "C350" 1.44707556825962
"5" "C1" "C687" 1.44767841348407
"6" "C1" "C157" 1.52512854147078
"7" "C1" "C649" 1.56333034643775
"8" "C1" "C492" 1.57036376991602
"9" "C1" "C518" 1.61696375585921
"10" "C1" "C222" 1.63174955898428
"11" "C2" "C126" 1.04020475383903
"12" "C2" "C737" 1.10852118767668
"13" "C2" "C479" 1.36010574999547
"14" "C2" "C319" 1.44652915793899
"15" "C2" "C293" 1.57150936102121
"16" "C2" "C644" 1.70334292369907
"17" "C2" "C602" 1.74304007064793
"18" "C2" "C104" 1.80443678133745
"19" "C2" "C442" 1.89273624780063
"20" "C2" "C904" 1.92705819999423
"21" "C3" "C682" 1.33911838819893
"22" "C3" "C383" 1.35873020667498
"23" "C3" "C87" 1.37268934531993
"24" "C3" "C298" 1.38135002430638
"25" "C3" "C545" 1.50539369672808
"26" "C3" "C123" 1.79040019794203
"27" "C3" "C130" 1.81210871253657
"28" "C3" "C546" 1.81989956536066
"29" "C3" "C795" 1.83613406787813
"30" "C3" "C25" 1.84746848614048
"31" "C4" "C801" 1.36890171757796
"32" "C4" "C466" 1.90002163320387
"33" "C4" "C921" 1.96342481810572
"34" "C4" "C537" 2.50207957168473
"35" "C4" "C463" 2.6448573378646
"36" "C4" "C776" 2.7720119179372
"37" "C4" "C177" 2.80269663186469
"38" "C4" "C97" 3.0068316540729
"39" "C4" "C816" 3.04027877997557
"40" "C4" "C555" 3.05204174779689
"41" "C5" "C717" 0.591248359898261
"42" "C5" "C909" 0.788368862798627
"43" "C5" "C850" 0.913941547836736
"44" "C5" "C418" 0.951100812184037
"45" "C5" "C83" 1.02018951892496
"46" "C5" "C76" 1.0385231206518
"47" "C5" "C708" 1.13862032414208
"48" "C5" "C462" 1.15372058199681
"49" "C5" "C474" 1.16011901488148
"50" "C5" "C766" 1.16554307649751
"51" "C6" "C251" 0.86329550473733
"52" "C6" "C646" 1.00801814483226
"53" "C6" "C666" 1.3670474008197
"54" "C6" "C246" 1.39280960407875
"55" "C6" "C29" 1.40823103511039
"56" "C6" "C50" 1.44401610485493
"57" "C6" "C808" 1.50640065130397
"58" "C6" "C61" 1.53660824777748
"59" "C6" "C108" 1.54098834317094
"60" "C6" "C351" 1.57654141039241
"61" "C7" "C692" 1.65047352752939
"62" "C7" "C842" 1.88684262198595
"63" "C7" "C284" 1.93313141946895
"64" "C7" "C523" 1.95231911957954
"65" "C7" "C197" 2.00068705763155
"66" "C7" "C565" 2.00838075871198
"67" "C7" "C14" 2.21044090905541
"68" "C7" "C328" 2.23079340091925
"69" "C7" "C119" 2.28938122232482
"70" "C7" "C528" 2.38433118117274
"71" "C8" "C512" 1.77700781411433
"72" "C8" "C56" 2.02335230983879
"73" "C8" "C901" 2.09413045469589
"74" "C8" "C739" 2.79546277347763
"75" "C8" "C577" 2.80836753658947
"76" "C8" "C109" 2.88035924887054
"77" "C8" "C150" 2.89486964961034
"78" "C8" "C763" 2.90075691163944
"79" "C8" "C705" 2.99435062500529
"80" "C8" "C448" 3.07580764835423
"81" "C9" "C157" 1.45861814842224
"82" "C9" "C386" 1.96056417967995
"83" "C9" "C189" 1.97433016467619
"84" "C9" "C599" 2.07843895653007
"85" "C9" "C122" 2.30823198548407
"86" "C9" "C104" 2.42331103917711
"87" "C9" "C361" 2.43597342652767
"88" "C9" "C699" 2.4726317049819
"89" "C9" "C664" 2.48403921312099
"90" "C9" "C570" 2.50299958463438
"91" "C10" "C747" 0.356476683281363
"92" "C10" "C394" 0.372851751561623
"93" "C10" "C622" 0.378288822051001
"94" "C10" "C238" 0.40376061028187
"95" "C10" "C300" 0.442594547870098
"96" "C10" "C647" 0.497137282577737
"97" "C10" "C713" 0.567672417173833
"98" "C10" "C887" 0.574787148042635
"99" "C10" "C131" 0.592390904150639
"100" "C10" "C356" 0.647113970929532
"101" "C11" "C77" 1.42409943785144
"102" "C11" "C752" 1.96319090220115
"103" "C11" "C699" 1.9820819724366
"104" "C11" "C403" 2.05892934325609
"105" "C11" "C123" 2.06405895950033
"106" "C11" "C628" 2.07861691646853
"107" "C11" "C189" 2.12377497530295
"108" "C11" "C599" 2.1312899833553
"109" "C11" "C162" 2.17996455937217
"110" "C11" "C87" 2.2258262142069
"111" "C12" "C78" 2.67663744586802
"112" "C12" "C47" 2.88109350766161
"113" "C12" "C258" 2.91251597383481
"114" "C12" "C341" 3.00821767622502
"115" "C12" "C511" 3.04194325368173
"116" "C12" "C665" 3.30640899758299
"117" "C12" "C116" 3.41159450138261
"118" "C12" "C495" 3.49361884616399
"119" "C12" "C880" 3.60394376120142
"120" "C12" "C858" 3.75502437357748
"121" "C13" "C563" 1.81788750314442
"122" "C13" "C920" 1.88551958349022
"123" "C13" "C91" 1.91552536990459
"124" "C13" "C874" 2.82755242644679
"125" "C13" "C864" 2.85729928493808
"126" "C13" "C304" 2.98680313968725
"127" "C13" "C165" 3.62413655350175
"128" "C13" "C30" 3.70707112240513
"129" "C13" "C456" 3.77420634445184
"130" "C13" "C417" 3.77594337516671
"131" "C14" "C692" 1.05953988121226
"132" "C14" "C113" 1.17872063718316
"133" "C14" "C328" 1.4269657495045
"134" "C14" "C88" 1.43003861811986
"135" "C14" "C136" 1.56618191423359
"136" "C14" "C284" 1.57317610804621
"137" "C14" "C645" 1.57765070591301
"138" "C14" "C119" 1.62254075642402
"139" "C14" "C842" 1.64535101474556
"140" "C14" "C296" 1.73412176324371
"141" "C15" "C112" 1.40647176676124
"142" "C15" "C567" 1.71073468063685
"143" "C15" "C163" 1.87663962848835
"144" "C15" "C505" 2.14659356553606
"145" "C15" "C141" 2.16525556396644
"146" "C15" "C309" 2.16724742487602
"147" "C15" "C739" 2.22827628285207
"148" "C15" "C672" 2.29369326636936
"149" "C15" "C109" 2.3788010797011
"150" "C15" "C700" 2.47245002641898
"151" "C16" "C643" 1.07515573215081
"152" "C16" "C44" 1.2174080640349
"153" "C16" "C646" 1.4299513419456
"154" "C16" "C351" 1.50076759450685
"155" "C16" "C666" 1.68956000735586
"156" "C16" "C378" 1.75118882583143
"157" "C16" "C89" 1.76132299321454
"158" "C16" "C653" 1.79148593062303
"159" "C16" "C440" 1.80781188686342
"160" "C16" "C108" 1.83417208766091
"161" "C17" "C483" 1.67908826088419
"162" "C17" "C160" 1.71896756821934
"163" "C17" "C597" 1.80508518332936
"164" "C17" "C751" 1.89208603329691
"165" "C17" "C839" 1.96332269651725
"166" "C17" "C448" 2.09953316173246
"167" "C17" "C652" 2.28172899562041
"168" "C17" "C618" 2.28873713844526
"169" "C17" "C567" 2.30076188143689
"170" "C17" "C700" 2.34533386500899
"171" "C18" "C768" 0.453059825321664
"172" "C18" "C857" 0.48940731254633
"173" "C18" "C847" 0.511886970206183
"174" "C18" "C21" 0.518567132109269
"175" "C18" "C592" 0.607721797379193
"176" "C18" "C872" 0.66273987256095
"177" "C18" "C352" 0.706187567307781
"178" "C18" "C26" 0.763645706596539
"179" "C18" "C409" 0.806916495117326
"180" "C18" "C68" 0.836468676637432
"181" "C19" "C557" 1.15433111168696
"182" "C19" "C152" 1.19471082969387
"183" "C19" "C289" 1.22980060476017
"184" "C19" "C27" 1.25808878793366
"185" "C19" "C826" 1.33147624500921
"186" "C19" "C896" 1.33435425327016
"187" "C19" "C590" 1.38386202687807
"188" "C19" "C270" 1.4627721011037
"189" "C19" "C306" 1.5120841278102
"190" "C19" "C745" 1.52624995594125
"191" "C20" "C678" 0.579332246617419
"192" "C20" "C679" 0.591628040181109
"193" "C20" "C175" 0.646747996724687
"194" "C20" "C26" 0.825796398485841
"195" "C20" "C451" 0.83133640902979
"196" "C20" "C66" 0.868450460051609
"197" "C20" "C490" 0.876393179032961
"198" "C20" "C202" 0.893740646816332
"199" "C20" "C230" 0.90585290051087
"200" "C20" "C68" 0.950785201328393
"201" "C21" "C847" 0.34679996974057
"202" "C21" "C768" 0.352925927799096
"203" "C21" "C849" 0.498943425801761
"204" "C21" "C175" 0.539929138916317
"205" "C21" "C366" 0.612332922299855
"206" "C21" "C569" 0.622330998204304
