"from" "to" "weight"
"1" "C1" "C563" 2.73220473578804
"2" "C1" "C424" 3.37387853530102
"3" "C1" "C339" 4.35256080927738
"4" "C1" "C416" 4.36914455065653
"5" "C1" "C701" 4.39167392189157
"6" "C1" "C253" 4.55455294180379
"7" "C1" "C112" 4.95670709983497
"8" "C1" "C754" 5.00037383065038
"9" "C1" "C132" 5.25472799392684
"10" "C1" "C785" 5.32527977277378
"11" "C2" "C107" 1.1194020339948
"12" "C2" "C972" 2.5695328479158
"13" "C2" "C407" 4.58461627596642
"14" "C2" "C232" 4.71496821983577
"15" "C2" "C323" 4.85364441958299
"16" "C2" "C74" 4.92360672732971
"17" "C2" "C615" 5.53330983253634
"18" "C2" "C326" 5.77374285128291
"19" "C2" "C630" 5.98857084555516
"20" "C2" "C989" 7.4421340448542
"21" "C3" "C296" 2.38823730956302
"22" "C3" "C761" 5.10652277081508
"23" "C3" "C36" 5.1738215429313
"24" "C3" "C121" 6.01385196853763
"25" "C3" "C643" 6.10185665998186
"26" "C3" "C309" 7.31782951091885
"27" "C3" "C203" 7.37717978271454
"28" "C3" "C140" 7.79079170287206
"29" "C3" "C666" 8.14375279808691
"30" "C3" "C752" 8.26222309560075
"31" "C4" "C25" 1.90018529246345
"32" "C4" "C347" 2.51649931919232
"33" "C4" "C413" 3.13859527458135
"34" "C4" "C755" 3.43229653245949
"35" "C4" "C544" 3.88907702266625
"36" "C4" "C824" 4.22327229908529
"37" "C4" "C104" 4.62768583619994
"38" "C4" "C426" 4.75798584250158
"39" "C4" "C410" 4.82646711697979
"40" "C4" "C686" 5.16289540335326
"41" "C5" "C516" 2.41140082420345
"42" "C5" "C271" 3.68638874882375
"43" "C5" "C816" 3.91580791518976
"44" "C5" "C937" 4.57982685458201
"45" "C5" "C415" 4.83162649425169
"46" "C5" "C61" 5.18191039729239
"47" "C5" "C753" 5.27074720146494
"48" "C5" "C685" 5.64384961766809
"49" "C5" "C305" 5.88221088993119
"50" "C5" "C997" 6.2900020342301
"51" "C6" "C658" 3.0121017983369
"52" "C6" "C646" 3.03897524352981
"53" "C6" "C746" 3.42319278348479
"54" "C6" "C113" 3.97063868332295
"55" "C6" "C374" 4.29466103981053
"56" "C6" "C137" 4.41381568411136
"57" "C6" "C160" 4.81643375705669
"58" "C6" "C383" 4.92121351009391
"59" "C6" "C809" 4.98814347267981
"60" "C6" "C358" 5.08847170133832
"61" "C7" "C50" 4.01065620870055
"62" "C7" "C34" 4.01839173201127
"63" "C7" "C498" 4.03371080990488
"64" "C7" "C668" 4.11887247861052
"65" "C7" "C929" 4.41704149703838
"66" "C7" "C850" 4.47131107239056
"67" "C7" "C535" 4.57303315005296
"68" "C7" "C47" 5.10050465498169
"69" "C7" "C69" 5.76769287689551
"70" "C7" "C278" 6.34899008935678
"71" "C8" "C19" 4.22578758364465
"72" "C8" "C795" 6.03419817199814
"73" "C8" "C207" 6.04297505620971
"74" "C8" "C330" 6.21248138934835
"75" "C8" "C48" 6.6670676716867
