"from" "to" "weight"
"1" "Cell1" "Cell12" 0.382635907417937
"2" "Cell1" "Cell58" 0.388066999728193
"3" "Cell1" "Cell1783" 0.397323404195539
"4" "Cell1" "Cell975" 0.419067471217452
"5" "Cell1" "Cell1114" 0.455217511208632
"6" "Cell1" "Cell605" 0.471554382159651
"7" "Cell1" "Cell2024" 0.502761478866524
"8" "Cell1" "Cell138" 0.505056652209193
"9" "Cell1" "Cell291" 0.533821594044836
"10" "Cell1" "Cell881" 0.582132295855288
"11" "Cell2" "Cell1407" 0.435791273814835
"12" "Cell2" "Cell422" 0.631784499833525
"13" "Cell2" "Cell891" 0.695862956568177
"14" "Cell2" "Cell1527" 0.697056776084332
"15" "Cell2" "Cell1628" 0.710757378735467
"16" "Cell2" "Cell6" 0.735771503330106
"17" "Cell2" "Cell927" 0.774504796276846
"18" "Cell2" "Cell1875" 0.781118139611929
"19" "Cell2" "Cell1161" 0.794222528425901
"20" "Cell2" "Cell1614" 0.836508282892115
"21" "Cell3" "Cell1151" 0.910794517766559
"22" "Cell3" "Cell1396" 1.23152315065319
"23" "Cell3" "Cell1001" 1.32227595640324
"24" "Cell3" "Cell1298" 1.35060595109488
"25" "Cell3" "Cell1040" 1.47495649572112
"26" "Cell3" "Cell457" 1.52263710841005
"27" "Cell3" "Cell400" 1.62840960844356
"28" "Cell3" "Cell271" 1.66974098581235
"29" "Cell3" "Cell1967" 1.68138316477808
"30" "Cell3" "Cell590" 1.71088282162391
"31" "Cell4" "Cell1054" 0.339541741152983
"32" "Cell4" "Cell1842" 0.350693702402416
"33" "Cell4" "Cell1566" 0.362497523405969
"34" "Cell4" "Cell1081" 0.365262332297558
"35" "Cell4" "Cell305" 0.367298623845896
"36" "Cell4" "Cell694" 0.368046205108554
"37" "Cell4" "Cell30" 0.404623588990191
"38" "Cell4" "Cell1006" 0.428118534946825
"39" "Cell4" "Cell1199" 0.434120346249813
"40" "Cell4" "Cell345" 0.438339674077454
"41" "Cell5" "Cell862" 0.711306662351282
"42" "Cell5" "Cell254" 0.80157077836525
"43" "Cell5" "Cell1305" 0.896774403180907
"44" "Cell5" "Cell1330" 0.898199233398497
"45" "Cell5" "Cell850" 1.03520703602909
"46" "Cell5" "Cell1308" 1.18759524931687
"47" "Cell5" "Cell1150" 1.19803211824064
"48" "Cell5" "Cell54" 1.24098200229264
"49" "Cell5" "Cell824" 1.2686274675041
"50" "Cell5" "Cell37" 1.30406988883464
"51" "Cell6" "Cell158" 0.492198703419682
"52" "Cell6" "Cell1503" 0.515079177456542
"53" "Cell6" "Cell1419" 0.584536258077611
"54" "Cell6" "Cell873" 0.619536595207639
"55" "Cell6" "Cell1527" 0.64809482553762
"56" "Cell6" "Cell1407" 0.677562209748504
"57" "Cell6" "Cell488" 0.698522081607259
"58" "Cell6" "Cell891" 0.728926725928028
"59" "Cell6" "Cell572" 0.76214685967958
"60" "Cell7" "Cell1561" 1.76884329572624
