"from" "to" "weight"
"1" "Cell1" "Cell234" 4.0562089235928
"2" "Cell1" "Cell157" 4.11369714510131
"3" "Cell1" "Cell117" 4.27729942338164
"4" "Cell1" "Cell40" 4.34113644667934
"5" "Cell1" "Cell93" 4.51114118882347
"6" "Cell1" "Cell225" 4.81790266107626
"7" "Cell1" "Cell4" 4.94758169476625
"8" "Cell1" "Cell195" 5.4655246390606
"9" "Cell1" "Cell92" 5.53461393489531
"10" "Cell1" "Cell249" 5.55416154583308
"11" "Cell2" "Cell24" 4.63050542973705
"12" "Cell2" "Cell84" 4.74472216328652
"13" "Cell2" "Cell232" 5.66469431666727
"14" "Cell2" "Cell106" 5.7349860000822
"15" "Cell2" "Cell134" 6.11397570116955
"16" "Cell2" "Cell59" 6.16989246125554
"17" "Cell2" "Cell176" 7.46726561288593
"18" "Cell2" "Cell101" 7.54224570038164
"19" "Cell2" "Cell169" 7.82566531936337
"20" "Cell2" "Cell215" 8.29838982711054
"21" "Cell3" "Cell77" 3.25998798786957
"22" "Cell3" "Cell220" 3.85107484580635
"23" "Cell3" "Cell38" 3.86565813875979
"24" "Cell3" "Cell81" 3.99671355918653
"25" "Cell3" "Cell188" 4.38803433435612
"26" "Cell3" "Cell82" 4.77950141775775
"27" "Cell3" "Cell11" 4.88516223519292
"28" "Cell3" "Cell37" 4.89536575200236
"29" "Cell3" "Cell148" 4.953977093698
"30" "Cell3" "Cell108" 5.03326166814089
"31" "Cell4" "Cell13" 2.66437296941599
"32" "Cell4" "Cell149" 2.8918609168717
"33" "Cell4" "Cell157" 2.93287236283773
"34" "Cell4" "Cell28" 3.04597030429607
"35" "Cell4" "Cell216" 3.66194065925795
"36" "Cell4" "Cell93" 3.81789660426134
"37" "Cell4" "Cell117" 3.86861623155919
"38" "Cell4" "Cell72" 3.8788740327124
"39" "Cell4" "Cell209" 4.08027583613926
"40" "Cell4" "Cell132" 4.16704778620651
"41" "Cell5" "Cell128" 6.49483287284914
"42" "Cell5" "Cell150" 8.36423586183586
"43" "Cell5" "Cell100" 9.213874034139
"44" "Cell5" "Cell187" 10.7238955810854
"45" "Cell5" "Cell191" 11.188112037274
"46" "Cell5" "Cell96" 11.751279532243
"47" "Cell5" "Cell74" 11.7748988447678
"48" "Cell5" "Cell125" 14.3323053878635
"49" "Cell5" "Cell79" 14.5469589937416
"50" "Cell5" "Cell127" 15.0329216307068
"51" "Cell6" "Cell33" 3.6580368623221
"52" "Cell6" "Cell233" 5.77994338511639
"53" "Cell6" "Cell125" 5.87968591640155
"54" "Cell6" "Cell153" 5.94747830051094
"55" "Cell6" "Cell129" 7.92553422742106
"56" "Cell6" "Cell35" 8.79515886133788
"57" "Cell6" "Cell118" 9.84122764082205
"58" "Cell6" "Cell186" 9.85477659691504
"59" "Cell6" "Cell131" 10.0947374226585
"60" "Cell6" "Cell159" 10.2237722549381
"61" "Cell7" "Cell239" 42.4028522488352
"62" "Cell7" "Cell226" 56.2527591641442
"63" "Cell7" "Cell27" 56.6679207610315
"64" "Cell7" "Cell78" 57.9437832259916
"65" "Cell7" "Cell199" 58.3619937429194
"66" "Cell7" "Cell130" 58.5452973876562
"67" "Cell7" "Cell34" 59.706961679402
"68" "Cell7" "Cell107" 63.0231143364793
"69" "Cell7" "Cell152" 64.959390167863
"70" "Cell7" "Cell237" 66.2000127552408
"71" "Cell8" "Cell171" 7.72837257335078
"72" "Cell8" "Cell36" 10.6842741803789
"73" "Cell8" "Cell69" 11.5225048927121
"74" "Cell8" "Cell202" 11.5999347049651
"75" "Cell8" "Cell242" 12.538936758711
"76" "Cell8" "Cell62" 14.1449175336251
"77" "Cell8" "Cell98" 14.5419396847047
"78" "Cell8" "Cell127" 14.9320527574631
"79" "Cell8" "Cell219" 15.3264184548023
"80" "Cell8" "Cell64" 15.9616755827511
"81" "Cell9" "Cell120" 1.70081839871243
"82" "Cell9" "Cell210" 1.97117841742334
"83" "Cell9" "Cell168" 2.92673944684275
"84" "Cell9" "Cell217" 3.42033246357196
"85" "Cell9" "Cell71" 4.00186477039679
"86" "Cell9" "Cell85" 4.10378799663903
"87" "Cell9" "Cell16" 4.12971140601259
"88" "Cell9" "Cell238" 4.26925452019857
"89" "Cell9" "Cell163" 4.32661055761408
"90" "Cell9" "Cell221" 4.41154508332351
"91" "Cell10" "Cell15" 5.41773235331955
"92" "Cell10" "Cell104" 6.25999634142294
"93" "Cell10" "Cell80" 7.41591685500921
"94" "Cell10" "Cell114" 7.72427162385966
"95" "Cell10" "Cell166" 8.0402897457076
"96" "Cell10" "Cell160" 8.71299204978123
"97" "Cell10" "Cell57" 9.35855492452511
"98" "Cell10" "Cell219" 9.49812850213592
"99" "Cell10" "Cell154" 9.54984718301023
"100" "Cell10" "Cell29" 9.80151138439785
"101" "Cell11" "Cell81" 2.18166696811236
"102" "Cell11" "Cell17" 3.45899551032203
"103" "Cell11" "Cell77" 4.49432262157912
"104" "Cell11" "Cell22" 4.8237584805586
"105" "Cell11" "Cell188" 4.94247227935977
"106" "Cell11" "Cell82" 5.02615060219135
"107" "Cell11" "Cell220" 5.47394836073917
"108" "Cell11" "Cell133" 5.52270611450821
"109" "Cell11" "Cell238" 5.60805930719023
"110" "Cell12" "Cell143" 2.45591838608655
"111" "Cell12" "Cell66" 2.7714819087066
"112" "Cell12" "Cell218" 3.0916265067833
"113" "Cell12" "Cell157" 3.1612767475489
"114" "Cell12" "Cell117" 3.28169528168204
"115" "Cell12" "Cell149" 3.52421515420542
"116" "Cell12" "Cell240" 3.60654479580912
