"from" "to" "weight"
"1" "Cell1" "Cell320" 2.49845882582394
"2" "Cell1" "Cell173" 2.82765998370581
"3" "Cell1" "Cell231" 3.04390990699215
"4" "Cell1" "Cell252" 3.89886554859982
"5" "Cell1" "Cell202" 3.94295651580478
"6" "Cell1" "Cell359" 3.99140884294888
"7" "Cell1" "Cell31" 5.20693081180461
"8" "Cell1" "Cell273" 5.21464835044815
"9" "Cell1" "Cell221" 5.4952628619429
"10" "Cell1" "Cell323" 5.56291295666041
"11" "Cell2" "Cell248" 3.30766584295078
"12" "Cell2" "Cell94" 3.32367672776381
"13" "Cell2" "Cell353" 3.5656469718545
"14" "Cell2" "Cell327" 3.72828931931385
"15" "Cell2" "Cell189" 3.84017002295337
"16" "Cell2" "Cell54" 4.07109557649023
"17" "Cell2" "Cell239" 4.14524500416112
"18" "Cell2" "Cell295" 5.92312559253669
"19" "Cell2" "Cell233" 6.0687671519222
"20" "Cell2" "Cell44" 6.12179390845215
"21" "Cell3" "Cell186" 6.10693692485778
"22" "Cell3" "Cell290" 6.9222888527982
"23" "Cell3" "Cell223" 7.53089277727226
"24" "Cell3" "Cell8" 7.74690649437922
"25" "Cell3" "Cell195" 7.8528340988054
"26" "Cell3" "Cell267" 7.96860606989511
"27" "Cell3" "Cell254" 8.38936602653876
"28" "Cell3" "Cell275" 8.71815195415024
"29" "Cell3" "Cell145" 8.82052535811111
"30" "Cell3" "Cell198" 9.45910923771223
"31" "Cell4" "Cell272" 4.27526247108594
"32" "Cell4" "Cell326" 4.56608628343538
"33" "Cell4" "Cell28" 5.49791422627699
"34" "Cell4" "Cell250" 5.59071484710493
"35" "Cell4" "Cell344" 5.99182763627212
"36" "Cell4" "Cell15" 6.36765490106683
"37" "Cell4" "Cell32" 6.37768364087666
"38" "Cell4" "Cell185" 6.86395401980479
"39" "Cell4" "Cell335" 6.87616999832875
"40" "Cell4" "Cell57" 6.9251546754933
"41" "Cell5" "Cell100" 2.44253874726805
"42" "Cell5" "Cell37" 2.55816119177584
"43" "Cell5" "Cell56" 2.80650693510962
"44" "Cell5" "Cell193" 3.88405089311965
"45" "Cell5" "Cell39" 4.12423654669976
"46" "Cell5" "Cell285" 4.41931644681342
"47" "Cell5" "Cell286" 4.56471606588585
"48" "Cell5" "Cell220" 4.70132190543039
"49" "Cell5" "Cell297" 4.76548690170525
"50" "Cell5" "Cell130" 4.87902385329713
"51" "Cell6" "Cell252" 3.81709894921857
"52" "Cell6" "Cell31" 3.94199963998493
"53" "Cell6" "Cell245" 4.91283465154589
"54" "Cell6" "Cell273" 5.07342013531777
"55" "Cell6" "Cell190" 5.21574185317876
"56" "Cell6" "Cell359" 5.52569357560792
"57" "Cell6" "Cell320" 5.53694277691603
"58" "Cell6" "Cell91" 5.65105611893699
"59" "Cell6" "Cell66" 5.80344717381605
"60" "Cell6" "Cell231" 5.8121052303314
